id,backside,betrayed,brnagain,call,cdnum,cicrep16,cruzhone,econworr,ecoworr2,educ12r,educcoll,educhs,educwhit,geocode,getahead,govtangr,govtan_1,ilrprs16,ilrsen16,immdepor,inc100k,inc30k,inc50k,income3,income4,income16,incwhite,issrep16,kasichho,muslimba,outsider,party,partybyr,partyid,partysex,phil2r,phil3x,phil4c,precinct,qlt16rep,qrace3,qraceai,qtype,race,race2b,region,sex,sexbyrac,sizeplac,sizeplc3,stanum,telepoll,thirdpar,timenh16,timeprif,timeprim,timepriw,trade16,trumphon,trumpvot,unfairre,version,votenovc,votenovk,votenovt,weight,whnclinc,xage,xage3,xage8,xage45,xage49,xage60,xage65,xagebyra
496248,Complete,Yes, ,Call 1,17,John Kasich, ,Very worried,Worried,Postgraduate study,College graduate,More than High school graduate,White college degree,4, , , , ,Mark Kirk, , , , , , , , ,Immigration, , ,Be from outside the political establishment,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Somewhat conservative,70,Can bring needed change,White,White,State questionnaire,White,White,Midwest,Male,White men,"Cities 10,000-50,000",Small Cities/Rural, Illinois,Election day exit poll, , , , , ,Takes away U.S. jobs, , ,Donald Trump,Version 2,Probably vote for him,Definitely vote for him,Probably vote for him,.495510667562485, ,65+,60+,65 or over,45+,50+,60+,65+,White 60+
506681,Complete,Yes, ,Call 3,17,Donald Trump, ,Very worried,Worried,College graduate,College graduate,More than High school graduate,White college degree,4, , , , ,Mark Kirk, , , , , , , , ,Government spending, , ,Be from outside the political establishment,Independent/Something else,White Independent,Independent,Independent Women,Conservative,Conservative,Somewhat conservative,70,Can bring needed change,White,White,State questionnaire,White,White,Midwest,Female,White women,"Cities 10,000-50,000",Small Cities/Rural, Illinois,Election day exit poll, , , , , ,Creates more U.S. jobs, , ,Ted Cruz,Version 2,Omit,Omit,Definitely vote for him,.526645064353943, ,45-65,30-59,45-49,45+,17-49,45-59,40-49,White 45-59
501677,Complete,Yes, ,Call 2,11,Donald Trump, ,Very worried,Worried,High school or less,No college degree,High school graduate or less,White no college degree,3, , , , ,James Marter, , , , , , , , ,Omit, , ,Be from outside the political establishment,Republican,All Republicans,Republican,Republican Men,Moderate/Liberal,Liberal,Liberal,93,Tells it like it is,White,White,State questionnaire,White,White,Midwest,Male,White men,Suburbs,Suburbs, Illinois,Election day exit poll, , , , , ,Creates more U.S. jobs, , ,Marco Rubio,Version 2,Probably vote for him,Probably vote for him,Definitely vote for him,1.01565217971802, ,45-65,30-59,45-49,45+,17-49,45-59,40-49,White 45-59
501452,Complete,Yes, ,Call 2,13,Donald Trump, ,Very worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,5, , , , ,Mark Kirk, , , , , , , , ,Economy/Jobs, , ,Be from outside the political establishment,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Somewhat conservative,8,Can bring needed change,White,White,State questionnaire,White,White,Midwest,Male,White men,Suburbs,Suburbs, Illinois,Election day exit poll, , , , , ,Takes away U.S. jobs, , ,Ted Cruz,Version 2,Not vote for him,Probably vote for him,Definitely vote for him,1.57071483135223, ,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59
496453,Complete, ,No,Call 1,2, ,No, , ,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,2,Holding steady financially,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Ben Carson, ,Omit,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Economy/Jobs,No,Support, ,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Somewhat conservative,131,Can bring needed change,White,White,State questionnaire,White,White,Midwest,Male,White men,Suburbs,Suburbs, Illinois,Election day exit poll,Seriously consider voting for a third party candidate,Before that,Earlier than that,Earlier than that,Earlier than that, ,Yes,Not Donald Trump, ,Version 1, , , ,.0818526297807693,No,45-65,30-59,45-49,45+,17-49,45-59,40-49,White 45-59
496173,Complete, ,No,Call 1,2, ,Yes, , ,Postgraduate study,College graduate,More than High school graduate,White college degree,4,Getting ahead financially,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Ben Carson,James Marter,Deported to the country they came from,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Economy/Jobs,Yes,Support, ,Independent/Something else,White Independent,Independent,Independent Men,Conservative,Conservative,Somewhat conservative,36,Can bring needed change,White,White,State questionnaire,White,White,Midwest,Male,White men,"Cities 10,000-50,000",Small Cities/Rural, Illinois,Election day exit poll,Seriously consider voting for a third party candidate,Just today,Last few days,In the last month,This week, ,Yes,Not Donald Trump, ,Version 1, , , ,.0911288112401962,No,30-44,30-59,40-44,17-44,17-49,30-44,40-49,White 30-44
502270,Complete, ,Yes,Call 2,16, ,Yes, , ,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,4,Omit,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Ben Carson,Mark Kirk,Offered a chance to apply for legal status, , , , , , , ,Government spending,Yes,Support, ,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative,97,Shares my values,White,White,State questionnaire,White,White,Midwest,Male,White men,"Cities 50,000-500,000","Cities over 50,000", Illinois,Election day exit poll,Omit,Before that,Earlier than that,Earlier than that,Earlier than that, ,Yes,Not Donald Trump, ,Version 1, , , ,.0989894941449165, ,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59
496602,Complete, ,No,Call 1,2, ,Yes, , ,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,4,Holding steady financially,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Ben Carson,Mark Kirk,Offered a chance to apply for legal status,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Economy/Jobs,Yes,Support, ,Democrat,White Democrat,Democrat,Democratic Men,Conservative,Conservative,Somewhat conservative,36,Tells it like it is,White,White,State questionnaire,White,White,Midwest,Male,White men,"Cities 10,000-50,000",Small Cities/Rural, Illinois,Election day exit poll,Be satisfied with that choice,Sometime last week,Earlier than that,In the last month,This week, ,Yes,Not Donald Trump, ,Version 1, , , ,.102609857916832,No,45-65,30-59,45-49,45+,17-49,45-59,40-49,White 45-59
496220,Complete, ,Yes,Call 1,2, ,Yes, , ,High school or less,No college degree,High school graduate or less,White no college degree,4,Getting ahead financially,Angry,"Dissatisfied, but not angry or Angry",Ben Carson,Mark Kirk,Deported to the country they came from,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Immigration,Yes,Support, ,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative,36,Tells it like it is,White,White,State questionnaire,White,White,Midwest,Female,White women,"Cities 10,000-50,000",Small Cities/Rural, Illinois,Election day exit poll,Be satisfied with that choice,In the last few days,Last few days,In the last month,This week, ,Yes,Not Donald Trump, ,Version 1, , , ,.116955772042274,No,45-65,60+,60-64,45+,50+,60+,50-64,White 60+
496763,Complete,No, ,Call 1,16,Marco Rubio, ,Very worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,4, , , ,Ben Carson,Mark Kirk, , , , , , , , ,Terrorism, , ,Be from outside the political establishment,Independent/Something else,White Independent,Independent,Independent Women,Conservative,Conservative,Very conservative,98,Shares my values,White,White,State questionnaire,White,White,Midwest,Female,White women,"Cities 50,000-500,000","Cities over 50,000", Illinois,Election day exit poll, , , , , ,Takes away U.S. jobs, ,Not Donald Trump,Donald Trump,Version 2,Probably vote for him,Probably vote for him,Not vote for him,.148793712258339, ,65+,60+,65 or over,45+,50+,60+,65+,White 60+
