id,backside,brnagain,call,cdnum,cruzhone,describs,econrep1,econworr,ecoworr2,educ12r,educcoll,educhs,educwhit,geocode,gop20162,gop201_1,govtangr,govtan_1,immdepor,inc100k,inc30k,inc50k,income3,income4,income16,incwhite,issrep16,msrprs16,muslimba,outsider,party,partybyr,partyid,partysex,phil2r,phil3x,phil4c,precinct,qlt16rep,qrace3,qraceai,qtype,race,race2b,region,rubiohon,satcruz,satrubio,sattrump,sex,sexbyrac,sharerel,sharer_1,sizeplac,sizeplc3,stanum,telepoll,timenh16,timeprif,timeprim,timepriw,trade16,trumphon,trumpvot,version,weight,whnclinc,whtevang,xage,xage3,xage8,xage45,xage49,xage60,xage65,xagebyra
442606,Complete,Yes,Call 1,2,Omit, , , , ,College graduate,College graduate,More than High school graduate,Non white college degree,1, , ,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and non white",Government spending,Ben Carson,Oppose, ,Independent/Something else,Black Independent,Independent,Independent Women,Moderate/Liberal,Liberal,Liberal,33,Shares my values,Black,Black,State questionnaire,Black,Non-white,South,Omit,Satisfied,Omit,Dissatisfied,Female,Black women, , ,"Cities 50,000-500,000","Cities over 50,000", Mississippi,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that, ,No,Not Donald Trump,Version 1,.290920674800873,No,All others,17-29,17-29,25-29,17-44,17-49,17-29,25-29,Black 17-29
442721,Complete,Yes,Call 1,3,No, , , , ,High school or less,No college degree,High school graduate or less,White no college degree,2, , ,Angry,"Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Economy/Jobs,Ben Carson,Oppose, ,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative,102,Shares my values,White,White,State questionnaire,White,White,South,Yes,Satisfied,Satisfied,Dissatisfied,Male,White men, , ,Rural,Small Cities/Rural, Mississippi,Election day exit poll,Sometime last week,Earlier than that,In the last month,This week, ,No,Not Donald Trump,Version 1,.342714220285416,Yes,White Born-again/Evangelical Christians,65+,60+,65 or over,45+,50+,60+,65+,White 60+
442722,Complete,Yes,Call 1,3,No, , , , ,High school or less,No college degree,High school graduate or less,White no college degree,2, , ,Angry,"Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Economy/Jobs,Ben Carson,Oppose, ,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative,102,Shares my values,White,White,State questionnaire,White,White,South,Yes,Satisfied,Satisfied,Dissatisfied,Male,White men, , ,Rural,Small Cities/Rural, Mississippi,Election day exit poll,Sometime last week,Earlier than that,In the last month,This week, ,No,Not Donald Trump,Version 1,.342714220285416,Yes,White Born-again/Evangelical Christians,65+,60+,65 or over,45+,50+,60+,65+,White 60+
442738,Complete,Yes,Call 1,2, ,I like my candidate but with reservations,Donald Trump,Very worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,1,Donald Trump,Donald Trump, , , ,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Economy/Jobs,Ben Carson, ,Have experience in politics,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative,11,Can bring needed change,White,White,State questionnaire,White,White,South, , , , ,Female,White women,A great deal,A great deal or somewhat,Rural,Small Cities/Rural, Mississippi,Election day exit poll, , , , ,Creates more U.S. jobs, ,Not Donald Trump,Version 2,.452143400907516,Yes,White Born-again/Evangelical Christians,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59
442858,Complete,Yes,Call 1,2, ,I strongly favor my candidate,Donald Trump,Somewhat worried,Worried,College graduate,College graduate,More than High school graduate,White college degree,1,Ted Cruz,Donald Trump, , , ,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Terrorism,Ben Carson, ,Be from outside the political establishment,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative,11,Shares my values,White,White,State questionnaire,White,White,South, , , , ,Male,White men,A great deal,A great deal or somewhat,Rural,Small Cities/Rural, Mississippi,Election day exit poll, , , , ,Takes away U.S. jobs, ,Not Donald Trump,Version 2,.452143400907516,No,White Born-again/Evangelical Christians,30-44,30-59,40-44,17-44,17-49,30-44,40-49,White 30-44
443148,Complete,Yes,Call 1,3,Yes, , , , ,Postgraduate study,College graduate,More than High school graduate,Non white college degree,2, , ,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$200,000 or more","$200,000 or more","Over $50,000 and non white",Government spending,Ben Carson,Oppose, ,Republican,All Republicans,Republican,Republican Women,Moderate/Liberal,Moderate,Moderate,100,Can win in November,Black,Black,State questionnaire,Black,Non-white,South,No,Satisfied,Satisfied,Dissatisfied,Female,Black women, , ,Suburbs,Suburbs, Mississippi,Election day exit poll,In the last few days,Last few days,In the last month,This week, ,No,Not Donald Trump,Version 1,4.23555946350098,No,All others,45-65,60+,60-64,45+,50+,60+,50-64,Black 60+
443160,Complete,Yes,Call 1,3,Yes, , , , ,College graduate,College graduate,More than High school graduate,White college degree,2, , ,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Terrorism,Ben Carson,Oppose, ,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative,100,Can bring needed change,White,White,State questionnaire,White,White,South,No,Dissatisfied,Dissatisfied,Dissatisfied,Female,White women, , ,Suburbs,Suburbs, Mississippi,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that, ,No,Not Donald Trump,Version 1,1.05888986587524,No,White Born-again/Evangelical Christians,30-44,30-59,40-44,17-44,17-49,30-44,40-49,White 30-44
443178,Complete,Yes,Call 1,1, ,I strongly favor my candidate,Donald Trump,Very worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,3,Donald Trump,Donald Trump, , , ,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Terrorism,Ben Carson, ,Be from outside the political establishment,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative,16,Shares my values,White,White,State questionnaire,White,White,South, , , , ,Female,White women,A great deal,A great deal or somewhat,Suburbs,Suburbs, Mississippi,Election day exit poll, , , , ,Creates more U.S. jobs, ,Not Donald Trump,Version 2,.820077240467072,No,White Born-again/Evangelical Christians,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59
443365,Complete,Yes,Call 2,1, ,I strongly favor my candidate,Ted Cruz,Not at all worried,Not worried,High school or less,No college degree,High school graduate or less,White no college degree,3,Ted Cruz,Marco Rubio, , , ,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Immigration,Ben Carson, ,Have experience in politics,Democrat,White Democrat,Democrat,Democratic Men,Conservative,Conservative,Very conservative,15,Can bring needed change,White,White,State questionnaire,White,White,South, , , , ,Male,White men,A great deal,A great deal or somewhat,Suburbs,Suburbs, Mississippi,Election day exit poll, , , , ,Has no effect on U.S. jobs, ,Not Donald Trump,Version 2,.744055569171906,Yes,White Born-again/Evangelical Christians,45-65,30-59,45-49,45+,17-49,45-59,40-49,White 45-59
443617,Complete,Yes,Call 2,4, ,I strongly favor my candidate,Ted Cruz,Very worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,2,Ted Cruz,Marco Rubio, , , , , , , , , , ,Government spending,Ben Carson, ,Be from outside the political establishment,Independent/Something else,White Independent,Something else,Independent Men,Conservative,Conservative,Very conservative,47,Can bring needed change,White,White,State questionnaire,White,White,South, , , , ,Male,White men,A great deal,A great deal or somewhat,"Cities 10,000-50,000",Small Cities/Rural, Mississippi,Election day exit poll, , , , ,Takes away U.S. jobs, ,Not Donald Trump,Version 2,.537246465682983, ,White Born-again/Evangelical Christians,45-65,60+,60-64,45+,50+,60+,50-64,White 60+
