id,age,age3,age8,age45,age49,age60,age65,ageblack,agebyrac,agebyr_1,backside,betrayed,break12p,breakfac,breakimp,brnagain,call,cdnum,describs,econrep1,econworr,ecoworr2,educ12r,educcoll,educhs,educwhit,geocode,getahead,govtangr,govtan_1,gunowner,immdepor,inc100k,inc30k,inc50k,income3,income4,income16,incwhite,intcrisi,issrep16,issvqual,life,married,muslimba,nhrprs16,outsider,over45,over65,party,partybyr,partyid,partysex,phil2r,phil3x,phil4c,precinct,prevpri,qlt16rep,qrace3,qraceai,qtype,race,race2b,region,regnhrep,satcruz,satrubio,sattrump,sex,sexbyrac,sexwed,sizeplac,sizeplc3,stanum,telepoll,terrworr,terworr2,timenh16,timeprif,timeprim,timepriw,trumpvot,version,weight,whnclinc,whtevang
110734,45-65,30-59,45-49,45+,1,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Complete, , , , ,No,Call 1,2, , , , ,College graduate,College graduate,More than High school graduate,White college degree,4, ,Angry,"Dissatisfied, but not angry or Angry", , ,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white", ,Government spending, ,About the same, , ,Ted Cruz,Be from outside the political establishment,45+,18-64,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative,90, ,Shares my values,White,White,State questionnaire,White,White,East,Registered as Republican,Satisfied,Satisfied,Satisfied,Male,White men, ,Suburbs,Suburbs,New Hampshire,Election day exit poll, , ,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump,Version 2,.876502871513367,No,All others
110736,30-44,30-59,40-44,18-44,1,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,Complete, ,A minor factor,A factor,Not important,No,Call 1,2, , , , ,Postgraduate study,College graduate,More than High school graduate,White college degree,2, , , , ,Offered a chance to apply for legal status,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white", ,Government spending,My candidate's positions on the issues, ,No,Oppose,Marco Rubio, ,18-44,18-64,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative,73,Yes,Can win in November,White,White,State questionnaire,White,White,East, , , , ,Male,White men,Non married men,"Cities 50,000-500,000","Cities over 50,000",New Hampshire,Election day exit poll, , ,In the last few days,Last few days,In the last month,This week,Not Donald Trump,Version 1,.70877593755722,No,All others
110741,45-65,30-59,50-59,45+,2,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete, , , , ,Yes,Call 1,2, , , , ,College graduate,College graduate,More than High school graduate,White college degree,2, ,Angry,"Dissatisfied, but not angry or Angry", , ,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white", ,Government spending, ,Worse than life today, , ,Ted Cruz,Be from outside the political establishment,45+,18-64,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative,73, ,Shares my values,White,White,State questionnaire,White,White,East,Registered as Republican,Satisfied,Dissatisfied,Satisfied,Male,White men, ,"Cities 50,000-500,000","Cities over 50,000",New Hampshire,Election day exit poll, , ,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump,Version 2,.821709752082825,No,White Born-again/Evangelical Christians
110746,45-65,30-59,50-59,45+,2,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,Yes, , , ,No,Call 1,2,I like my candidate but with reservations,John Kasich,Very worried,Worried,College graduate,College graduate,More than High school graduate,White college degree,4,Holding steady financially, , ,No, ,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$200,000 or more","$200,000 or more","Over $50,000 and white",John Kasich, , , , , ,John Kasich, ,45+,18-64,Independent/Something else,White Independent,Independent,Independent Men,Moderate/Liberal,Moderate,Moderate,90,Yes, ,White,White,State questionnaire,White,White,East,Registered as Republican, , , ,Male,White men, ,Suburbs,Suburbs,New Hampshire,Election day exit poll,Not too worried,Not too or not at all worried, , , , ,Not Donald Trump,Version 3,1.18298447132111,No,All others
110748,65+,60+,65 or over,45+,2,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, ,One of several important factors,A factor,Important,No,Call 1,2, , , , ,College graduate,College graduate,More than High school graduate,White college degree,2, , , , ,Offered a chance to apply for legal status,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white", ,Government spending,My candidate's positions on the issues, ,No,Oppose,Chris Christie, ,45+,65+,Independent/Something else,White Independent,Independent,Independent Men,Moderate/Liberal,Moderate,Moderate,73,Yes,Tells it like it is,White,White,State questionnaire,White,White,East, , , , ,Male,White men,Non married men,"Cities 50,000-500,000","Cities over 50,000",New Hampshire,Election day exit poll, , ,In the last month,Earlier than that,In the last month,Earlier than that,Not Donald Trump,Version 1,.51744019985199,No,All others
110752,45-65,60+,60-64,45+,2,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete, ,The most important factor,A factor,Important,No,Call 1,2, , , , ,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,4, , , , ,Deported to the country they came from,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white", ,Terrorism,My candidate's leadership/personal qualities, ,Yes,Support,Jeb Bush, ,45+,18-64,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative,90,Yes,Shares my values,White,White,State questionnaire,White,White,East, , , , ,Male,White men,Married men,Suburbs,Suburbs,New Hampshire,Election day exit poll, , ,Just today,Last few days,In the last month,This week,Not Donald Trump,Version 1,1.60985040664673,No,All others
110755,45-65,60+,60-64,45+,2,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete, , , , ,No,Call 1,2, , , , ,College graduate,College graduate,More than High school graduate,White college degree,2, ,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry", , ,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white", ,Economy/Jobs, ,Better than life today, , ,Ben Carson,Have experience in politics,45+,18-64,Independent/Something else,White Independent,Independent,Independent Women,Conservative,Conservative,Somewhat conservative,73, ,Can bring needed change,White,White,State questionnaire,White,White,East,Registered as Republican,Dissatisfied,Satisfied,Dissatisfied,Female,White women, ,"Cities 50,000-500,000","Cities over 50,000",New Hampshire,Election day exit poll, , ,Just today,Last few days,In the last month,This week,Not Donald Trump,Version 2,.47345307469368,No,All others
110758,65+,60+,65 or over,45+,2,60+,65+,Non-Black 60+,White 60+,White 65+,Not complete, ,One of several important factors,A factor,Important, ,Call 1,2, , , , , , , , ,4, , , , , , , , , , , , , , , , , , ,Jeb Bush, ,45+,65+, , , , , , , ,90,Yes, ,White,White,State questionnaire,White,White,East, , , , ,Female,White women, ,Suburbs,Suburbs,New Hampshire,Election day exit poll, , ,In the last month,Earlier than that,In the last month,Earlier than that,Not Donald Trump,Version 1,1.82961225509644, , 
110762,45-65,60+,60-64,45+,2,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,Yes, , , ,No,Call 1,2,I strongly favor my candidate,Donald Trump,Very worried,Worried,College graduate,College graduate,More than High school graduate,White college degree,2,Getting ahead financially, , ,Yes, ,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$200,000 or more","$200,000 or more","Over $50,000 and white",Ted Cruz, , , , , ,Ted Cruz, ,45+,18-64,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Very conservative,73,Yes, ,White,White,State questionnaire,White,White,East,Registered as Republican, , , ,Female,White women, ,"Cities 50,000-500,000","Cities over 50,000",New Hampshire,Election day exit poll,Very worried,Very or somewhat worried, , , , ,Not Donald Trump,Version 3,1.01801955699921,No,All others
110764,45-65,30-59,45-49,45+,1,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Complete, , , , ,No,Call 1,2, , , , ,High school or less,No college degree,High school graduate or less,White no college degree,4, ,Angry,"Dissatisfied, but not angry or Angry", , ,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white", ,Economy/Jobs, ,Worse than life today, , ,John Kasich,Have experience in politics,45+,18-64,Independent/Something else,White Independent,Independent,Independent Men,Moderate/Liberal,Moderate,Moderate,90, ,Shares my values,White,White,State questionnaire,White,White,East,Registered as Republican,Dissatisfied,Dissatisfied,Dissatisfied,Male,White men, ,Suburbs,Suburbs,New Hampshire,Election day exit poll, , ,In the last few days,Last few days,In the last month,This week,Not Donald Trump,Version 2,1.19060742855072,No,All others
110769,65+,60+,65 or over,45+,2,60+,65+,Non-Black 60+,White 60+,White 65+,Not complete, , , , , ,Call 1,2,I strongly favor my candidate, ,Very worried,Worried, , , , ,2, , , , , , , , , , , , , , , , , , ,Donald Trump, ,45+,65+, , , , , , , ,73,Yes, ,White,White,State questionnaire,White,White,East, , , , ,Male,White men, ,"Cities 50,000-500,000","Cities over 50,000",New Hampshire,Election day exit poll,Very worried,Very or somewhat worried, , , , ,Donald Trump,Version 3,.722225546836853, , 
