ID,BACKSIDE,CALL,CDNUM,EDUC12R,EDUCCOLL,EDUCHS,EDUCWHITE,GEOCODE,INC100K,INC30K,INC50K,INCOME3,INCOME16CAU,INCWHITE,ISSDEM16,LATINO,NVDPRS16,OBAMAPLCY,PARTY,PARTYBLACK,PARTYBYRACE,PARTYIA,PARTYWHITE,PHIL4,PHIL2D,PHIL3X,PRECINCT,PREVCAUCDEMNV,QLT16DEMCAU,QRACE3,QRACEAI,QTYPE,RACE,RACE2B,RACEAI,REGION,SCOTUSDEM16,SEX,SEXBYRACE,SIZEPLAC,SIZEPLC3,SPANISHQ,STANUM,TELEPOLL,TIMEIA16,TIMEPRIFEWDAYS,TIMEPRIMTH,TIMEPRIWK,UNIONHH12,VERSION,WEIGHT,WHNCLINC,XAGE,XAGE3,XAGE8,XAGE45,XAGE49,XAGE60,XAGE65,XAGEBYRACE,ZIPCODE
131304.0,Complete,Call 3,2.0,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,3.0,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $30,000","Under $50,000 and non white",Health care,Yes,Hillary Clinton,Omit,Democrat,Non-black Democrat,Latino Democrat,Democrat,Non-White Democrats,,,,1.0,"Yes, I attended a caucus before",Cares about people like me,Other,,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,West,Hillary Clinton,Female,Latino women,Rural,Small Cities/Rural,English,Nevada,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,No,Version 1,1.56721127033234,No,65+,60+,65 or over,45+,50+,60+,65+,Latino 60+,89406.0
131288.0,Complete,Call 3,2.0,Postgraduate study,College graduate,More than High school graduate,Non white college degree,1.0,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $30,000","Under $50,000 and non white",Health care,Yes,Hillary Clinton,Generally continue Barack Obama's policies,Democrat,Non-black Democrat,Latino Democrat,Democrat,Non-White Democrats,Very liberal,Liberal,Liberal,102.0,"No, this is my first caucus",Omit,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,West,Hillary Clinton,Female,Latino women,"Cities 50,000-500,000","Cities over 50,000",Spanish,Nevada,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,No,Version 1,1.37761807441711,No,65+,60+,65 or over,45+,50+,60+,65+,Latino 60+,89512.0
131275.0,Complete,Call 3,1.0,High school or less,No college degree,High school graduate or less,White no college degree,2.0,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"$30,000-$49,999","Under $50,000 and white",Health care,No,Hillary Clinton,Change to more liberal policies,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Conservative,Moderate or conservative,Conservative,58.0,"Yes, I attended a caucus before",Cares about people like me,White,White,State questionnaire,White,White,White,West,Hillary Clinton,Female,White women,"Cities over 500,000","Cities over 50,000",English,Nevada,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,No,Version 1,0.533823192119598,Yes,65+,60+,65 or over,45+,50+,60+,65+,White 60+,89103.0
131274.0,Complete,Call 2,2.0,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,1.0,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","Over $50,000 and non white",Economy/Jobs,No,Hillary Clinton,Generally continue Barack Obama's policies,Democrat,Non-black Democrat,All Other,Democrat,Non-White Democrats,Somewhat liberal,Liberal,Liberal,103.0,"No, this is my first caucus",Has the right experience,Other,American Indian,State questionnaire,Other,Non-white,American Indian,West,Hillary Clinton,Female,All other races,"Cities 50,000-500,000","Cities over 50,000",English,Nevada,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,No,Version 1,1.49641859531403,No,45-65,30-59,45-49,45+,17-49,45-59,40-49,All others,89502.0
131263.0,Complete,Call 3,1.0,High school or less,No college degree,High school graduate or less,White no college degree,2.0,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $30,000","Under $50,000 and white",Economy/Jobs,No,Hillary Clinton,Generally continue Barack Obama's policies,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Conservative,Moderate or conservative,Conservative,58.0,"Yes, I attended a caucus before",Has the right experience,White,White,State questionnaire,White,White,White,West,Hillary Clinton,Male,White men,"Cities over 500,000","Cities over 50,000",English,Nevada,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,No,Version 1,0.552120447158813,Yes,65+,60+,65 or over,45+,50+,60+,65+,White 60+,89103.0
131260.0,Complete,Call 3,2.0,Postgraduate study,College graduate,More than High school graduate,White college degree,3.0,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","Over $50,000 and white",Economy/Jobs,No,Hillary Clinton,Generally continue Barack Obama's policies,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Moderate,Moderate or conservative,Moderate,1.0,"Yes, I attended a caucus before",Can win in November,White,White,State questionnaire,White,White,White,West,Hillary Clinton,Female,White women,Rural,Small Cities/Rural,English,Nevada,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,No,Version 1,1.98921597003937,No,65+,60+,65 or over,45+,50+,60+,65+,White 60+,89406.0
131253.0,Complete,Call 2,1.0,High school or less,No college degree,High school graduate or less,Non white no college degree,2.0,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $30,000","Under $50,000 and non white",Health care,Yes,Hillary Clinton,Change to more liberal policies,Democrat,Non-black Democrat,Latino Democrat,Democrat,Non-White Democrats,Very liberal,Liberal,Liberal,64.0,"No, this is my first caucus",Has the right experience,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,West,Hillary Clinton,Female,Latino women,"Cities over 500,000","Cities over 50,000",English,Nevada,Election day exit poll,Just today,Last few days,In the last month,This month,No,Version 1,1.35362303256989,No,45-65,60+,60-64,45+,50+,60+,50-64,Latino 60+,89102.0
131252.0,Complete,Call 3,1.0,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,2.0,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $30,000","Under $50,000 and non white",Health care,No,Hillary Clinton,Omit,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Moderate,Moderate or conservative,Moderate,58.0,"No, this is my first caucus",Cares about people like me,Black,Black,State questionnaire,Black,Non-white,Black,West,Hillary Clinton,Male,Black men,"Cities over 500,000","Cities over 50,000",English,Nevada,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,No,Version 1,0.652168095111847,No,65+,60+,65 or over,45+,50+,60+,65+,Black 60+,89103.0
131246.0,Complete,Call 3,2.0,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,3.0,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"$30,000-$49,999","Under $50,000 and white",Economy/Jobs,No,Hillary Clinton,Change to more liberal policies,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Very liberal,Liberal,Liberal,1.0,"Yes, I attended a caucus before",Can win in November,White,White,State questionnaire,White,White,White,West,Hillary Clinton,Female,White women,Rural,Small Cities/Rural,English,Nevada,Election day exit poll,In the last few days,Last few days,In the last month,This month,Yes,Version 1,1.98921597003937,Yes,65+,60+,65 or over,45+,50+,60+,65+,White 60+,89406.0
131240.0,Complete,Call 2,1.0,College graduate,College graduate,More than High school graduate,Non white college degree,2.0,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","Over $50,000 and non white",Terrorism,Yes,Hillary Clinton,Generally continue Barack Obama's policies,Democrat,Non-black Democrat,Latino Democrat,Democrat,Non-White Democrats,Very liberal,Liberal,Liberal,64.0,"No, this is my first caucus",Has the right experience,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,West,Hillary Clinton,Male,Latino men,"Cities over 500,000","Cities over 50,000",English,Nevada,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,No,Version 1,1.40001976490021,No,45-65,60+,60-64,45+,50+,60+,50-64,Latino 60+,89102.0
