id,backside,betrayed,brnagain,call,cdnum,econrep1,econworr,ecoworr2,educ12r,educcoll,educhs,educwhit,geocode,govtangr,govtan_1,immdepor,inc100k,inc30k,inc50k,income3,income4,income16,incwhite,intcrisi,issrep16,muslimba,outsider,party,partybyr,partyid,partysex,phil2r,phil3x,phil4c,precinct,qlt16rep,qrace3,qraceai,qtype,race,race2b,region,satcruz,satrubio,sattrump,scotusre,sex,sexbyrac,sharerel,sharer_1,sizeplac,sizeplc3,stanum,telepoll,timenh16,timeprif,timeprim,timepriw,trumpvot,unfairre,varprs16,version,vetvoter,weight,whnclinc,whtevang,xage,xage3,xage8,xage45,xage49,xage60,xage65,xagebyra
398314,Complete,No,No,Call 1,2,Ted Cruz,Very worried,Worried,Postgraduate study,College graduate,More than High school graduate,Non white college degree,5, , , , , , , , , , ,Ted Cruz,Terrorism, ,Have experience in politics,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative,112,Can bring needed change,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,South, , , , ,Male,Latino men,Somewhat,A great deal or somewhat,"Cities 50,000-500,000","Cities over 50,000", Virginia,Election day exit poll, , , , ,Not Donald Trump,Ted Cruz,Jeb Bush,Version 2,Yes,.467301279306412, ,All others,45-65,60+,60-64,45+,50+,60+,50-64,Latino 60+
398317,Complete, ,No,Call 1,2, , , ,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,5,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white", ,Government spending,Support, ,Independent/Something else,White Independent,Independent,Independent Women,Conservative,Conservative,Somewhat conservative,112,Shares my values,White,White,State questionnaire,White,White,South,Satisfied,Dissatisfied,Omit,Ted Cruz,Female,White women, , ,"Cities 50,000-500,000","Cities over 50,000", Virginia,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump, ,Ted Cruz,Version 1, ,.924873530864716,Yes,All others,45-65,30-59,45-49,45+,17-49,45-59,40-49,White 45-59
398321,Complete, ,No,Call 1,2, , , ,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,5,Angry,"Dissatisfied, but not angry or Angry",Deported to the country they came from,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white", ,Economy/Jobs,Support, ,Independent/Something else,White Independent,Something else,Independent Men,Conservative,Conservative,Somewhat conservative,112,Shares my values,White,White,State questionnaire,White,White,South,Satisfied,Dissatisfied,Dissatisfied,Ted Cruz,Male,White men, , ,"Cities 50,000-500,000","Cities over 50,000", Virginia,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump, ,Ted Cruz,Version 1, ,.959981799125671,No,All others,45-65,30-59,45-49,45+,17-49,45-59,40-49,White 45-59
398326,Complete,No,Yes,Call 1,2,Donald Trump,Very worried,Worried,High school or less,No college degree,High school graduate or less,White no college degree,5, , , , , , , , , , ,Donald Trump,Government spending, ,Be from outside the political establishment,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative,112,Shares my values,White,White,State questionnaire,White,White,South, , , , ,Female,White women,A great deal,A great deal or somewhat,"Cities 50,000-500,000","Cities over 50,000", Virginia,Election day exit poll, , , , ,Donald Trump,Ted Cruz,Donald Trump,Version 2,No,.972018241882324, ,White Born-again/Evangelical Christians,65+,60+,65 or over,45+,50+,60+,65+,White 60+
398333,Complete,No,Yes,Call 1,2,John Kasich,Very worried,Worried,High school or less,No college degree,High school graduate or less,White no college degree,5, , , , , , , , , , ,John Kasich,Terrorism, ,Have experience in politics,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Somewhat conservative,112,Can bring needed change,White,White,State questionnaire,White,White,South, , , , ,Male,White men,Somewhat,A great deal or somewhat,"Cities 50,000-500,000","Cities over 50,000", Virginia,Election day exit poll, , , , ,Not Donald Trump,Ted Cruz,Marco Rubio,Version 2,Yes,.831079185009003, ,White Born-again/Evangelical Christians,65+,60+,65 or over,45+,50+,60+,65+,White 60+
398336,Complete,No,Yes,Call 1,2,Donald Trump,Very worried,Worried,College graduate,College graduate,More than High school graduate,White college degree,5, , , , , , , , , , ,Donald Trump,Terrorism, ,Be from outside the political establishment,Republican,All Republicans,Republican,Republican Women,Moderate/Liberal,Moderate,Moderate,112,Can bring needed change,White,White,State questionnaire,White,White,South, , , , ,Female,White women,Somewhat,A great deal or somewhat,"Cities 50,000-500,000","Cities over 50,000", Virginia,Election day exit poll, , , , ,Not Donald Trump,Ted Cruz,Marco Rubio,Version 2,No,.911497235298157, ,White Born-again/Evangelical Christians,65+,60+,65 or over,45+,50+,60+,65+,White 60+
398340,Complete,Yes,Yes,Call 1,9,Donald Trump,Very worried,Worried,College graduate,College graduate,More than High school graduate,White college degree,3, , , , , , , , , , ,Donald Trump,Economy/Jobs, ,Be from outside the political establishment,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Very conservative,80,Can bring needed change,White,White,State questionnaire,White,White,South, , , , ,Female,White women,A great deal,A great deal or somewhat,Rural,Small Cities/Rural, Virginia,Election day exit poll, , , , ,Donald Trump,John Kasich,Donald Trump,Version 2,No,1.13060355186462, ,White Born-again/Evangelical Christians,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59
398342,Complete, ,Yes,Call 1,2, , , ,High school or less,No college degree,High school graduate or less,Non white no college degree,5,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and non white", ,Terrorism,Oppose, ,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative,112,Shares my values,Other,Asian,State questionnaire,Asian,Non-white,South,Omit,Satisfied,Dissatisfied,John Kasich,Female,All other races, , ,"Cities 50,000-500,000","Cities over 50,000", Virginia,Election day exit poll,Just today,Last few days,In the last month,This week,Not Donald Trump, ,Marco Rubio,Version 1, ,.986399114131927,No,All others,65+,60+,65 or over,45+,50+,60+,65+,All others
398347,Complete, ,Yes,Call 1,9, , , ,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,3,Angry,"Dissatisfied, but not angry or Angry",Deported to the country they came from,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white", ,Economy/Jobs,Support, ,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Very conservative,80,Can bring needed change,White,White,State questionnaire,White,White,South,Dissatisfied,Dissatisfied,Satisfied,John Kasich,Female,White women, , ,Rural,Small Cities/Rural, Virginia,Election day exit poll,Just today,Last few days,In the last month,This week,Not Donald Trump, ,John Kasich,Version 1, ,1.12326002120972,No,White Born-again/Evangelical Christians,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59
398348,Complete, ,Yes,Call 1,2, , , ,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,5,Angry,"Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white", ,Economy/Jobs,Oppose, ,Independent/Something else,White Independent,Something else,Independent Men,Conservative,Conservative,Somewhat conservative,112,Shares my values,White,White,State questionnaire,White,White,South,Satisfied,Satisfied,Dissatisfied,John Kasich,Male,White men, , ,"Cities 50,000-500,000","Cities over 50,000", Virginia,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump, ,Ted Cruz,Version 1, ,.959981799125671,No,White Born-again/Evangelical Christians,30-44,30-59,30-39,17-44,17-49,30-44,30-39,White 30-44
