ID,BACKSIDE,CALL,CDNUM,COALHH,DEMFAIR,ECONWORR,ECOWORR2,EDUC12R,EDUCCOLL,EDUCHS,EDUCWHITE,GEOCODE,HRCTRUMPWV,INC100K,INC30K,INC50K,INCOME3,INCOME4,INCOME16,INCWHITE,ISSDEM16,LATINO,NOVCLINTON,OBAMAPLCY,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYWHITE,PHIL4,PHIL2D,PHIL3X,PRECINCT,QLT16DEMPRI,QRACE3,QRACEAI,QTYPE,RACE,RACE2B,RACEAI,REGION,SANDTRUMPWV,SEX,SEXBYRACE,SIZEPLAC,SIZEPLC3,STANUM,TELEPOLL,TIMENH16,TIMEPRIFEWDAYS,TIMEPRIMTH,TIMEPRIWK,TRADE16,VERSION,WEIGHT,WHNCLINC,WVDPRS16,XAGE,XAGE3,XAGE8,XAGE45,XAGE49,XAGE60,XAGE65,XAGEBYRACE,ZIPCODE
629651.0,Complete,Call 3,2.0,No,Fair,Very worried,Worried,High school or less,No college degree,High school graduate or less,Non white no college degree,2.0,Vote for Hillary Clinton,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and non white",Health care,No,Very likely,Generally continue Barack Obama's policies,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,,,,1.0,Cares about people like me,Black,Black,State questionnaire,Black,Non-white,Black,East,Vote for Bernie Sanders,Female,Black women,Suburbs,Suburbs,West Virginia,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Omit,Version 1,0.505636036396027,No,Hillary Clinton,,,,,,,,,25414.0
629471.0,Complete,Call 3,2.0,No,Fair,Somewhat worried,Worried,High school or less,No college degree,High school graduate or less,White no college degree,4.0,Vote for Hillary Clinton,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Income inequality,No,Somewhat likely,Generally continue Barack Obama's policies,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Somewhat liberal,Liberal,Liberal,42.0,Has the right experience,White,White,State questionnaire,White,White,White,East,Vote for Bernie Sanders,Female,White women,"Cities 50,000-500,000","Cities over 50,000",West Virginia,Election day exit poll,In the last month,Earlier than that,In the last month,Earlier than that,Takes away U.S. jobs,Version 1,0.534453988075256,No,Hillary Clinton,17-29,17-29,17-24,17-44,17-49,17-29,17-24,White 17-29,25304.0
629323.0,Complete,Call 3,1.0,No,Fair,Very worried,Worried,College graduate,College graduate,More than High school graduate,White college degree,1.0,Vote for Hillary Clinton,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Income inequality,No,Somewhat likely,Change to more liberal policies,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Very liberal,Liberal,Liberal,78.0,Has the right experience,White,White,State questionnaire,White,White,White,East,Vote for Bernie Sanders,Female,White women,Rural,Small Cities/Rural,West Virginia,Election day exit poll,In the last month,Earlier than that,In the last month,Earlier than that,Creates more U.S. jobs,Version 1,0.721036672592163,No,Hillary Clinton,17-29,17-29,17-24,17-44,17-49,17-29,17-24,White 17-29,26554.0
629315.0,Complete,Call 3,1.0,Yes,Fair,Very worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,1.0,Vote for Hillary Clinton,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Economy/Jobs,No,Somewhat likely,Generally continue Barack Obama's policies,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Somewhat liberal,Liberal,Liberal,78.0,Can win in November,White,White,State questionnaire,White,White,White,East,Vote for Bernie Sanders,Male,White men,Rural,Small Cities/Rural,West Virginia,Election day exit poll,In the last month,Earlier than that,In the last month,Earlier than that,Takes away U.S. jobs,Version 1,0.757773876190186,No,Hillary Clinton,17-29,17-29,17-24,17-44,17-49,17-29,17-24,White 17-29,26554.0
629308.0,Complete,Call 3,3.0,No,Fair,Somewhat worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,3.0,Vote for Hillary Clinton,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Omit,No,Very likely,Generally continue Barack Obama's policies,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Very liberal,Liberal,Liberal,15.0,Cares about people like me,White,White,State questionnaire,White,White,White,East,Vote for Bernie Sanders,Female,White women,Suburbs,Suburbs,West Virginia,Election day exit poll,In the last month,Earlier than that,In the last month,Earlier than that,Has no effect on U.S. jobs,Version 1,2.25372791290283,Yes,Hillary Clinton,17-29,17-29,25-29,17-44,17-49,17-29,25-29,White 17-29,25541.0
629307.0,Complete,Call 3,1.0,No,Fair,Somewhat worried,Worried,High school or less,No college degree,High school graduate or less,White no college degree,1.0,Vote for Hillary Clinton,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$200,000 or more","$200,000 or more","Over $50,000 and white",Income inequality,No,Very likely,Generally continue Barack Obama's policies,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Somewhat liberal,Liberal,Liberal,78.0,Can win in November,White,White,State questionnaire,White,White,White,East,Not vote for either candidate,Female,White women,Rural,Small Cities/Rural,West Virginia,Election day exit poll,In the last few days,Last few days,In the last month,This month,Has no effect on U.S. jobs,Version 1,0.721036672592163,No,Hillary Clinton,17-29,17-29,17-24,17-44,17-49,17-29,17-24,White 17-29,26554.0
629119.0,Complete,Call 2,3.0,Yes,Fair,Very worried,Worried,High school or less,No college degree,High school graduate or less,White no college degree,4.0,Vote for Hillary Clinton,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Economy/Jobs,No,Somewhat likely,Generally continue Barack Obama's policies,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Very liberal,Liberal,Liberal,95.0,Cares about people like me,White,White,State questionnaire,White,White,White,East,Vote for Bernie Sanders,Female,White women,"Cities 10,000-50,000",Small Cities/Rural,West Virginia,Election day exit poll,In the last few days,Last few days,In the last month,This month,Takes away U.S. jobs,Version 1,3.84986901283264,Yes,Hillary Clinton,17-29,17-29,25-29,17-44,17-49,17-29,25-29,White 17-29,25801.0
628962.0,Complete,Call 2,1.0,Yes,Fair,Very worried,Worried,High school or less,No college degree,High school graduate or less,White no college degree,1.0,Not vote for either candidates,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Economy/Jobs,No,Somewhat likely,Generally continue Barack Obama's policies,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Somewhat liberal,Liberal,Liberal,64.0,Honest and trustworthy,White,White,State questionnaire,White,White,White,East,Not vote for either candidate,Female,White women,Rural,Small Cities/Rural,West Virginia,Election day exit poll,In the last month,Earlier than that,In the last month,Earlier than that,Takes away U.S. jobs,Version 1,1.8575541973114,Yes,Hillary Clinton,17-29,17-29,17-24,17-44,17-49,17-29,17-24,White 17-29,26588.0
628934.0,Complete,Call 2,3.0,No,Fair,Very worried,Worried,Postgraduate study,College graduate,More than High school graduate,White college degree,4.0,Vote for Donald Trump,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Economy/Jobs,No,Somewhat likely,Change to less liberal policies,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Somewhat liberal,Liberal,Liberal,54.0,Honest and trustworthy,White,White,State questionnaire,White,White,White,East,Vote for Donald Trump,Male,White men,Rural,Small Cities/Rural,West Virginia,Election day exit poll,In the last few days,Last few days,In the last month,This month,Takes away U.S. jobs,Version 1,1.15871000289917,No,Hillary Clinton,17-29,17-29,25-29,17-44,17-49,17-29,25-29,White 17-29,25601.0
628907.0,Complete,Call 2,3.0,No,Fair,Somewhat worried,Worried,High school or less,No college degree,High school graduate or less,White no college degree,4.0,Vote for Hillary Clinton,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Economy/Jobs,No,Somewhat likely,Generally continue Barack Obama's policies,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Very liberal,Liberal,Liberal,6.0,Cares about people like me,White,White,State questionnaire,White,White,White,East,Vote for Bernie Sanders,Female,White women,Suburbs,Suburbs,West Virginia,Election day exit poll,In the last few days,Last few days,In the last month,This month,Takes away U.S. jobs,Version 1,1.32834458351135,No,Hillary Clinton,17-29,17-29,17-24,17-44,17-49,17-29,17-24,White 17-29,25165.0
