ID,HOUCA18,GOVCA18,SENCA18,ABORTION18,AGE,AGE3,AGE8,AGE45,AGE49,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,ATTEND16,ATTEND16B,ATTREL,BACKSIDE,BOYSGIRLS,BREAK18,BREAK18A,BREAK18B,BRNAGAIN,CALL,CDNUM,CHILD18,CHILDBOY,CHILDGIRL,CONTROLHOUSE,EDUC18,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,ELECTSECFOREIGN18,FAVDEM2,FAVPARTY,FAVPELOSI,FAVREP2,FINSIT2,FORTRUMPH,FTVOTER18,GEOCODE,GOV,GUN16,GUNOWNER12,HEALTHCARE18,HEALTHPRE18,HOU,IMPEACH18,INC100K,INC30K,INC50K,INCOME3,INCOME18GEN,INCWHITE,ISSUE18,KAVANAUGH18,LATINO,LGBT,MARRIED,MUELLERAPP,NEC,NEC2,OVER45,OVER65,PARENTS,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYID,PARTYSEX,PARTYWHITE,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,QRACE3,QRACEAI,QTYPE,RACE,RACE18,RACE18B,RACE2B,RACEAI,RACEFACTOR,REGION,REL5,RELIGN18,RELWHITE,RUSSIA18,SEN,SEX,SEXBYRACE,SEXUALHARASS,SEXUALHARASSB,SEXWED,SIZEPLAC,SIZEPLC3,SPANISHQ,STANUM,SUBURBWHITE,TAXCUTS18,TELEPOLL,TIME18HOU,TIME18HOUMONTH,TIME18HOUWEEK,TRACK,TRADE18,TRUMP2,TRUMP4,TRUMPFP18,TRUMPIMM,UNITED18,VERSION,VETVOTER,VOTE2016,VOTEISS18,WEIGHT,WHITEREL,WHNCLINC,WHTEVANG,WOMEN,WOMEN2,WPROTBRN,WPROTBRN3
48355.0,Other,Other,Other,,18-29,18-29,25-29,18-44,18-49,18-29,25-29,Non-Black 18-29,Latino 18-29,Latino 18-29,Never,A few times a year or less,All others,Complete,"Yes, only boys",,,,No,Call 1,35.0,Yes,Yes,No,,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,,,,,,,,,2.0,Other,Oppose,No,,The Democratic Party,Other,,,,,,,,Health care,,Yes,,No,,,,18-44,18-64,Men with children,Independent/Something else,Non-black non-Democrat,Latino Independent,Independent men,Something else,Independent Men,All others,Conservative,75.0,Moderate/Liberal Republicans,Conservative Independents,Other,Hispanic/Latino,National questionnaire,Hispanic/Latino,,,Non-white,Hispanic/Latino,,West,None,None,,,Other,Male,Latino men,Somewhat serious,Serious,Non married men,"Cities 50,000-500,000","Cities over 50,000",English,California,Other,,Election day exit poll,,,,,,Strongly or somewhat disapprove,Strongly disapprove,,,,Version 3,,,,0.0,Non-white,,All others,Very important,Important,No,
70168.0,Other,Other,Other,,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,Latino 60+,Latino 45-64,Once a week or more,At least monthly,All others,Complete,"Yes, only boys",,,,Yes,Call 3,35.0,Yes,Yes,No,,Associate's degree (AA or AS),No college degree,More than high school graduate,Non white no college degree,Non-whites,,,,,,,,,2.0,Other,Support,No,,The Democratic Party,Other,,,,,,,,Gun policy,,Yes,,Yes,,,,45+,18-64,Women with children,Democrat,Non-black Democrat,Latino Democrat,Democratic women,Democrat,Democratic Women,Non-White Democrats,Liberal,75.0,Liberal Democrats,Liberal Democrats,Other,Hispanic/Latino,National questionnaire,Hispanic/Latino,,,Non-white,Hispanic/Latino,,West,Protestant/Other Non-Catholic Christian,Other Christian,,,Other,Female,Latino women,Very serious,Serious,Married women,"Cities 50,000-500,000","Cities over 50,000",English,California,Other,,Election day exit poll,,,,,,Strongly or somewhat approve,Strongly approve,,,,Version 3,,,,0.0,Non-white,,All others,Not too important,Not important,No,
26376.0,A Republican candidate,Other,Other,,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,All others,All others,Once a week or more,At least monthly,All others,Complete,No children in home,,,,Yes,,3.0,No,No,No,,Never attended college,No college degree,High school graduate or less,Non white no college degree,Non-whites,,,,,,,,,2.0,Other,Support,No,,Omit,The Republican candidate,,,,,,,,Gun policy,,No,,No,,,,45+,18-64,Women without children,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,Republican Women,All others,,,,,Other,Asian,National questionnaire,Asian,,,Non-white,Asian,,West,Something else,Other,,,Other,Female,All other races,Very serious,Serious,Non married women,"Cities 50,000-500,000","Cities over 50,000",English,California,Other,,Telephone survey,,,,,,Strongly or somewhat approve,Strongly approve,,,,Version 3,,,,0.0,Non-white,,All others,Very important,Important,No,
55538.0,A Republican candidate,Other,Other,,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,,,,Complete,,,,,,Call 2,5.0,,,,,Never attended college,No college degree,High school graduate or less,White no college degree,White men non college graduates,,Unfavorable,Only Republican Party,,Favorable,Better,To express support for Donald Trump,,3.0,Other,,,,,The Republican candidate,,"Under $100,000","$30,000 or more","$50,000 or more","$50,000 to $99,999","$50,000-$99,999","Over $50,000 and white",,,No,No,,,Good,Excellent or good,45+,18-64,,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,Republican Men,White Republican,Liberal,7.0,Conservative Republicans,Mod./Liberal Republicans,White,White,National questionnaire,White,,,White,White,,West,,,,,Other,Male,White men,,,,Suburbs,Suburbs,English,California,White suburban men,No impact,Election day exit poll,,,,Generally going in the right direction,Helped,,,,,Becoming more divided,Version 4,,,,0.0,,No,,,,,
27358.0,A Democratic candidate,Other,Other,,18-29,18-29,25-29,18-44,18-49,18-29,25-29,Non-Black 18-29,All others,All others,,,,Complete,,,,,,,11.0,,,,,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,Non white college degree,Non-whites,,Favorable,Only Democratic Party,,Unfavorable,About the same,To express opposition to Donald Trump,,3.0,Other,,,,,The Democratic candidate,,"$100,000 or more","$30,000 or more","$50,000 or more","$100,000",$200.000 or more,"Over $50,000 and non white",,,No,Yes,,,Poor,Not so good or poor,18-44,18-64,,Independent/Something else,Non-black non-Democrat,All Other,Independent women,Something else,Independent Women,All others,Conservative,,Moderate/Liberal Republicans,Conservative Independents,Other,American Indian,National questionnaire,Other,,,Non-white,American Indian,,West,,,,,Other,Female,All other races,,,,Suburbs,Suburbs,English,California,Other,Omit,Telephone survey,,,,Seriously off on the wrong track,Hurt,,,,,Becoming more divided,Version 4,,,,0.0,,No,,,,,
41213.0,A Democratic candidate,Other,Other,Keep it as is,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,,,,Complete,,The most important factor,Important,A factor,,Call 1,3.0,,,,The Democratic Party,Never attended college,No college degree,High school graduate or less,White no college degree,White women non college graduates,Yes,,,,,,,Yes,2.0,Other,,,,,The Democratic candidate,,,,,,,,,Oppose,No,,,,,,18-44,18-64,,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,Independent Women,White Independent,Moderate,114.0,Moderate/Liberal Republicans,Moderate Independents,White,White,National questionnaire,White,,,White,White,,West,,,,,Other,Female,White women,,,,Suburbs,Suburbs,English,California,White suburban women,,Election day exit poll,,,,,,Strongly or somewhat approve,Strongly approve,The U.S. more safe,,,Version 1,No,Hillary Clinton,Should be able to vote will be prevented from voting,0.0,,,,,,,
69718.0,A Democratic candidate,Other,Other,,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,Latino 30-44,Latino 30-44,,,,Complete,,,,,,Call 3,47.0,,,,,Associate's degree (AA or AS),No college degree,More than high school graduate,Non white no college degree,Non-whites,,,,Favorable,,,,,4.0,Other,,,Major changes,,The Democratic candidate,Yes,,,,,,,Immigration,,Yes,,,Disapprove,,,18-44,18-64,,Democrat,Non-black Democrat,Latino Democrat,Democratic women,Democrat,Democratic Women,Non-White Democrats,Liberal,18.0,Liberal Democrats,Liberal Democrats,Other,Hispanic/Latino,National questionnaire,Hispanic/Latino,Very important,Important,Non-white,Hispanic/Latino,Whites are favored over minorities,West,Catholic,Catholic,,Politically motivated,Other,Female,Latino women,,,,"Cities 50,000-500,000","Cities over 50,000",English,California,Other,,Election day exit poll,Before that,Before that,Before that,,,,,,Too tough,,Version 2,,,,0.0,Non-white,,,,,,
69719.0,A Democratic candidate,Other,Other,,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,Latino 30-44,Latino 30-44,,,,Complete,,,,,,Call 3,47.0,,,,,Associate's degree (AA or AS),No college degree,More than high school graduate,Non white no college degree,Non-whites,,,,Favorable,,,,,4.0,Other,,,Major changes,,The Democratic candidate,Yes,,,,,,,Immigration,,Yes,,,Disapprove,,,18-44,18-64,,Democrat,Non-black Democrat,Latino Democrat,Democratic women,Democrat,Democratic Women,Non-White Democrats,Liberal,18.0,Liberal Democrats,Liberal Democrats,Other,Hispanic/Latino,National questionnaire,Hispanic/Latino,Very important,Important,Non-white,Hispanic/Latino,Whites are favored over minorities,West,Catholic,Catholic,,Politically motivated,Other,Female,Latino women,,,,"Cities 50,000-500,000","Cities over 50,000",English,California,Other,,Election day exit poll,Before that,Before that,Before that,,,,,,Too tough,,Version 2,,,,0.0,Non-white,,,,,,
69751.0,A Democratic candidate,Other,Other,,18-29,18-29,18-24,18-44,18-49,18-29,18-24,Non-Black 18-29,Latino 18-29,Latino 18-29,,,,Not complete,,,,,,Call 3,20.0,,,,,Never attended college,No college degree,High school graduate or less,Non white no college degree,Non-whites,,,,,,,To express opposition to Donald Trump,,1.0,Other,,,,,The Democratic candidate,,,,,,,,,,Yes,,,,,,18-44,18-64,,,,,,,,,,42.0,,,Other,Hispanic/Latino,National questionnaire,Hispanic/Latino,,,Non-white,Hispanic/Latino,,West,,,,,Other,Female,Latino women,,,,"Cities 50,000-500,000","Cities over 50,000",English,California,Other,,Election day exit poll,,,,,,,,,,,Version 4,,,,0.0,,,,,,,
70107.0,A Democratic candidate,Other,Other,,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Non-Black 30-44,Latino 30-44,Latino 30-44,A few times a month,At least monthly,Catholic/Do not attend weekly,Complete,"Yes, both boys and girls",,,,No,Call 3,41.0,Yes,Yes,Yes,,Never attended college,No college degree,High school graduate or less,Non white no college degree,Non-whites,,,,,,,,,2.0,Other,Oppose,No,,The Democratic Party,The Democratic candidate,,,,,,,,Health care,,Yes,,Yes,,,,18-44,18-64,Women with children,Democrat,Non-black Democrat,Latino Democrat,Democratic women,Democrat,Democratic Women,Non-White Democrats,Liberal,63.0,Liberal Democrats,Liberal Democrats,Other,Hispanic/Latino,National questionnaire,Hispanic/Latino,,,Non-white,Hispanic/Latino,,West,Catholic,Catholic,,,Other,Female,Latino women,Somewhat serious,Serious,Married women,Suburbs,Suburbs,English,California,Other,,Election day exit poll,,,,,,Strongly or somewhat disapprove,Somewhat disapprove,,,,Version 3,,,,0.0,Non-white,,All others,Somewhat important,Important,No,
