ID,GOVGA18,ABRAMSLIB,AGE,AGE3,AGE8,AGE45,AGE49,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,ATTEND16,ATTEND16B,BACKSIDE,BORNINGA14,BRNAGAIN,CALL,CDNUM,CONTROLHOUSE,EDUC18,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,ELECTSECURITY18,FAVABRAMS,FAVDEM2,FAVGOVGA18,FAVKEMP,FAVPARTY,FAVREP2,FINSIT2,FORTRUMPG,FTVOTER18,GEOCODE,GOV,GUN16,GUNOWNER12,HEALTHCARE18,HEALTHPRE18,IMPEACH18,INC100K,INC30K,INC50K,INCOME3,INCOME18GEN,INCWHITE,ISSUE18,KAVANAUGH18,KEMPLIB,LATINO,MARRIED,MOVETOGA14,MOVETOGA10YR,NEC,NEC2,OVER45,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYID,PARTYSEX,PARTYWHITE,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,QRACE3,QRACEAI,QTYPE,RACE,RACE18,RACE18B,RACE2B,RACEAI,RACEFACTOR,REGION,RUSSIA18,SEX,SEXBYRACE,SEXUALHARASS,SEXUALHARASSB,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,SUBURBWHITE,TAXCUTS18,TELEPOLL,TIME18GOV,TIME18GOVMONTH,TIME18GOVWEEK,TRADE18,TRUMP2,TRUMP4,TRUMPIMM,VERSION,VETVOTER,VOTE2016,VOTEISS18,WEIGHT,WHNCLINC,WHTEVANG,WOMEN,WOMEN2,ZIPCODE
33568.0,Other,,18-29,18-29,18-24,18-44,18-49,18-29,18-24,Non-Black 18-29,Latino 18-29,Black 18-29,,,Complete,,No,Call 1,3.0,,Never attended college,No college degree,High school graduate or less,Non white no college degree,Non-whites,,,,,,,,,,,4.0,Other,,,Major changes,,,"Under $100,000","Under $30,000","Under $50,000","Under $50,000","Under $30,000","Under $50,000 and non white",Health care,,,Yes,No,,,Not so good,Not so good or poor,18-44,18-64,Independent/Something else,Non-black non-Democrat,Latino Independent,Independent men,Something else,Independent Men,All others,Conservative,151.0,Moderate/Liberal Republicans,Conservative Independents,Other,Black,State questionnaire,Hispanic/Latino,,,Non-white,Hispanic/Latino,,South,Politically motivated,Male,Latino men,,,Non married men,Rural,Small Cities/Rural, Georgia,Other,No impact,Election day exit poll,Before that,Before that,Before that,,Strongly or somewhat approve,Somewhat approve,Not tough enough,Version 1,,Didn't vote,Should be able to vote will be prevented from voting,0.240847110748291,No,All others,,,30240.0
33815.0,Other,,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,,,Complete,,,Call 1,1.0,,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White men non college graduates,,Unfavorable,Favorable,Neither,Unfavorable,Only Democratic Party,Unfavorable,Worse,Donald Trump was not a factor,No,5.0,Other,,,,,Yes,,,,,,,,,,No,No,,,,,18-44,18-64,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,Republican Men,White Republican,Liberal,12.0,Conservative Republicans,Mod./Liberal Republicans,White,White,State questionnaire,White,Very important,Important,White,White,,South,,Male,White men,Very serious,Serious,Non married men,Rural,Small Cities/Rural, Georgia,Other,,Election day exit poll,,,,No impact,Strongly or somewhat disapprove,Somewhat disapprove,,Version 2,,,,0.0846323445439339,,,Very important,Important,31569.0
46175.0,Other,About right,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,All others,Latino 65+,Once a week or more,At least monthly,Complete,Born in Georgia,Yes,Call 1,5.0,The Democratic Party,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,No,,,,,,,,,,3.0,Other,Support,No,,The Democratic Party,,,,,,,,,Support,Too liberal,No,,I was born in Georgia,More than 10 years,,,18-44,18-64,Independent/Something else,Non-black non-Democrat,All Other,Independent women,Independent,Independent Women,All others,Conservative,89.0,Moderate/Liberal Republicans,Conservative Independents,Other,Other,State questionnaire,Other,,,Non-white,Other,No group is favored,South,,Female,All other races,,,,"Cities 50,000-500,000","Cities over 50,000", Georgia,Other,,Election day exit poll,,,,,Strongly or somewhat disapprove,Strongly disapprove,,Version 3,No,,,0.214601501822472,,All others,,,30311.0
46662.0,Other,,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Black 30-44,Black 30-44,Black 30-44,,,Complete,,,Call 1,5.0,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,,Favorable,Favorable,Only Stacey Abrams,Unfavorable,Only Democratic Party,Unfavorable,About the same,Donald Trump was not a factor,No,3.0,Other,,,,,Yes,,,,,,,,,,No,No,,,,,18-44,18-64,Democrat,Black Democrat,Black Democrat,Democratic men,Democrat,Democratic Men,Non-White Democrats,Liberal,89.0,Liberal Democrats,Liberal Democrats,Black,Black,State questionnaire,Black,Very important,Important,Non-white,Black,,South,,Male,Black men,Very serious,Serious,Non married men,"Cities 50,000-500,000","Cities over 50,000", Georgia,Other,,Election day exit poll,,,,No impact,Strongly or somewhat disapprove,Strongly disapprove,,Version 2,,,,0.214601501822472,,,Very important,Important,30311.0
57871.0,Other,,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,,,Complete,,,Call 3,3.0,The Republican Party,Never attended college,No college degree,High school graduate or less,White no college degree,White women non college graduates,,,,,,,,,,No,4.0,Other,,,,,,,,,,,,,Omit,,No,,,,,,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Something else,Independent Women,White Independent,Liberal,55.0,Moderate/Liberal Republicans,Liberal Independents,White,White,National questionnaire,White,,,White,White,,South,,Female,White women,,,,Suburbs,Suburbs, Georgia,White suburban women,,Election day exit poll,,,,,Strongly or somewhat disapprove,Somewhat disapprove,,Version 1,No,Other,Should be able to vote will be prevented from voting,0.237592414021492,,,,,30263.0
28097.0,Refused,,65+,60+,65 or over,45+,50+,60+,65+,Black 60+,Black 60+,Black 65+,,,Complete,,,,1.0,Omit,Never attended college,No college degree,High school graduate or less,Non white no college degree,Non-whites,,,,,,,,,,No,5.0,Refused,,,,,,,,,,,,,Omit,,,,,,,,45+,65+,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Democratic Women,Non-White Democrats,,,,,Black,Black,National questionnaire,Black,,,Non-white,Black,,South,,Female,Black women,,,,"Cities 50,000-500,000","Cities over 50,000", Georgia,Other,,Telephone survey,,,,,Strongly or somewhat disapprove,Somewhat disapprove,,Version 1,No,Omit,Should be able to vote will be prevented from voting,2.82687759399414,,,,,31406.0
28161.0,Refused,,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,,,Complete,,,,10.0,,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,,,,,,,,,,,1.0,Refused,,,Minor changes,,No,,,,,,,Health care,,,,,,,,,45+,65+,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,Democratic Women,White Democrat,Moderate,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,White,White,National questionnaire,White,Somewhat important,Important,White,White,No group is favored,South,Justified,Female,White women,,,,Suburbs,Suburbs, Georgia,White suburban women,,Telephone survey,,,,,,,Not tough enough,Version 2,,,,1.15589237213135,,,,,30650.0
9637.0,Ted Metz,About right,65+,60+,65 or over,45+,50+,60+,65+,Black 60+,Black 60+,Black 65+,A few times a month,At least monthly,Complete,Born in Georgia,,,2.0,The Democratic Party,Never attended college,No college degree,High school graduate or less,Non white no college degree,Non-whites,No,,,,,,,,,,4.0,Other,Oppose,Yes,,The Democratic Party,,,,,,,,,Oppose,Too conservative,No,,I was born in Georgia,More than 10 years,,,45+,65+,Democrat,Black Democrat,Black Democrat,Democratic men,Democrat,Democratic Men,Non-White Democrats,Moderate,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Black,Black,State questionnaire,Black,,,Non-white,Black,Minorities are favored over whites,South,,Male,Black men,,,,Suburbs,Suburbs, Georgia,Other,,Telephone survey,,,,,Strongly or somewhat disapprove,Strongly disapprove,,Version 3,No,,,0.789191782474518,,All others,,,31030.0
9640.0,Ted Metz,Too liberal,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,A few times a year,A few times a year or less,Complete,Born in Georgia,Yes,,6.0,The Republican Party,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,Yes,,,,,,,,,,2.0,Other,Oppose,,,Omit,,,,,,,,,Support,Too conservative,No,,I was born in Georgia,More than 10 years,,,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Something else,Independent Men,White Independent,Conservative,,Moderate/Liberal Republicans,Conservative Independents,White,White,State questionnaire,White,,,White,White,No group is favored,South,,Male,White men,,,,Suburbs,Suburbs, Georgia,White suburban men,,Telephone survey,,,,,Strongly or somewhat approve,Somewhat approve,,Version 3,No,,,0.365372478961945,,White Born-again/Evangelical Christians,,,30066.0
9737.0,Ted Metz,About right,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Black 30-44,Black 30-44,Black 30-44,A few times a year,A few times a year or less,Complete,Moved to Georgia,No,,13.0,The Democratic Party,Associate's degree (AA or AS),No college degree,More than high school graduate,Non white no college degree,Non-whites,No,,,,,,,,,,3.0,Other,Support,Yes,,The Democratic Party,,,,,,,,,Oppose,Too conservative,No,,10+ years but not born here,More than 10 years,,,18-44,18-64,Democrat,Black Democrat,Black Democrat,Democratic men,Democrat,Democratic Men,Non-White Democrats,Moderate,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Black,Black,State questionnaire,Black,,,Non-white,Black,Whites are favored over minorities,South,,Male,Black men,,,,"Cities 50,000-500,000","Cities over 50,000", Georgia,Other,,Telephone survey,,,,,Strongly or somewhat disapprove,Strongly disapprove,,Version 3,No,,,2.11628103256226,,All others,,,30349.0
