ID,SENMO18,ABORTION18,AGE,AGE3,AGE8,AGE45,AGE49,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,BRNAGAIN,CALL,CDNUM,CONTROLHOUSE,CONTROLSEN,EDUC18,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,ETHHAWLEY,ETHMCCAS,ETHMO18,FAVDEM2,FAVHAWLEY,FAVMCCASKILL,FAVMCONL,FAVPARTY,FAVPELOSI,FAVREP2,FAVSENMO18,FINSIT2,FORTRUMPS,FTVOTER18,GEOCODE,GUN16,GUNOWNER12,HAWLEYLIB,HEALTHCARE18,HEALTHPRE18,IMPEACH18,INC100K,INC30K,INC50K,INCOME3,INCOME18GEN,INCWHITE,ISSUE18,KAVMO18,KAVMO18A,KAVMO18B,LATINO,MARRIED,MCCASLIB,NEC,NEC2,OVER45,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYID,PARTYSEX,PARTYWHITE,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,QRACE3,QRACEAI,QTYPE,QUALSEN18,RACE,RACE2B,RACEAI,REGION,RUSSIA18,SEN,SEX,SEXBYRACE,SEXUALHARASS,SEXUALHARASSB,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,SUBURBWHITE,TAXCUTS18,TELEPOLL,TIME18SEN,TIME18SENMONTH,TIME18SENWEEK,TRADE18,TRUMP2,TRUMP4,TRUMPIMM,VERSION,VOTE2016,WEIGHT,WHNCLINC,WHTEVANG,WOMEN,WOMEN2,ZIPCODE
52571.0,Other,Omit,18-29,18-29,18-24,18-44,18-49,18-29,18-24,Non-Black 18-29,White 18-29,White 18-29,Complete,Yes,Call 2,7.0,The Republican Party,,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White women non college graduates,,,,,,,Omit,,Omit,,,,,,5.0,Support,Yes,Omit,,The Republican Party,,,,,,,,Immigration,Omit,Omit,Omit,No,No,Omit,,,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Something else,Independent Women,White Independent,,40.0,,,White,White,State questionnaire,,White,White,White,Midwest,,Other,Female,White women,,,Non married women,"Cities 50,000-500,000","Cities over 50,000",Missouri,Other,,Election day exit poll,,,,,Strongly or somewhat approve,Somewhat approve,,Version 3,,0.444069892168045,,White Born-again/Evangelical Christians,,,65807.0
39223.0,Other,,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,,Call 1,6.0,,,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,,,,Unfavorable,,,,Neither party,,Unfavorable,,About the same,,,4.0,,,,,,,"Under $100,000","$30,000 or more","Under $50,000","Under $50,000","$30,000-$49,999","Under $50,000 and white",,,,,No,,,Poor,Not so good or poor,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Something else,Independent Women,White Independent,Liberal,87.0,Moderate/Liberal Republicans,Liberal Independents,White,White,National questionnaire,,White,White,White,Midwest,,Other,Female,White women,,,,Rural,Small Cities/Rural,Missouri,Other,Hurt,Election day exit poll,,,,Hurt,,,,Version 4,,0.760569393634796,No,,,,64468.0
40251.0,Other,,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,Complete,No,Call 1,6.0,,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,,,,,,,,,,,,,,,4.0,Support,No,,,The Democratic Party,,,,,,,,The economy,,,,No,Yes,,,,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,Independent Women,White Independent,Moderate,87.0,Moderate/Liberal Republicans,Moderate Independents,White,White,National questionnaire,,White,White,White,Midwest,,Other,Female,White women,Very serious,Serious,Married women,Rural,Small Cities/Rural,Missouri,Other,,Election day exit poll,,,,,Strongly or somewhat approve,Somewhat approve,,Version 3,,0.760569393634796,,All others,Somewhat important,Important,64468.0
63388.0,Other,Overturn it,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,Yes,Call 3,6.0,The Democratic Party,,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White men non college graduates,,,,,,,Unfavorable,,Unfavorable,,,,,,3.0,Oppose,Yes,Too liberal,,The Democratic Party,,,,,,,,Health care,Not a factor at all,Not important,Not a factor,No,No,About right,,,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,Independent Men,White Independent,Moderate,92.0,Moderate/Liberal Republicans,Moderate Independents,White,White,State questionnaire,,White,White,White,Midwest,,Other,Male,White men,,,Non married men,Suburbs,Suburbs,Missouri,White suburban men,,Election day exit poll,,,,,Strongly or somewhat approve,Somewhat approve,,Version 3,,0.604124486446381,,White Born-again/Evangelical Christians,,,64028.0
36150.0,Other,,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete,No,Call 1,6.0,,,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White women non college graduates,Josh Hawley does not,Claire McCaskill does not,Neither does,,,,,,,,,,,,3.0,,,,Major changes,,,"Under $100,000","$30,000 or more","$50,000 or more","$50,000 to $99,999","$50,000-$99,999","Over $50,000 and white",Omit,,,,No,Yes,,Not so good,Not so good or poor,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Something else,Independent Women,White Independent,Moderate,92.0,Moderate/Liberal Republicans,Moderate Independents,White,White,State questionnaire,,White,White,White,Midwest,Politically motivated,Other,Female,White women,,,Married women,Suburbs,Suburbs,Missouri,White suburban women,Helped,Election day exit poll,In the last week,In the last month,In the last week,,Strongly or somewhat approve,Somewhat approve,About right,Version 1,Other,0.538424611091614,No,All others,,,64028.0
61193.0,Other,,18-29,18-29,18-24,18-44,18-49,18-29,18-24,Non-Black 18-29,White 18-29,White 18-29,Complete,No,Call 3,5.0,,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,Josh Hawley does not,Claire McCaskill does not,Neither does,,,,,,,,,,,,3.0,,,,Minor changes,,,"Under $100,000","$30,000 or more","Under $50,000","Under $50,000","$30,000-$49,999","Under $50,000 and white",Health care,,,,No,No,,Good,Excellent or good,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,Independent Women,White Independent,Moderate,58.0,Moderate/Liberal Republicans,Moderate Independents,White,White,State questionnaire,,White,White,White,Midwest,Politically motivated,Other,Female,White women,,,Non married women,"Cities 50,000-500,000","Cities over 50,000",Missouri,Other,No impact,Election day exit poll,In the last month,In the last month,Before that,,Strongly or somewhat disapprove,Somewhat disapprove,About right,Version 1,Other,0.442840754985809,No,All others,,,64109.0
35862.0,Other,,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete,,Call 1,7.0,,The Republican Party,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,,,,Unfavorable,Omit,Omit,,Neither party,,Unfavorable,Omit,Better,To express opposition to Donald Trump,No,5.0,,,,,,No,,,,,,,,,,,No,,,,,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,Independent Men,White Independent,Moderate,67.0,Moderate/Liberal Republicans,Moderate Independents,White,White,State questionnaire,Is willing to compromise,White,White,White,Midwest,,Other,Male,White men,Somewhat serious,Serious,,Suburbs,Suburbs,Missouri,White suburban men,,Election day exit poll,,,,No impact,Strongly or somewhat disapprove,Strongly disapprove,,Version 2,,0.36823558807373,,,Somewhat important,Important,64870.0
64103.0,Other,Keep it as is,18-29,18-29,18-24,18-44,18-49,18-29,18-24,Non-Black 18-29,White 18-29,White 18-29,Complete,,Call 3,4.0,Omit,,Never attended college,No college degree,High school graduate or less,White no college degree,White women non college graduates,,,,,,,,,,,,,,No,5.0,,,,,,,,,,,,,,,,,No,,,,,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,Independent Women,White Independent,Moderate,44.0,Moderate/Liberal Republicans,Moderate Independents,White,White,National questionnaire,,White,White,White,Midwest,,Other,Female,White women,,,,Rural,Small Cities/Rural,Missouri,Other,,Election day exit poll,,,,,Strongly or somewhat approve,Somewhat approve,,Version 1,Other,0.420386165380478,,,,,64735.0
51224.0,Other,,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,Call 2,6.0,,,Never attended college,No college degree,High school graduate or less,White no college degree,White men non college graduates,,,,Favorable,,,,Omit,,Omit,,Worse,,,4.0,,,,,,,"Under $100,000","Under $30,000","Under $50,000","Under $50,000","Under $30,000","Under $50,000 and white",,,,,No,,,Poor,Not so good or poor,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,Independent Men,White Independent,Moderate,87.0,Moderate/Liberal Republicans,Moderate Independents,White,White,National questionnaire,,White,White,White,Midwest,,Other,Male,White men,,,,Rural,Small Cities/Rural,Missouri,Other,Hurt,Election day exit poll,,,,Hurt,,,,Version 4,,1.50663471221924,Yes,,,,64468.0
35538.0,Other,,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Not complete,,Call 1,7.0,,,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,,,,,Favorable,Favorable,,,,,Both,,Omit,Yes,5.0,,,,,,,,,,,,,,,,,No,,,,,18-44,18-64,,,,,,,,,67.0,,,White,White,State questionnaire,,White,White,White,Midwest,,Other,Male,White men,,,,Suburbs,Suburbs,Missouri,White suburban men,,Election day exit poll,,,,,,,,Version 2,,0.36823558807373,,,,,64870.0
39439.0,Other,,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,Complete,,Call 1,6.0,,,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,,,,,,,,,Unfavorable,,,,,,4.0,,,,Minor changes,,No,,,,,,,The economy,,,,No,,,,,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Something else,Independent Men,White Independent,Conservative,87.0,Moderate/Liberal Republicans,Conservative Independents,White,White,National questionnaire,,White,White,White,Midwest,Politically motivated,Other,Male,White men,,,,Rural,Small Cities/Rural,Missouri,Other,,Election day exit poll,,,,,,,About right,Version 2,,0.853375971317291,,,,,64468.0
63663.0,Other,,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,All others,Latino 65+,Complete,,Call 3,6.0,,,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,Omit,Omit,Omit,,,,,,,,,,,,3.0,,,,Major changes,,,"Under $100,000","$30,000 or more","$50,000 or more","$50,000 to $99,999","$50,000-$99,999","Over $50,000 and non white",Health care,,,,No,Yes,,Not so good,Not so good or poor,18-44,18-64,Independent/Something else,Non-black non-Democrat,All Other,Independent women,Independent,Independent Women,All others,Moderate,92.0,Moderate/Liberal Republicans,Moderate Independents,Other,Other,State questionnaire,,Other,Non-white,Other,Midwest,Politically motivated,Other,Female,All other races,,,Married women,Suburbs,Suburbs,Missouri,Other,No impact,Election day exit poll,In the last few days,In the last month,In the last week,,Strongly or somewhat disapprove,Somewhat disapprove,About right,Version 1,Other,0.60149621963501,No,All others,,,64028.0
63579.0,Other,,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,,Call 3,7.0,,The Republican Party,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,,,,Unfavorable,Unfavorable,Unfavorable,,Only Republican Party,,Favorable,Neither,Better,Donald Trump was not a factor,No,5.0,,,,,,No,,,,,,,,,,,No,,,,,45+,18-64,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,Republican Women,White Republican,Moderate,67.0,Conservative Republicans,Mod./Liberal Republicans,White,White,State questionnaire,Omit,White,White,White,Midwest,,Other,Female,White women,Somewhat serious,Serious,,Suburbs,Suburbs,Missouri,White suburban women,,Election day exit poll,,,,No impact,Strongly or somewhat approve,Somewhat approve,,Version 2,,0.366236060857773,,,Somewhat important,Important,64870.0
51402.0,Other,Overturn it,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,Yes,Call 2,5.0,The Republican Party,,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,,,,,,,Unfavorable,,Unfavorable,,,,,,5.0,Oppose,,Too liberal,,The Republican Party,,,,,,,,Immigration,An important factor,Important,A factor,No,No,Too liberal,,,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,Independent Women,White Independent,Conservative,66.0,Moderate/Liberal Republicans,Conservative Independents,White,White,State questionnaire,,White,White,White,Midwest,,Other,Female,White women,,,Non married women,"Cities 50,000-500,000","Cities over 50,000",Missouri,Other,,Election day exit poll,,,,,Strongly or somewhat approve,Strongly approve,,Version 3,,0.529443979263306,,White Born-again/Evangelical Christians,,,64804.0
63548.0,Other,Keep it as is,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete,No,Call 3,4.0,Omit,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,,,,,,,Unfavorable,,Unfavorable,,,,,,5.0,Oppose,Yes,Omit,,Omit,,,,,,,,Health care,An important factor,Important,A factor,No,Yes,Omit,,,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,Independent Women,White Independent,,73.0,,,White,White,State questionnaire,,White,White,White,Midwest,,Other,Female,White women,,,Married women,Rural,Small Cities/Rural,Missouri,Other,,Election day exit poll,,,,,Strongly or somewhat disapprove,Somewhat disapprove,,Version 3,,0.356964260339737,,All others,,,65536.0
51324.0,Other,Omit,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Yes,Call 2,5.0,The Republican Party,,,,,,,,,,,,,Omit,,Omit,,,,,,3.0,Oppose,No,Too liberal,,The Republican Party,,,,,,,,Immigration,Omit,Omit,Omit,No,No,Too liberal,,,45+,65+,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,Republican Women,White Republican,Moderate,22.0,Conservative Republicans,Mod./Liberal Republicans,White,White,State questionnaire,,White,White,White,Midwest,,Other,Female,White women,,,Non married women,"Cities 50,000-500,000","Cities over 50,000",Missouri,Other,,Election day exit poll,,,,,Strongly or somewhat approve,Strongly approve,,Version 3,,0.507076680660248,,White Born-again/Evangelical Christians,,,64119.0
51237.0,Other,Omit,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete,No,Call 2,8.0,The Republican Party,,Never attended college,No college degree,High school graduate or less,White no college degree,White men non college graduates,,,,,,,Omit,,Omit,,,,,,5.0,Support,Yes,Omit,,The Republican Party,,,,,,,,Health care,Omit,Omit,Omit,No,Yes,Omit,,,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,Independent Men,White Independent,Moderate,152.0,Moderate/Liberal Republicans,Moderate Independents,White,White,State questionnaire,,White,White,White,Midwest,,Other,Male,White men,,,Married men,Rural,Small Cities/Rural,Missouri,Other,,Election day exit poll,,,,,Strongly or somewhat approve,Somewhat approve,,Version 3,,0.515883803367615,,All others,,,63735.0
39063.0,Other,Keep it as is,18-29,18-29,18-24,18-44,18-49,18-29,18-24,Non-Black 18-29,White 18-29,White 18-29,Complete,No,Call 1,4.0,Omit,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,,,,,,,Unfavorable,,Unfavorable,,,,,,4.0,Oppose,Yes,Too conservative,,Omit,,,,,,,,Health care,An important factor,Important,A factor,No,No,Too liberal,,,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,Independent Men,White Independent,Moderate,7.0,Moderate/Liberal Republicans,Moderate Independents,White,White,State questionnaire,,White,White,White,Midwest,,Other,Male,White men,,,Non married men,"Cities 50,000-500,000","Cities over 50,000",Missouri,Other,,Election day exit poll,,,,,Strongly or somewhat disapprove,Somewhat disapprove,,Version 3,,0.52255767583847,,All others,,,65202.0
