ID,SENNJ18,AGE,AGE3,AGE8,AGE45,AGE49,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,CALL,CDNUM,CONTROLSEN,EDUC18,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,ETHHUGIN,ETHMENENDEZ,ETHNJ18,FAVHUGIN,FAVMENENDEZ,FAVSENNJ18,FTVOTER18,GEOCODE,HEALTHCARE18,IMPEACH18,INC100K,INC30K,INC50K,INCOME3,INCOME18GEN,INCWHITE,ISSUE18,LATINO,NEC,NEC2,OVER45,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYID,PARTYSEX,PARTYWHITE,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,QRACE3,QRACEAI,QTYPE,RACE,RACE2B,RACEAI,REGION,RUSSIA18,SEN,SEX,SEXBYRACE,SIZEPLAC,SIZEPLC3,SPANISHQ,STANUM,SUBURBWHITE,TAXCUTS18,TELEPOLL,TRUMP2,TRUMP4,TRUMPIMM,VERSION,WEIGHT,WHNCLINC,ZIPCODE
67584.0,Bob Menendez,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,Latino 60+,Latino 45-64,Complete,Call 3,8.0,The Democratic Party,Never attended college,No college degree,High school graduate or less,Non white no college degree,Non-whites,Bob Hugin does,Bob Menendez does,Both do,Favorable,Favorable,Both,No,1.0,Omit,Yes,"Under $100,000","$30,000 or more","Under $50,000","Under $50,000","$30,000-$49,999","Under $50,000 and non white",Health care,Yes,Not so good,Not so good or poor,45+,18-64,Democrat,Non-black Democrat,Latino Democrat,Democratic men,Democrat,Democratic Men,Non-White Democrats,Moderate,35.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,East,Politically motivated,The Democratic candidate,Male,Latino men,"Cities 50,000-500,000","Cities over 50,000",English,New Jersey,Other,Hurt,Election day exit poll,Strongly or somewhat approve,Strongly approve,Too tough,Version 1,1.99705171585083,No,7104.0
30893.0,Bob Menendez,18-29,18-29,25-29,18-44,18-49,18-29,25-29,Black 18-29,Black 18-29,Black 18-29,Complete,Call 1,8.0,The Democratic Party,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,Bob Hugin does not,Bob Menendez does,Only Bob Menendez does,Favorable,Favorable,Both,,1.0,Major changes,Yes,"Under $100,000","$30,000 or more","Under $50,000","Under $50,000","$30,000-$49,999","Under $50,000 and non white",The economy,No,Not so good,Not so good or poor,18-44,18-64,Independent/Something else,Black non-Democrat,Black Independent,Independent women,Independent,Independent Women,All others,Liberal,35.0,Moderate/Liberal Republicans,Liberal Independents,Black,Black,State questionnaire,Black,Non-white,Black,East,Justified,The Democratic candidate,Female,Black women,"Cities 50,000-500,000","Cities over 50,000",English,New Jersey,Other,No impact,Election day exit poll,Strongly or somewhat disapprove,Strongly disapprove,Too tough,Version 1,0.52271169424057,No,7104.0
31145.0,Bob Menendez,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Black 30-44,Black 30-44,Black 30-44,Complete,Call 1,6.0,The Democratic Party,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,Bob Hugin does not,Bob Menendez does not,Neither does,Favorable,Favorable,Both,No,4.0,Major changes,No,"$100,000 or more","$30,000 or more","$50,000 or more","$100,000","$100,000-$199,999","Over $50,000 and non white",Omit,No,Not so good,Not so good or poor,18-44,18-64,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Democratic Women,Non-White Democrats,Liberal,58.0,Liberal Democrats,Liberal Democrats,Black,Black,State questionnaire,Black,Non-white,Black,East,Politically motivated,The Democratic candidate,Female,Black women,Suburbs,Suburbs,English,New Jersey,Other,Omit,Election day exit poll,Omit,Omit,Not tough enough,Version 1,0.271908044815063,No,8854.0
30888.0,Bob Menendez,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Not complete,Call 1,3.0,,,,,,,,,,,,,No,5.0,,,,,,,,,,No,Good,Excellent or good,45+,18-64,,,,,,,,,87.0,,,White,White,State questionnaire,White,White,White,East,,The Democratic candidate,Male,White men,Suburbs,Suburbs,English,New Jersey,White suburban men,No impact,Election day exit poll,,,About right,Version 1,0.401468008756638,,8753.0
64869.0,Bob Menendez,45-65,30-59,45-49,45+,18-49,45-59,40-49,,,,Not complete,Call 3,6.0,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,,,,,,,,,No,4.0,,,,,,,,,,No,Good,Excellent or good,45+,18-64,,,,,,,,,58.0,,,,,State questionnaire,,,,East,,The Democratic candidate,Female,,Suburbs,Suburbs,English,New Jersey,,No impact,Election day exit poll,,,About right,Version 1,0.271908044815063,,8854.0
63706.0,Bob Menendez,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,Latino 30-44,Latino 30-44,Complete,Call 3,9.0,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,,,,,,,No,2.0,,,,,,,,,,Yes,,,18-44,18-64,Democrat,Non-black Democrat,Latino Democrat,Democratic men,Democrat,Democratic Men,Non-White Democrats,Liberal,7.0,Liberal Democrats,Liberal Democrats,Other,Hispanic/Latino,National questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,East,,The Democratic candidate,Male,Latino men,Suburbs,Suburbs,English,New Jersey,Other,,Election day exit poll,Strongly or somewhat disapprove,Strongly disapprove,,Version 1,0.753192067146301,,7605.0
66839.0,Bob Menendez,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Call 3,6.0,The Democratic Party,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,Bob Hugin does not,Bob Menendez does,Only Bob Menendez does,Unfavorable,Favorable,Only Bob Menendez,No,4.0,Major changes,Yes,"Under $100,000","$30,000 or more","$50,000 or more","$50,000 to $99,999","$50,000-$99,999","Over $50,000 and white",Health care,No,Good,Excellent or good,45+,65+,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,Democratic Men,White Democrat,Moderate,58.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,White,White,State questionnaire,White,White,White,East,Justified,The Democratic candidate,Male,White men,Suburbs,Suburbs,English,New Jersey,White suburban men,No impact,Election day exit poll,Strongly or somewhat disapprove,Strongly disapprove,Too tough,Version 1,0.662195861339569,No,8854.0
42461.0,Bob Menendez,18-29,18-29,18-24,18-44,18-49,18-29,18-24,Black 18-29,Black 18-29,Black 18-29,Complete,Call 2,12.0,,Never attended college,No college degree,High school graduate or less,Non white no college degree,Non-whites,,,,,,,Yes,4.0,,,,,,,,,,No,,,18-44,18-64,Democrat,Black Democrat,Black Democrat,Democratic men,Democrat,Democratic Men,Non-White Democrats,Moderate,50.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Black,Black,National questionnaire,Black,Non-white,Black,East,,The Democratic candidate,Male,Black men,"Cities 50,000-500,000","Cities over 50,000",English,New Jersey,Other,,Election day exit poll,Strongly or somewhat disapprove,Strongly disapprove,,Version 1,0.874436438083649,,8618.0
30874.0,Bob Menendez,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Complete,Call 1,5.0,,,,,,,,,,,,,No,3.0,,,,,,,,,,No,,,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,Independent Women,White Independent,Moderate,102.0,Moderate/Liberal Republicans,Moderate Independents,White,White,National questionnaire,White,White,White,East,,The Democratic candidate,Female,White women,Suburbs,Suburbs,English,New Jersey,White suburban women,,Election day exit poll,Strongly or somewhat disapprove,Somewhat disapprove,,Version 1,0.632534503936768,,7860.0
30873.0,Bob Menendez,45-65,60+,60-64,45+,50+,60+,50-64,Black 60+,Black 60+,Black 45-64,Not complete,Call 1,1.0,,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,Non white college degree,Non-whites,,,,,,,No,5.0,,,,,,,,,,No,Not so good,Not so good or poor,45+,18-64,,,,,,,,,27.0,,,Black,Black,State questionnaire,Black,Non-white,Black,East,,The Democratic candidate,Female,Black women,"Cities 10,000-50,000",Small Cities/Rural,English,New Jersey,Other,Hurt,Election day exit poll,,,Too tough,Version 1,0.408599525690079,,8037.0
