ID,WEIGHT,PRSAL20,SENAL20,ABORT2,ABORTION,AGE,AGE3,AGE10,AGE45,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,BRNAGAIN,CALL,CDNUM,CHILD12,CONTAINCOVID,CONTAINCOVID2,CONTROLSEN,COUNT2,COUNTACC,EARLYVELECTION,ECONVCORONA20,EDUC18,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,FAVBIDEN2,FAVJONES,FAVPRES20,FAVSENAL20,FAVTRUMP,FAVTUBERVILLE,FINSIT,FORCAND,GEOCODE,HANDLECORONA20,HANDLEECON20,INC100K,INC30K,INC50K,INCOME3,INCOME20,INCWHITE,ISSUE20,LATINO,LGBT,NEC,NEC2,NEWVOTER,PARENTS,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYID,PARTYWHITE,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,QLT20,QRACE3,QRACEAI,QTYPE,RACE,RACE2B,RACEAI,RACISM20,RACISM20B,REGION,SEX,SEXBYRACE,SIZEPLAC,SIZEPLC3,STANUM,SUBURBWHITE,TELEPOLL,TEMPBIDEN,TEMPERAMENT20,TEMPTRUMP,TIME16,TIME16MONTH,TIME16WEEK,TRUMP2,TRUMP4,VERSION,VOTEMETHOD,WHNCLINC,WHTEVANG,ZIPCODE
137586.0,0.18719815188,Joe Biden,,,,30-44,30-59,40-44,18-44,30-44,40-49,Black 30-44,Black 30-44,Black 30-44,Complete,,Call 2,1.0,,,,,,,Election day,"Rebuilding the economy now, even if it hurts efforts to contain the coronavirus",,,,,,Omit,Omit,Omit,Omit,Omit,Omit,Omit,,4.0,,,,,,,,,Racial inequality,No,,,,,,,,,,,,,81.0,,,Cares about people like me,Black,Black,State questionnaire,Black,Non-white,Black,,,South,Male,Black men,"Cities 50,000-500,000","Cities over 50,000",Alabama,Other,Election day exit poll,Yes,Only Joe Biden does,No,In the last week,In the last month,In the last week,,,Version 1,Election day,,,36693.0
127230.0,0.25316138837,Joe Biden,,Legal,Legal in all cases,,,,,,,,,,Complete,No,Call 1,5.0,No,Very badly,Somewhat badly or very badly,The Democratic Party,Very confident or somewhat confident,Somewhat confident,Election day,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,,,,,,,,Against his opponent,1.0,Joe Biden,Joe Biden,,,,,,,,No,No,Poor,Not so good or poor,No,Women without children,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Liberal,74.0,Liberal Democrats,Liberal Democrats,,White,White,State questionnaire,White,White,White,One of many important problems,The most important problem or one of many important problems,South,Female,White women,Suburbs,Suburbs,Alabama,White suburban women,Election day exit poll,,,,,,,Strongly or somewhat disapprove,Strongly disapprove,Version 2,Election day,,All others,35773.0
136572.0,0.27007573208,Joe Biden,,,,18-29,18-29,18-24,18-44,18-29,18-24,Black 18-29,Black 18-29,Black 18-29,Complete,,Call 2,1.0,,,,,,,Election day,"Rebuilding the economy now, even if it hurts efforts to contain the coronavirus",Associate's degree (AA or AS),No college degree,More than high school graduate,Non white no college degree,Non-whites,Unfavorable,Unfavorable,Neither of them,Neither,Unfavorable,Unfavorable,Better today,,4.0,,,,,,,,,Racial inequality,No,,,,,,Independent/Something else,Black non-Democrat,Black Independent,Independent men,Independent,All others,Conservative,80.0,Moderate/Liberal Republicans,Conservative Independents,Omit,Black,Black,State questionnaire,Black,Non-white,Black,,,South,Male,Black men,Suburbs,Suburbs,Alabama,Other,Election day exit poll,No,Neither of them do,No,Before that,Before that,Before that,,,Version 1,Election day,No,,36575.0
137262.0,0.31697145901,Joe Biden,,,,65+,60+,65-74,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,Call 2,4.0,,,,,,,Election day,"Containing the coronavirus now, even if it hurts the economy",Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,Favorable,Unfavorable,Only Biden,Neither,Unfavorable,Unfavorable,About the same,,2.0,,,"Under $100,000","Under $30,000","Under $50,000","Under $50,000","Under $30,000","Under $50,000 and white",Crime and safety,No,,,,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,White Independent,Moderate,35.0,Moderate/Liberal Republicans,Moderate Independents,Has good judgment,White,White,State questionnaire,White,White,White,,,South,Female,White women,Suburbs,Suburbs,Alabama,White suburban women,Election day exit poll,Yes,Only Joe Biden does,No,Before that,Before that,Before that,,,Version 1,Election day,Yes,,35956.0
138347.0,0.33205340087,Joe Biden,,Legal,Legal in all cases,,,,,,,,,,Complete,No,Call 1,2.0,Yes,,,,,,Election day,,Associate's degree (AA or AS),No college degree,More than high school graduate,Non white no college degree,Non-whites,,,,,,,About the same,,4.0,,,,,,,,,,No,No,,,,Women with children,Democrat,Non-black Democrat,All Other,Democratic women,Democrat,Non-White Democrats,Moderate,37.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,Other,Other,National questionnaire,Other,Non-white,Other,,,South,Female,All other races,"Cities 10,000-50,000",Small Cities/Rural,Alabama,Other,Election day exit poll,Yes,Only Joe Biden does,No,Before that,Before that,Before that,,,Version 4,Election day,,All others,36526.0
136634.0,0.36744247716,Joe Biden,,Illegal,Illegal in most cases,45-65,30-59,45-49,45+,45-59,40-49,Black 45-59,Black 45-59,Black 45-64,Complete,Yes,Call 2,1.0,Yes,Somewhat badly,Somewhat badly or very badly,The Democratic Party,Not very confident or not at all confident,Not very confident,Election day,,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,,,,,,,,For your candidate,4.0,Joe Biden,Joe Biden,,,,,,,,No,No,Not so good,Not so good or poor,Yes,Men with children,Democrat,Black Democrat,Black Democrat,Democratic men,Democrat,Non-White Democrats,,81.0,,,,Black,Black,State questionnaire,Black,Non-white,Black,The most important problem,The most important problem or one of many important problems,South,Male,Black men,"Cities 50,000-500,000","Cities over 50,000",Alabama,Other,Election day exit poll,,,,,,,Strongly or somewhat disapprove,Strongly disapprove,Version 2,Election day,,All others,36693.0
93373.0,0.45554588006,Joe Biden,,Omit,Omit,,,,,,,,,,Complete,Yes,,6.0,No,Very badly,Somewhat badly or very badly,Omit,Very confident or somewhat confident,Very confident,Absentee or early in-person,,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,Non white college degree,Non-whites,,,,,,,,For your candidate,3.0,Omit,Joe Biden,,,,,,,,No,No,Poor,Not so good or poor,No,Women without children,Independent/Something else,Black non-Democrat,Black Independent,Independent women,Independent,All others,Conservative,,Moderate/Liberal Republicans,Conservative Independents,,Black,Black,State questionnaire,Black,Non-white,Black,One of many important problems,The most important problem or one of many important problems,South,Female,Black women,"Cities 50,000-500,000","Cities over 50,000",Alabama,Other,Telephone survey,,,,,,,Strongly or somewhat disapprove,Strongly disapprove,Version 2,Early in-person,,All others,35215.0
136977.0,0.11780521671,Donald Trump,,Illegal,Illegal in most cases,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,Yes,Call 2,5.0,No,Omit,Omit,The Republican Party,Very confident or somewhat confident,Somewhat confident,Election day,,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,,,,,,,,For your candidate,1.0,Donald Trump,Donald Trump,,,,,,,,No,No,Good,Excellent or good,No,Women without children,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,White Republican,Moderate,74.0,Conservative Republicans,Mod./Liberal Republicans,,White,White,State questionnaire,White,White,White,One of many important problems,The most important problem or one of many important problems,South,Female,White women,Suburbs,Suburbs,Alabama,White suburban women,Election day exit poll,,,,,,,Strongly or somewhat approve,Somewhat approve,Version 2,Election day,,White Born-again/Evangelical Christians,35773.0
137783.0,0.12013387138,Donald Trump,,Illegal,Illegal in most cases,18-29,18-29,18-24,18-44,18-29,18-24,Non-Black 18-29,White 18-29,White 18-29,Complete,,Call 2,1.0,No,Somewhat well,Very well or somewhat well,The Republican Party,Omit,Omit,Election day,,,,,,,,,,,,,,Omit,4.0,Donald Trump,Donald Trump,,,,,,,,No,No,Good,Excellent or good,Yes,Women without children,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Something else,White Independent,Conservative,81.0,Moderate/Liberal Republicans,Conservative Independents,,White,White,State questionnaire,White,White,White,One of many important problems,The most important problem or one of many important problems,South,Female,White women,"Cities 50,000-500,000","Cities over 50,000",Alabama,Other,Election day exit poll,,,,,,,Strongly or somewhat approve,Somewhat approve,Version 2,Election day,,All others,36693.0
93388.0,0.17852775183,Donald Trump,,Illegal,Illegal in most cases,65+,60+,75 or older,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Yes,,4.0,No,Very well,Very well or somewhat well,The Republican Party,Very confident or somewhat confident,Very confident,Absentee or early in-person,,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,,,,,,,,For your candidate,1.0,Donald Trump,Donald Trump,,,,,,,,No,No,Good,Excellent or good,No,Women without children,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,White Republican,Conservative,,Independent/Something else,Conservative Republicans,,White,White,State questionnaire,White,White,White,One of many important problems,The most important problem or one of many important problems,South,Female,White women,Rural,Small Cities/Rural,Alabama,Other,Telephone survey,,,,,,,Strongly or somewhat approve,Strongly approve,Version 2,Early in-person,,White Born-again/Evangelical Christians,35179.0
