ID,WEIGHT,PRSCO20,SENCO20,ABORT2,ABORTION,AGE,AGE3,AGE10,AGE45,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,CALL,CDNUM,CHILD12,CONTAINCOVID,CONTAINCOVID2,COUNT2,COUNTACC,EARLYVELECTION,ECONVCORONA20,EDUC18,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,FAVBIDEN2,FAVPRES20,FAVTRUMP,FINSIT,FORCAND,GEOCODE,HANDLECORONA20,ISSUE20,LATINO,LGBT,NEC,NEC2,NEWVOTER,PARENTS,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYID,PARTYWHITE,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,QLT20,QRACE3,QRACEAI,QTYPE,RACE,RACE2B,RACEAI,RACISM20,RACISM20B,REGION,SEX,SEXBYRACE,SIZEPLAC,SIZEPLC3,SPANISHQ,STANUM,SUBURBWHITE,TELEPOLL,TIME16,TIME16MONTH,TIME16WEEK,TRUMP2,TRUMP4,VERSION,VOTEMETHOD
77485.0,0.88892310334,Donald Trump,Cory Gardner,Legal,Legal in most cases,65+,60+,65-74,45+,60+,65+,,,,Complete,,6.0,No,Omit,Omit,Not very confident or not at all confident,Not very confident,Absentee or early in-person,"Rebuilding the economy now, even if it hurts efforts to contain the coronavirus",Bachelor's degree (BA or BS),College graduate,More than high school graduate,,,Unfavorable,Only Trump,Favorable,Better today,For your candidate,2.0,Donald Trump,Omit,,No,Excellent,Excellent or good,No,Women without children,Republican,,,Republican women,Republican,,Conservative,,Independent/Something else,Conservative Republicans,Omit,,,State questionnaire,,,,One of many important problems,The most important problem or one of many important problems,West,Female,,Suburbs,Suburbs,,Colorado,,Telephone survey,Before that,Before that,Before that,Strongly or somewhat approve,Strongly approve,Version 1,Election day
77486.0,1.09579547911,Joe Biden,John Hickenlooper,Legal,Legal in all cases,30-44,30-59,30-34,18-44,30-44,30-39,,,,Complete,,2.0,No,Very badly,Somewhat badly or very badly,Very confident or somewhat confident,Very confident,Absentee or early in-person,"Containing the coronavirus now, even if it hurts the economy",Bachelor's degree (BA or BS),College graduate,More than high school graduate,,,Favorable,Only Biden,Unfavorable,About the same,Against his opponent,5.0,Joe Biden,Racial inequality,,No,Poor,Not so good or poor,No,Women without children,Independent/Something else,,,Independent women,Something else,,Moderate,,Moderate/Liberal Republicans,Moderate Independents,Has good judgment,,,State questionnaire,,,,One of many important problems,The most important problem or one of many important problems,West,Female,,Rural,Small Cities/Rural,,Colorado,Other,Telephone survey,Before that,Before that,Before that,Strongly or somewhat disapprove,Strongly disapprove,Version 1,By mail
77487.0,0.84344186046,Donald Trump,Cory Gardner,Omit,Omit,,,,,,,,,,Complete,,5.0,No,Somewhat well,Very well or somewhat well,Not very confident or not at all confident,Not at all confident,Absentee or early in-person,"Rebuilding the economy now, even if it hurts efforts to contain the coronavirus","An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,,,Unfavorable,Only Trump,Favorable,Better today,For your candidate,1.0,Donald Trump,The economy,,,Good,Excellent or good,No,Women without children,,,,,,,Conservative,,,,Cares about people like me,,,State questionnaire,,,,One of many important problems,The most important problem or one of many important problems,West,Female,,"Cities 50,000-500,000","Cities over 50,000",,Colorado,Other,Telephone survey,Before that,Before that,Before that,Strongly or somewhat approve,Strongly approve,Version 1,By mail
77488.0,0.33555035738,Other,Cory Gardner,Legal,Legal in most cases,65+,60+,75 or older,45+,60+,65+,,,,Complete,,7.0,No,Very badly,Somewhat badly or very badly,Very confident or somewhat confident,Very confident,Absentee or early in-person,"Containing the coronavirus now, even if it hurts the economy","An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,,,Favorable,Only Biden,Unfavorable,About the same,Against his opponent,2.0,Joe Biden,Health care policy,,,Good,Excellent or good,No,Men without children,Independent/Something else,,,Independent men,Independent,,Moderate,,Moderate/Liberal Republicans,Moderate Independents,Has good judgment,,,State questionnaire,,,,One of many important problems,The most important problem or one of many important problems,West,Male,,Suburbs,Suburbs,,Colorado,,Telephone survey,Omit,Omit,Omit,Strongly or somewhat disapprove,Strongly disapprove,Version 1,By mail
77489.0,1.05649783653,Donald Trump,Cory Gardner,Illegal,Illegal in all cases,45-65,60+,60-64,45+,60+,50-64,,,,Complete,,6.0,No,Very well,Very well or somewhat well,Very confident or somewhat confident,Somewhat confident,Absentee or early in-person,"Rebuilding the economy now, even if it hurts efforts to contain the coronavirus",Bachelor's degree (BA or BS),College graduate,More than high school graduate,,,Unfavorable,Only Trump,Favorable,Better today,For your candidate,2.0,Donald Trump,The economy,,No,Excellent,Excellent or good,No,Women without children,Independent/Something else,,,Independent women,Independent,,Conservative,,Moderate/Liberal Republicans,Conservative Independents,Has good judgment,,,State questionnaire,,,,Not a problem at all,A minor problem or not a problem at all,West,Female,,Suburbs,Suburbs,,Colorado,,Telephone survey,Before that,Before that,Before that,Strongly or somewhat approve,Strongly approve,Version 1,Early in-person
77490.0,1.12600415683,Joe Biden,Cory Gardner,Legal,Legal in all cases,65+,60+,65-74,45+,60+,65+,,,,Complete,,7.0,No,Very badly,Somewhat badly or very badly,Very confident or somewhat confident,Very confident,Absentee or early in-person,"Containing the coronavirus now, even if it hurts the economy","An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,,,Favorable,Only Biden,Unfavorable,Worse today,For your candidate,2.0,Joe Biden,Health care policy,,,Not so good,Not so good or poor,No,Women without children,Independent/Something else,,,Independent women,Something else,,Conservative,,Moderate/Liberal Republicans,Conservative Independents,Has good judgment,,,State questionnaire,,,,One of many important problems,The most important problem or one of many important problems,West,Female,,Suburbs,Suburbs,,Colorado,,Telephone survey,In September,Before that,Before that,Strongly or somewhat disapprove,Strongly disapprove,Version 1,Early in-person
77491.0,1.1405374339,Donald Trump,Cory Gardner,Illegal,Illegal in most cases,65+,60+,65-74,45+,60+,65+,,,,Complete,,4.0,No,Somewhat well,Very well or somewhat well,Not very confident or not at all confident,Not very confident,Absentee or early in-person,"Rebuilding the economy now, even if it hurts efforts to contain the coronavirus",Attended college but received no degree,No college degree,More than high school graduate,,,Unfavorable,Only Trump,Favorable,Better today,Against his opponent,2.0,Donald Trump,The economy,,No,Good,Excellent or good,No,Women without children,Republican,,,Republican women,Republican,,Conservative,,Independent/Something else,Conservative Republicans,Is a strong leader,,,State questionnaire,,,,Not a problem at all,A minor problem or not a problem at all,West,Female,,"Cities 50,000-500,000","Cities over 50,000",,Colorado,Other,Telephone survey,Before that,Before that,Before that,Strongly or somewhat approve,Strongly approve,Version 1,By mail
77492.0,2.09836702741,Donald Trump,Cory Gardner,Illegal,Illegal in most cases,30-44,30-59,40-44,18-44,30-44,40-49,,,,Complete,,4.0,Yes,Somewhat well,Very well or somewhat well,Very confident or somewhat confident,Somewhat confident,Absentee or early in-person,"Rebuilding the economy now, even if it hurts efforts to contain the coronavirus",Associate's degree (AA or AS),No college degree,More than high school graduate,,,Unfavorable,Only Trump,Favorable,Better today,For your candidate,2.0,Donald Trump,The economy,,No,Good,Excellent or good,No,Women with children,Republican,,,Republican women,Republican,,Conservative,,Independent/Something else,Conservative Republicans,Can unite the country,,,State questionnaire,,,,One of many important problems,The most important problem or one of many important problems,West,Female,,"Cities 50,000-500,000","Cities over 50,000",,Colorado,Other,Telephone survey,Before that,Before that,Before that,Strongly or somewhat approve,Strongly approve,Version 1,Early in-person
77493.0,1.39972200964,Other,Other,Legal,Legal in most cases,30-44,30-59,40-44,18-44,30-44,40-49,Non-Black 30-44,All others,All others,Complete,,6.0,No,Very badly,Somewhat badly or very badly,Very confident or somewhat confident,Somewhat confident,Absentee or early in-person,"Rebuilding the economy now, even if it hurts efforts to contain the coronavirus",Associate's degree (AA or AS),No college degree,More than high school graduate,Non white no college degree,Non-whites,Unfavorable,Neither of them,Unfavorable,Worse today,For your candidate,2.0,Joe Biden,Omit,,No,Not so good,Not so good or poor,No,Men without children,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,All others,Moderate,,Conservative Republicans,Mod./Liberal Republicans,Can unite the country,Other,Other,State questionnaire,Other,Non-white,Other,One of many important problems,The most important problem or one of many important problems,West,Male,All other races,"Cities 50,000-500,000","Cities over 50,000",,Colorado,Other,Telephone survey,In September,Before that,Before that,Strongly or somewhat approve,Somewhat approve,Version 1,Early in-person
77494.0,1.13559394902,Donald Trump,Cory Gardner,Illegal,Illegal in most cases,30-44,30-59,35-39,18-44,30-44,30-39,,,,Complete,,6.0,No,Somewhat well,Very well or somewhat well,Very confident or somewhat confident,Somewhat confident,Absentee or early in-person,"Rebuilding the economy now, even if it hurts efforts to contain the coronavirus","An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,,,Unfavorable,Neither of them,Unfavorable,Better today,Against his opponent,2.0,Donald Trump,The economy,,No,Not so good,Not so good or poor,No,Men without children,Republican,,,Republican men,Republican,,Conservative,,Independent/Something else,Conservative Republicans,Is a strong leader,,,State questionnaire,,,,A minor problem,A minor problem or not a problem at all,West,Male,,Suburbs,Suburbs,,Colorado,,Telephone survey,Before that,Before that,Before that,Strongly or somewhat approve,Somewhat approve,Version 1,Early in-person
