ID,WEIGHT,PRSIA20,SENIA20,ABORT2,ABORTION,AGE,AGE3,AGE10,AGE45,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,BRNAGAIN,CALL,CDNUM,CHILD12,CONTAINCOVID,CONTAINCOVID2,CONTROLSEN,COUNT2,COUNTACC,EARLYVELECTION,ECONVCORONA20,EDUC18,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,FAVBIDEN2,FAVERNST,FAVGREENFIELD,FAVPRES20,FAVSENIA20,FAVTRUMP,FINSIT,FORCAND,GEOCODE,HANDLECORONA20,HANDLEECON20,INC100K,INC30K,INC50K,INCOME3,INCOME20,INCWHITE,ISSUE20,LATINO,LGBT,NEC,NEC2,NEWVOTER,PARENTS,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYID,PARTYWHITE,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,QLT20,QRACE3,QRACEAI,QTYPE,RACE,RACE2B,RACEAI,RACISM20,RACISM20B,REGION,SEX,SEXBYRACE,SIZEPLAC,SIZEPLC3,STANUM,SUBURBWHITE,TELEPOLL,TEMPBIDEN,TEMPERAMENT20,TEMPTRUMP,TIME16,TIME16MONTH,TIME16WEEK,TRUMP2,TRUMP4,VERSION,VOTEMETHOD,WHNCLINC,WHTEVANG
153855.0,0.23891549328,Joe Biden,,Omit,Omit,30-44,30-59,35-39,18-44,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete,,Call 3,1.0,Yes,Omit,Omit,Omit,Omit,Omit,Election day,,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White men non college graduates,,,,,,,,For your candidate,2.0,Donald Trump,Donald Trump,,,,,,,,No,,Excellent,Excellent or good,No,Men with children,,,,,,,,59.0,,,,White,White,State questionnaire,White,White,White,Omit,Omit,Midwest,Male,White men,Rural,Small Cities/Rural, Iowa,Other,Election day exit poll,,,,,,,Omit,Omit,Version 2,Election day,,All others
154577.0,0.22715986826,Joe Biden,,Legal,Legal in most cases,30-44,30-59,40-44,18-44,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,Complete,No,Call 3,3.0,No,Somewhat badly,Somewhat badly or very badly,Omit,Very confident or somewhat confident,Very confident,Election day,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,,,,,,,,Against his opponent,5.0,Joe Biden,Joe Biden,,,,,,,,No,No,Good,Excellent or good,No,Women without children,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,White Independent,Moderate,128.0,Moderate/Liberal Republicans,Moderate Independents,,White,White,State questionnaire,White,White,White,One of many important problems,The most important problem or one of many important problems,Midwest,Female,White women,Suburbs,Suburbs, Iowa,White suburban women,Election day exit poll,,,,,,,Strongly or somewhat disapprove,Strongly disapprove,Version 2,Election day,,All others
143713.0,0.33698643907,Joe Biden,,,,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,,Call 2,4.0,,,,,,,Election day,"Containing the coronavirus now, even if it hurts the economy",Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,Favorable,Favorable,Favorable,Only Biden,Both,Unfavorable,About the same,,2.0,,,"Under $100,000","$30,000 or more","$50,000 or more","$50,000 to $99,999","$50,000-$99,999","Over $50,000 and white",The economy,No,,,,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,White Independent,Moderate,51.0,Moderate/Liberal Republicans,Moderate Independents,Has good judgment,White,White,State questionnaire,White,White,White,,,Midwest,Male,White men,Suburbs,Suburbs, Iowa,White suburban men,Election day exit poll,Yes,Both of them do,Yes,In the last few days,In the last month,In the last week,,,Version 1,Election day,No,
153817.0,0.18436524006,Joe Biden,,,,18-29,18-29,25-29,18-44,18-29,25-29,Non-Black 18-29,White 18-29,White 18-29,Complete,,Call 3,2.0,,,,,,,Election day,"Containing the coronavirus now, even if it hurts the economy",Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,,,,,,,,For your candidate,1.0,Joe Biden,Joe Biden,,,,,,,,No,,Not so good,Not so good or poor,No,,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Moderate,135.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,White,White,National questionnaire,White,White,White,,,Midwest,Female,White women,Suburbs,Suburbs, Iowa,White suburban women,Election day exit poll,,,,,,,,,Version 2,Election day,,
154086.0,0.21020472016,Joe Biden,,,,30-44,30-59,40-44,18-44,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,Complete,,Call 3,1.0,,,,,,,Election day,"Rebuilding the economy now, even if it hurts efforts to contain the coronavirus",Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,Favorable,Omit,Omit,Only Biden,Omit,Unfavorable,Omit,,2.0,,,"Under $100,000","$30,000 or more","Under $50,000","Under $50,000","$30,000-$49,999","Under $50,000 and white",Health care policy,No,,,,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,White Independent,Moderate,40.0,Moderate/Liberal Republicans,Moderate Independents,Can unite the country,White,White,State questionnaire,White,White,White,,,Midwest,Female,White women,Rural,Small Cities/Rural, Iowa,Other,Election day exit poll,Yes,Only Joe Biden does,No,Before that,Before that,Before that,,,Version 1,Election day,Yes,
143715.0,0.16704139133,Joe Biden,,,,18-29,18-29,18-24,18-44,18-29,18-24,Non-Black 18-29,White 18-29,White 18-29,Complete,,Call 2,3.0,,,,,,,Election day,"Containing the coronavirus now, even if it hurts the economy",Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,Unfavorable,Unfavorable,Unfavorable,Neither of them,Neither,Unfavorable,About the same,,3.0,,,"Under $100,000","$30,000 or more","Under $50,000","Under $50,000","$30,000-$49,999","Under $50,000 and white",Racial inequality,No,,,,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,White Independent,,117.0,,,Cares about people like me,White,White,State questionnaire,White,White,White,,,Midwest,Female,White women,"Cities 50,000-500,000","Cities over 50,000", Iowa,Other,Election day exit poll,Yes,Both of them do,Yes,In October,In the last month,Before that,,,Version 1,Election day,Yes,
154201.0,0.19620735425,Joe Biden,,,,30-44,30-59,40-44,18-44,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,Complete,,Call 3,3.0,,,,,,,Election day,"Containing the coronavirus now, even if it hurts the economy",Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,Favorable,Unfavorable,Favorable,Only Biden,Only Greenfield,Unfavorable,Worse today,,3.0,,,"Under $100,000","Under $30,000","Under $50,000","Under $50,000","Under $30,000","Under $50,000 and white",The coronavirus pandemic,No,,,,,,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Moderate,118.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Can unite the country,White,White,State questionnaire,White,White,White,,,Midwest,Female,White women,"Cities 50,000-500,000","Cities over 50,000", Iowa,Other,Election day exit poll,Yes,Only Joe Biden does,No,Before that,Before that,Before that,,,Version 1,Election day,No,
143679.0,0.13525631647,Joe Biden,,Legal,Legal in most cases,,,,,,,,,,Complete,,Call 2,2.0,Yes,Somewhat well,Very well or somewhat well,The Democratic Party,Very confident or somewhat confident,Somewhat confident,Election day,,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,,,,,,,,For your candidate,4.0,Joe Biden,Donald Trump,,,,,,,,No,No,Not so good,Not so good or poor,Yes,Women with children,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,Liberal,62.0,Liberal Democrats,Liberal Democrats,,Black,Black,State questionnaire,Black,Non-white,Black,One of many important problems,The most important problem or one of many important problems,Midwest,Female,Black women,Rural,Small Cities/Rural, Iowa,Other,Election day exit poll,,,,,,,Strongly or somewhat disapprove,Somewhat disapprove,Version 2,Election day,,All others
143671.0,0.40212923135,Joe Biden,,,,65+,60+,65-74,45+,60+,65+,Black 60+,Black 60+,Black 65+,Complete,,Call 2,3.0,,,,,,,Election day,"Containing the coronavirus now, even if it hurts the economy",Never attended college,No college degree,High school graduate or less,Non white no college degree,Non-whites,Favorable,Unfavorable,Favorable,Only Biden,Only Greenfield,Unfavorable,About the same,,3.0,,,"Under $100,000","Under $30,000","Under $50,000","Under $50,000","Under $30,000","Under $50,000 and non white",The economy,No,,,,,,Democrat,Black Democrat,Black Democrat,Democratic men,Democrat,Non-White Democrats,Moderate,117.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Is a strong leader,Black,Black,State questionnaire,Black,Non-white,Black,,,Midwest,Male,Black men,"Cities 50,000-500,000","Cities over 50,000", Iowa,Other,Election day exit poll,Yes,Only Joe Biden does,No,Before that,Before that,Before that,,,Version 1,Election day,No,
142946.0,0.18834798912,Joe Biden,,,,18-29,18-29,18-24,18-44,18-29,18-24,Non-Black 18-29,Latino 18-29,Latino 18-29,Complete,,Call 2,4.0,,,,,,,Election day,"Containing the coronavirus now, even if it hurts the economy",Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,Favorable,Unfavorable,Unfavorable,Only Biden,Neither,Unfavorable,Worse today,,5.0,,,"Under $100,000","Under $30,000","Under $50,000","Under $50,000","Under $30,000","Under $50,000 and non white",Racial inequality,Yes,,,,,,Independent/Something else,Non-black non-Democrat,Latino Independent,Independent men,Independent,All others,Conservative,156.0,Moderate/Liberal Republicans,Conservative Independents,Cares about people like me,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,,,Midwest,Male,Latino men,"Cities 50,000-500,000","Cities over 50,000", Iowa,Other,Election day exit poll,Yes,Only Joe Biden does,No,In the last few days,In the last month,In the last week,,,Version 1,Election day,No,
