ID,PRSNY20,HOUNY20,WEIGHT,ABORT2,ABORTION,ACASUPREME,AGE,AGE3,AGE10,AGE45,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,BIDENWINGEN,BIDENWINGENB,BREAK12,BREAK12A,BREAK12B,BRNAGAIN,CALL,CDNUM,CHILD12,CLIMATECHANGE,CONTAINCOVID,CONTAINCOVID2,COUNT2,COUNTACC,COVIDHARDSHIP,COVIDHARDSHIP2,EARLYVELECTION,ECONVCORONA20,EDUC18,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,FACEMASKS,FAIRJUSTICE20,FAVBIDEN2,FAVBLM,FAVHARRIS,FAVPENCE,FAVPRES20,FAVTRUMP,FAVVP20,FINSIT,FORCAND,GEOCODE,GOVTANGR16,GOVTANGR16B,HANDLECORONA20,HANDLEECON20,HEALTHBIDEN,HEALTHCAND20,HEALTHTRUMP,INC100K,INC30K,INC50K,INCOME3,INCOME20,INCWHITE,ISSUE20,ISSVQUAL20,LATINO,LGBT,LIFE,MARCHILD,MARRIED,NEC,NEC2,NEWVOTER,PARENTS,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYID,PARTYSEX,PARTYWHITE,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,QLT20,QRACE3,QRACEAI,QTYPE,RACE,RACE2B,RACEAI,RACISM20,RACISM20B,REGION,REL5,RELIGN18,RELWHITE,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,SPANISHQ,STANUM,SUBURBWHITE,SUPREME16,SUPREME16B,TELEPOLL,TEMPBIDEN,TEMPERAMENT20,TEMPTRUMP,TIME16,TIME16MONTH,TIME16WEEK,TRUMP2,TRUMP4,TRUMPWINGEN20,TRUMPWINGEN20B,UNIONHH12,VERSION,VETVOTER,VOTE2016,VOTEEXPERIENCE,VOTEEXPERIENCE2,VOTEMETHOD,WHNCLINC,WHTEVANG,WORK,WORKSEX,WPROTBRN,WPROTBRN3,WRKWOMEN,WRKWOMEN4,ZIPCODE
1150.0,Did not vote,The Democratic candidate,0.14271579892,Illegal,Illegal in most cases,,18-29,18-29,25-29,18-44,18-29,25-29,Non-Black 18-29,White 18-29,White 18-29,Complete,,,,,,No,,6.0,No,Yes,,,,,,,Absentee or early in-person,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,,,,,,,,,,About the same,,1.0,,,,,,,,,,,,,,,,No,No,,All others,Yes,,,,Men without children,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,Independent Men,White Independent,Moderate,,Moderate/Liberal Republicans,Moderate Independents,,White,White,National questionnaire,White,White,White,,,East,Jewish,Jewish,Jewish,Male,White men,Married men,"Cities over 500,000","Cities over 50,000",English, New York,Other,A minor factor,A minor factor or not a factor at all,Telephone survey,No,Neither of them do,No,In October,In the last month,Before that,,,,,,Version 4,No,,,,By mail,,All others,,,No,All others,,,11366.0
1151.0,Joe Biden,The Democratic candidate,0.07006061738,Legal,Legal in most cases,,65+,60+,65-74,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,,,,,No,,1.0,No,Yes,,,,,,,Absentee or early in-person,,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,,,,,,,,,,About the same,,2.0,,,,,,,,,,,,,,,,No,No,,All others,Yes,,,,Men without children,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,Independent Men,White Independent,Moderate,,Moderate/Liberal Republicans,Moderate Independents,,White,White,National questionnaire,White,White,White,,,East,Catholic,Catholic,Catholic,Male,White men,Married men,Suburbs,Suburbs,English, New York,White suburban men,Not a factor at all,A minor factor or not a factor at all,Telephone survey,Yes,Only Joe Biden does,No,Before that,Before that,Before that,,,,,,Version 4,No,,,,By mail,,All others,,,No,All others,,,11763.0
1152.0,Joe Biden,The Democratic candidate,3.12740504905,Legal,Legal in all cases,,30-44,30-59,30-34,18-44,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete,,,,,,No,,20.0,Yes,Yes,,,,,,,Absentee or early in-person,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,,,,,,,,,,Better today,,3.0,,,,,,,,,,,,,,,,No,No,,Married with children,Yes,,,,Men with children,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Something else,Independent Men,White Independent,Liberal,,Moderate/Liberal Republicans,Liberal Independents,,White,White,National questionnaire,White,White,White,,,East,None,None,None,Male,White men,Married men,"Cities 50,000-500,000","Cities over 50,000",English, New York,Other,A minor factor,A minor factor or not a factor at all,Telephone survey,Yes,Only Joe Biden does,No,Before that,Before that,Before that,,,,,,Version 4,No,,,,By mail,,All others,,,No,All others,,,12303.0
1153.0,Joe Biden,The Democratic candidate,0.18504571754,Legal,Legal in most cases,,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,,,,,,No,,20.0,No,Yes,,,,,,,Absentee or early in-person,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,,,,,,,,,,About the same,,3.0,,,,,,,,,,,,,,,,No,Yes,,All others,Yes,,,,Women without children,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,Independent Women,White Independent,Moderate,,Moderate/Liberal Republicans,Moderate Independents,,White,White,National questionnaire,White,White,White,,,East,None,None,None,Female,White women,Married women,"Cities 50,000-500,000","Cities over 50,000",English, New York,Other,A minor factor,A minor factor or not a factor at all,Telephone survey,Yes,Only Joe Biden does,No,Before that,Before that,Before that,,,,,,Version 4,Yes,,,,By mail,,All others,,,No,All others,,,12202.0
1154.0,Joe Biden,The Democratic candidate,0.53423268237,Legal,Legal in most cases,,30-44,30-59,35-39,18-44,30-44,30-39,Non-Black 30-44,All others,All others,Complete,,,,,,No,,8.0,Yes,Yes,,,,,,,Absentee or early in-person,,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,Non white college degree,Non-whites,,,,,,,,,,About the same,,1.0,,,,,,,,,,,,,,,,No,No,,Married with children,Yes,,,,Women with children,Democrat,Non-black Democrat,All Other,Democratic women,Democrat,Democratic Women,Non-White Democrats,Liberal,,Liberal Democrats,Liberal Democrats,,Other,American Indian,National questionnaire,Other,Non-white,American Indian,,,East,None,None,,Female,All other races,Married women,"Cities over 500,000","Cities over 50,000",English, New York,Other,An important factor,The most important factor or an important factor,Telephone survey,Yes,Only Joe Biden does,No,Before that,Before that,Before that,,,,,,Version 4,No,,,,By mail,,All others,,,No,,,,11217.0
1155.0,Joe Biden,The Democratic candidate,0.60194272029,Legal,Legal in most cases,,65+,60+,65-74,45+,60+,65+,Black 60+,Black 60+,Black 65+,Complete,,,,,,Yes,,26.0,No,Yes,,,,,,,Absentee or early in-person,,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,,,,,,,,,,Better today,,4.0,,,,,,,,,,,,,,,,No,No,,All others,No,,,,Women without children,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Democratic Women,Non-White Democrats,Liberal,,Liberal Democrats,Liberal Democrats,,Black,Black,National questionnaire,Black,Non-white,Black,,,East,Protestant/Other Non-Catholic Christian,Other Christian,,Female,Black women,Non married women,"Cities 50,000-500,000","Cities over 50,000",English, New York,Other,Not a factor at all,A minor factor or not a factor at all,Telephone survey,Yes,Only Joe Biden does,No,Before that,Before that,Before that,,,,,,Version 4,No,,,,By mail,,All others,,,No,,,,14212.0
1156.0,Joe Biden,The Democratic candidate,1.20551575676,Legal,Legal in most cases,,45-65,60+,60-64,45+,60+,50-64,Non-Black 60+,Latino 60+,Latino 45-64,Complete,,,,,,No,,10.0,No,Yes,,,,,,,Absentee or early in-person,,Never attended college,No college degree,High school graduate or less,Non white no college degree,Non-whites,,,,,,,,,,Worse today,,1.0,,,,,,,,,,,,,,,,Yes,No,,All others,Yes,,,,Women without children,Democrat,Non-black Democrat,Latino Democrat,Democratic women,Democrat,Democratic Women,Non-White Democrats,Liberal,,Liberal Democrats,Liberal Democrats,,Other,Hispanic/Latino,National questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,,,East,Catholic,Catholic,,Female,Latino women,Married women,"Cities over 500,000","Cities over 50,000",English, New York,Other,The most important factor,The most important factor or an important factor,Telephone survey,Yes,Only Joe Biden does,No,Before that,Before that,Before that,,,,,,Version 4,No,,,,By mail,,All others,,,No,,,,11231.0
1157.0,,The Democratic candidate,0.12690614906,Legal,Legal in most cases,,65+,60+,75 or older,45+,60+,65+,Black 60+,Black 60+,Black 65+,Complete,,,,,,Yes,,13.0,No,Yes,,,,,,,Absentee or early in-person,,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,,,,,,,,,,About the same,,1.0,,,,,,,,,,,,,,,,No,,,All others,Yes,,,,Men without children,Democrat,Black Democrat,Black Democrat,Democratic men,Democrat,Democratic Men,Non-White Democrats,Moderate,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,Black,Black,National questionnaire,Black,Non-white,Black,,,East,Protestant/Other Non-Catholic Christian,Protestant,,Male,Black men,Married men,"Cities over 500,000","Cities over 50,000",English, New York,Other,An important factor,The most important factor or an important factor,Telephone survey,Yes,Only Joe Biden does,No,Before that,Before that,Before that,,,,,,Version 4,Yes,,,,By mail,,All others,,,No,,,,10031.0
1158.0,Joe Biden,The Democratic candidate,4.865846488,Illegal,Illegal in most cases,,18-29,18-29,25-29,18-44,18-29,25-29,Black 18-29,Black 18-29,Black 18-29,Complete,,,,,,Yes,,13.0,No,Yes,,,,,,,Absentee or early in-person,,Associate's degree (AA or AS),No college degree,More than high school graduate,Non white no college degree,Non-whites,,,,,,,,,,About the same,,1.0,,,,,,,,,,,,,,,,No,No,,All others,No,,,,Women without children,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Democratic Women,Non-White Democrats,Liberal,,Liberal Democrats,Liberal Democrats,,Black,Black,National questionnaire,Black,Non-white,Black,,,East,Protestant/Other Non-Catholic Christian,Protestant,,Female,Black women,Non married women,"Cities over 500,000","Cities over 50,000",English, New York,Other,The most important factor,The most important factor or an important factor,Telephone survey,Yes,Only Joe Biden does,No,In September,Before that,Before that,,,,,,Version 4,No,,,,By mail,,All others,,,No,,,,10031.0
1159.0,Joe Biden,The Democratic candidate,1.3721659047700001,Omit,Omit,,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,Latino 45-59,Latino 45-64,Complete,,,,,,,,15.0,No,Yes,,,,,,,Absentee or early in-person,,Never attended college,No college degree,High school graduate or less,Non white no college degree,Non-whites,,,,,,,,,,Worse today,,1.0,,,,,,,,,,,,,,,,Yes,No,,All others,No,,,,Men without children,Democrat,Non-black Democrat,Latino Democrat,Democratic men,Democrat,Democratic Men,Non-White Democrats,,,,,,Other,Hispanic/Latino,National questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,,,East,None,None,,Male,Latino men,Non married men,"Cities over 500,000","Cities over 50,000",English, New York,Other,Not a factor at all,A minor factor or not a factor at all,Telephone survey,Yes,Only Joe Biden does,No,Before that,Before that,Before that,,,,,,Version 4,No,,,,By mail,,All others,,,No,,,,10459.0
