ID,WEIGHT,PRSPA20,ABORT2,ABORTION,AGE,AGE3,AGE10,AGE45,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,CALL,CDNUM,CHILD12,CONTAINCOVID,CONTAINCOVID2,COUNT2,COUNTACC,COVIDHARDSHIP,COVIDHARDSHIP2,EARLYVELECTION,ECONVCORONA20,EDUC18,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,FAVBIDEN2,FAVPRES20,FAVTRUMP,FINSIT,FORCAND,GEOCODE,HANDLECORONA20,HANDLEECON20,INC100K,INC30K,INC50K,INCOME3,INCOME20,INCWHITE,ISSUE20,LATINO,LGBT,MARCHILD,MARRIED,NEC,NEC2,NEWVOTER,PARENTS,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYID,PARTYWHITE,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,QLT20,QRACE3,QRACEAI,QTYPE,RACE,RACE2B,RACEAI,RACISM20,RACISM20B,REGION,REL5,RELIGN18,RELWHITE,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,SPANISHQ,STANUM,SUBURBWHITE,TELEPOLL,TEMPBIDEN,TEMPERAMENT20,TEMPTRUMP,TIME16,TIME16MONTH,TIME16WEEK,TRUMP2,TRUMP4,UNIONHH12,VERSION,VOTE2016,VOTEEXPERIENCE,VOTEEXPERIENCE2,VOTEMETHOD,WHNCLINC,WORK,WORKSEX,WRKWOMEN,WRKWOMEN4
49805.0,1.8216447727,Donald Trump,,,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,,18.0,No,Somewhat well,Very well or somewhat well,Not very confident or not at all confident,Not at all confident,No financial hardship at all,No financial hardship at all,Absentee or early in-person,,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White men non college graduates,,,,,For your candidate,5.0,Donald Trump,Donald Trump,,,,,,,,No,No,All others,No,Not so good,Not so good or poor,No,Men without children,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,White Republican,Conservative,,Independent/Something else,Conservative Republicans,,White,White,State questionnaire,White,White,White,A minor problem,A minor problem or not a problem at all,East,Catholic,Catholic,Catholic,Male,White men,Non married men,Suburbs,Suburbs,English,Pennsylvania,White suburban men,Telephone survey,,,,,,,Strongly or somewhat approve,Strongly approve,No,Version 2,Donald Trump,,,By mail,,,,,
49806.0,0.45389085914,Joe Biden,,,65+,60+,65-74,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,5.0,No,Somewhat badly,Somewhat badly or very badly,Very confident or somewhat confident,Somewhat confident,Omit,Omit,Absentee or early in-person,,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,,,,,For your candidate,4.0,Joe Biden,Joe Biden,,,,,,,,No,No,All others,Yes,Not so good,Not so good or poor,No,Men without children,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,White Independent,Moderate,,Moderate/Liberal Republicans,Moderate Independents,,White,White,State questionnaire,White,White,White,One of many important problems,The most important problem or one of many important problems,East,None,None,None,Male,White men,Married men,"Cities 10,000-50,000",Small Cities/Rural,English,Pennsylvania,Other,Telephone survey,,,,,,,Strongly or somewhat disapprove,Strongly disapprove,Yes,Version 2,Hillary Clinton,,,By mail,,,,,
49807.0,0.65965557723,Joe Biden,,,65+,60+,65-74,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,17.0,No,Very badly,Somewhat badly or very badly,Very confident or somewhat confident,Somewhat confident,No financial hardship at all,No financial hardship at all,Absentee or early in-person,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,,,,,Omit,3.0,Joe Biden,Joe Biden,,,,,,,,No,No,All others,Yes,Poor,Not so good or poor,No,Men without children,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,Liberal,,Liberal Democrats,Liberal Democrats,,White,White,State questionnaire,White,White,White,One of many important problems,The most important problem or one of many important problems,East,None,None,None,Male,White men,Married men,"Cities 50,000-500,000","Cities over 50,000",English,Pennsylvania,Other,Telephone survey,,,,,,,Strongly or somewhat disapprove,Strongly disapprove,No,Version 2,Hillary Clinton,,,By mail,,,,,
49808.0,2.48600893478,Joe Biden,,,45-65,30-59,45-49,45+,45-59,40-49,Black 45-59,Black 45-59,Black 45-64,Complete,,2.0,Yes,Very badly,Somewhat badly or very badly,Very confident or somewhat confident,Very confident,A moderate financial hardship,A severe financial hardship or a moderate financial hardship,Absentee or early in-person,,Associate's degree (AA or AS),No college degree,More than high school graduate,Non white no college degree,Non-whites,,,,,For your candidate,1.0,Joe Biden,Joe Biden,,,,,,,,No,No,Married with children,Yes,Not so good,Not so good or poor,Yes,Men with children,Democrat,Black Democrat,Black Democrat,Democratic men,Democrat,Non-White Democrats,Liberal,,Liberal Democrats,Liberal Democrats,,Black,Black,State questionnaire,Black,Non-white,Black,A minor problem,A minor problem or not a problem at all,East,Catholic,Catholic,,Male,Black men,Married men,"Cities over 500,000","Cities over 50,000",English,Pennsylvania,Other,Telephone survey,,,,,,,Strongly or somewhat disapprove,Strongly disapprove,No,Version 2,Hillary Clinton,,,By mail,,,,,
49809.0,2.3428439735,Joe Biden,,,30-44,30-59,35-39,18-44,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete,,4.0,No,Very badly,Somewhat badly or very badly,Very confident or somewhat confident,Very confident,A moderate financial hardship,A severe financial hardship or a moderate financial hardship,Absentee or early in-person,,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White men non college graduates,,,,,For your candidate,4.0,Joe Biden,Joe Biden,,,,,,,,No,No,All others,No,Poor,Not so good or poor,No,Men without children,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,Liberal,,Liberal Democrats,Liberal Democrats,,White,White,State questionnaire,White,White,White,One of many important problems,The most important problem or one of many important problems,East,Catholic,Catholic,Catholic,Male,White men,Non married men,"Cities 10,000-50,000",Small Cities/Rural,English,Pennsylvania,Other,Telephone survey,,,,,,,Strongly or somewhat disapprove,Strongly disapprove,No,Version 2,Other,,,By mail,,,,,
49810.0,0.85333285457,Joe Biden,,,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,,12.0,Yes,Very badly,Somewhat badly or very badly,Very confident or somewhat confident,Somewhat confident,No financial hardship at all,No financial hardship at all,Absentee or early in-person,,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,,,,,For your candidate,5.0,Joe Biden,Joe Biden,,,,,,,,No,Yes,Married with children,Yes,Not so good,Not so good or poor,No,Women with children,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Moderate,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,White,White,State questionnaire,White,White,White,One of many important problems,The most important problem or one of many important problems,East,None,None,None,Female,White women,Married women,Suburbs,Suburbs,English,Pennsylvania,White suburban women,Telephone survey,,,,,,,Strongly or somewhat disapprove,Strongly disapprove,No,Version 2,Hillary Clinton,,,By mail,,,,,
49811.0,1.7693832048,Joe Biden,,,65+,60+,65-74,45+,60+,65+,Black 60+,Black 60+,Black 65+,Complete,,14.0,No,Very badly,Somewhat badly or very badly,Very confident or somewhat confident,Somewhat confident,A severe financial hardship,A severe financial hardship or a moderate financial hardship,Absentee or early in-person,,Never attended college,No college degree,High school graduate or less,Non white no college degree,Non-whites,,,,,Against his opponent,5.0,Joe Biden,Joe Biden,,,,,,,,No,No,All others,Yes,Poor,Not so good or poor,No,Women without children,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,,,,,,Black,Black,State questionnaire,Black,Non-white,Black,One of many important problems,The most important problem or one of many important problems,East,Protestant/Other Non-Catholic Christian,Other Christian,,Female,Black women,Married women,Suburbs,Suburbs,English,Pennsylvania,Other,Telephone survey,,,,,,,Strongly or somewhat disapprove,Strongly disapprove,No,Version 2,Hillary Clinton,,,By mail,,,,,
49812.0,1.24848711005,Joe Biden,,,65+,60+,65-74,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,14.0,No,Somewhat well,Very well or somewhat well,Very confident or somewhat confident,Very confident,No financial hardship at all,No financial hardship at all,Absentee or early in-person,,Never attended college,No college degree,High school graduate or less,White no college degree,White women non college graduates,,,,,For your candidate,5.0,Joe Biden,Joe Biden,,,,,,,,No,No,All others,Yes,Good,Excellent or good,No,Women without children,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Moderate,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,White,White,State questionnaire,White,White,White,One of many important problems,The most important problem or one of many important problems,East,Catholic,Catholic,Catholic,Female,White women,Married women,Suburbs,Suburbs,English,Pennsylvania,White suburban women,Telephone survey,,,,,,,Strongly or somewhat disapprove,Somewhat disapprove,No,Version 2,Didn't vote,,,By mail,,,,,
49813.0,0.70248753409,Joe Biden,,,65+,60+,65-74,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,18.0,No,Very badly,Somewhat badly or very badly,Very confident or somewhat confident,Very confident,No financial hardship at all,No financial hardship at all,Absentee or early in-person,,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,,,,,Omit,5.0,Joe Biden,Joe Biden,,,,,,,,No,,All others,Yes,Poor,Not so good or poor,No,Men without children,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,Moderate,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,White,White,State questionnaire,White,White,White,One of many important problems,The most important problem or one of many important problems,East,None,None,None,Male,White men,Married men,Suburbs,Suburbs,English,Pennsylvania,White suburban men,Telephone survey,,,,,,,Strongly or somewhat disapprove,Strongly disapprove,No,Version 2,Hillary Clinton,,,By mail,,,,,
49814.0,0.70248753409,Joe Biden,,,65+,60+,65-74,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,12.0,No,Somewhat badly,Somewhat badly or very badly,Very confident or somewhat confident,Somewhat confident,No financial hardship at all,No financial hardship at all,Absentee or early in-person,,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,,,,,Omit,5.0,Joe Biden,Joe Biden,,,,,,,,No,No,All others,No,Not so good,Not so good or poor,No,Men without children,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,Liberal,,Liberal Democrats,Liberal Democrats,,White,White,State questionnaire,White,White,White,One of many important problems,The most important problem or one of many important problems,East,None,None,None,Male,White men,Non married men,"Cities 50,000-500,000","Cities over 50,000",English,Pennsylvania,Other,Telephone survey,,,,,,,Strongly or somewhat disapprove,Strongly disapprove,Yes,Version 2,Hillary Clinton,,,By mail,,,,,
