ID,WEIGHT,AZDPRS20,AGE,AGE3,AGE8,AGE45,AGE49,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,BEATTRUMPMAR17,BIDENLIB,CALL,CDNUM,EDUC18,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,FAVBIDEN2,FAVDEM20,FAVSANDERS,GEOCODE,IMMPOLICYDEM20,ISSDEM20B,LATINO,LGBT,MAJCRISISMAR17,OBAMAPLCY20,OVER45,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYID,PARTYWHITE,PHIL4,PHIL2D,PHIL3X,PRECINCT,PREVPRIDEM,QLT20DEMPRIB,QRACE3,QRACEAI,QTYPE,RACE,RACE2B,RACEAI,REGION,SANDERSLIB,SEX,SEXBYRACE,SINGLEPAYER20,SIZEPLAC,SIZEPLC3,SPANISHQ,STANUM,SUBURBWHITE,TELEPOLL,TIMEPRIMTH,TIMEWA20,TRUMPANG,VOTENOV20,WINORISS20,ZIPCODE
277278841.0,0.580671608448029,Joe Biden,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,Joe Biden,About right,,1.0,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,Favorable,Both,Favorable,2.0,Bernie Sanders,Health care,No,Yes,Joe Biden,Return to Barack Obama's policies,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Somewhat liberal,Liberal,Liberal,,Yes,Can unite the country,White,White,State questionnaire,White,White,White,West,Too liberal,Female,White women,Oppose,"Cities over 500,000","Cities over 50,000",English,Arizona,Other,Telephone survey,In the last month,In March,Angry,Yes,Can beat Donald Trump,85743.0
277278840.0,1.01264321804047,Joe Biden,45-65,30-59,50-59,45+,50+,45-59,50-64,Black 45-59,Black 45-59,Black 45-64,Complete,Joe Biden,Not liberal enough,,7.0,Associate's degree (AA or AS),No college degree,More than high school graduate,Non white no college degree,Non-whites,Favorable,Both,Favorable,1.0,Bernie Sanders,Race relations,No,No,Joe Biden,Change to more liberal policies,45+,18-64,Democrat,Black Democrat,Black Democrat,Democratic men,Democrat,Non-White Democrats,Very liberal,Liberal,Liberal,,Yes,Has the right temperament,Black,Black,State questionnaire,Black,Non-white,Black,West,About right,Male,Black men,Support,"Cities over 500,000","Cities over 50,000",English,Arizona,Other,Telephone survey,In the last month,In March,Angry,Yes,Can beat Donald Trump,85040.0
277278839.0,0.482957869768143,Joe Biden,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,All others,All others,Complete,Joe Biden,About right,,3.0,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,Favorable,Both,Favorable,2.0,Joe Biden,Climate change,No,No,Joe Biden,Change to more liberal policies,45+,65+,Democrat,Non-black Democrat,All Other,Democratic women,Democrat,Non-White Democrats,Very liberal,Liberal,Liberal,,Yes,Can unite the country,Other,American Indian,State questionnaire,Other,Non-white,American Indian,West,Too liberal,Female,All other races,Omit,Suburbs,Suburbs,English,Arizona,Other,Telephone survey,Earlier than that,Last year,Angry,Yes,Can beat Donald Trump,85634.0
277278838.0,0.664704859256744,Joe Biden,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Joe Biden,About right,,9.0,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,Favorable,Both,Favorable,1.0,Joe Biden,Income inequality,No,No,Joe Biden,Change to more liberal policies,45+,65+,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Moderate,Moderate or Conservative,Moderate,,Yes,Can unite the country,White,White,State questionnaire,White,White,White,West,Too liberal,Female,White women,Oppose,"Cities over 500,000","Cities over 50,000",English,Arizona,Other,Telephone survey,Earlier than that,In February,Angry,Yes,Can beat Donald Trump,85020.0
277278836.0,0.580671608448029,Joe Biden,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,Joe Biden,Not liberal enough,,2.0,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,Favorable,Both,Favorable,2.0,Bernie Sanders,Climate change,No,No,Joe Biden,Change to more liberal policies,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Somewhat liberal,Liberal,Liberal,,Yes,Can bring needed change,White,White,State questionnaire,White,White,White,West,About right,Female,White women,Support,"Cities over 500,000","Cities over 50,000",English,Arizona,Other,Telephone survey,In the last month,In March,Angry,Yes,Can beat Donald Trump,85718.0
277278835.0,0.528066337108612,Joe Biden,,,,,,,,,,,Complete,Joe Biden,About right,,1.0,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,Favorable,Only Biden,Omit,3.0,Joe Biden,Health care,No,No,Joe Biden,Return to Barack Obama's policies,,,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Somewhat liberal,Liberal,Liberal,,Yes,Can unite the country,White,White,State questionnaire,White,White,White,West,Too liberal,Female,White women,Support,Suburbs,Suburbs,English,Arizona,White suburban women,Telephone survey,Omit,Omit,Angry,Yes,Can beat Donald Trump,86351.0
277278833.0,0.623882293701172,Joe Biden,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Joe Biden,About right,,2.0,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,Favorable,Only Biden,Unfavorable,2.0,Joe Biden,Income inequality,No,No,Joe Biden,Return to Barack Obama's policies,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,White Independent,Moderate,Moderate or Conservative,Moderate,,Yes,Can unite the country,White,White,State questionnaire,White,White,White,West,Too liberal,Female,White women,Oppose,"Cities over 500,000","Cities over 50,000",English,Arizona,Other,Telephone survey,In the last month,In March,Angry,Yes,Can beat Donald Trump,85710.0
277278831.0,0.482957869768143,Joe Biden,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Joe Biden,About right,,1.0,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,Favorable,Both,Favorable,2.0,Joe Biden,Income inequality,No,No,Joe Biden,Return to Barack Obama's policies,45+,65+,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Somewhat liberal,Liberal,Liberal,,Yes,Can unite the country,White,White,State questionnaire,White,White,White,West,Too liberal,Female,White women,Support,"Cities over 500,000","Cities over 50,000",English,Arizona,Other,Telephone survey,In the last month,In March,Angry,Yes,Agrees with you on major issues,85718.0
277278830.0,0.684777557849884,Joe Biden,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Joe Biden,Too liberal,,9.0,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,Favorable,Both,Favorable,1.0,Omit,Health care,No,No,Joe Biden,Change to more liberal policies,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,White Independent,Somewhat liberal,Liberal,Liberal,,Yes,Omit,White,White,State questionnaire,White,White,White,West,Not liberal enough,Male,White men,Omit,Suburbs,Suburbs,English,Arizona,White suburban men,Telephone survey,In the last month,In March,Angry,Yes,Can beat Donald Trump,85284.0
277278828.0,0.497542202472687,Joe Biden,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Joe Biden,About right,,3.0,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,Favorable,Both,Favorable,2.0,Joe Biden,Health care,No,No,Joe Biden,Return to Barack Obama's policies,45+,65+,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,Somewhat liberal,Liberal,Liberal,,Yes,Can unite the country,White,White,State questionnaire,White,White,White,West,Too liberal,Male,White men,Oppose,"Cities over 500,000","Cities over 50,000",English,Arizona,Other,Telephone survey,In the last month,In March,Angry,Yes,Can beat Donald Trump,85746.0
