ID,WEIGHT,CODPRS20,AGE,AGE3,AGE8,AGE45,AGE49,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,BEATTRUMPST,CALL,CDNUM,ECONCHANGE20,EDUC18,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,FAVBIDEN2,FAVBLOOMBERG,FAVBUTTIGIEG,FAVKLOBUCHAR,FAVSANDERS,FAVWARREN2,GEOCODE,GEOCODECOD,ISSDEM20B,LATINO,LGBT,OBAMAPLCY20,OVER45,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYID,PARTYWHITE,PHIL4,PHIL2D,PHIL3X,PRECINCT,QLT20DEMPRI,QRACE3,QRACEAI,QTYPE,RACE,RACE2B,RACEAI,REGION,SEX,SEXBYRACE,SINGLEPAYER20,SIZEPLAC,SIZEPLC3,SPANISHQ,STANUM,SUBURBWHITE,TELEPOLL,TIMEPRIFEWDAYS,TIMEPRIMTH,TIMEST20,TRUMPANG,VOTENOV20,WINORISS20,ZIPCODE
277206240.0,0.895304262638092,Bernie Sanders,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,Latino 45-59,Latino 45-64,Complete,Sanders,,3.0,Needs a complete overhaul,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,Favorable,Unfavorable,Favorable,Favorable,Favorable,Favorable,1.0,4.0,Health care,Yes,No,Change to more liberal policies,45+,18-64,Democrat,Non-black Democrat,Latino Democrat,Democratic men,Democrat,Non-White Democrats,Very liberal,Liberal,Liberal,,Cares about people like me,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,West,Male,Latino men,Support,"Cities 50,000-500,000","Cities over 50,000",English,Colorado,Other,Telephone survey,Earlier than that,In the last month,In February,Angry,Yes,Can beat Donald Trump,81008.0
277206239.0,0.824421942234039,Elizabeth Warren,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,Sanders,,2.0,Needs minor changes,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White women non college graduates,Unfavorable,Unfavorable,Favorable,Favorable,Unfavorable,Favorable,3.0,2.0,Climate change,No,No,Change to more liberal policies,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Somewhat liberal,Liberal,Liberal,,Is a fighter,White,White,State questionnaire,White,White,White,West,Female,White women,Support,Suburbs,Suburbs,English,Colorado,White suburban women,Telephone survey,Earlier than that,Earlier than that,Before that,Angry,Yes,Can beat Donald Trump,80020.0
277206238.0,0.981317520141602,Amy Klobuchar,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Omit,,4.0,Needs minor changes,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,Unfavorable,Unfavorable,Favorable,Favorable,Unfavorable,Favorable,2.0,1.0,Health care,No,No,Return to Barack Obama's policies,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,White Independent,Somewhat liberal,Liberal,Liberal,,Cares about people like me,White,White,State questionnaire,White,White,White,West,Female,White women,Oppose,"Cities 50,000-500,000","Cities over 50,000",English,Colorado,Other,Telephone survey,Earlier than that,In the last month,In February,Angry,Yes,Can beat Donald Trump,80015.0
277206237.0,0.894061923027039,Elizabeth Warren,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Warren,,2.0,Needs minor changes,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,Unfavorable,Unfavorable,Unfavorable,Favorable,Unfavorable,Favorable,3.0,2.0,Climate change,No,No,Return to Barack Obama's policies,45+,65+,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Somewhat liberal,Liberal,Liberal,,Can bring needed change,White,White,State questionnaire,White,White,White,West,Female,White women,Support,Suburbs,Suburbs,English,Colorado,White suburban women,Telephone survey,Omit,Omit,Omit,"Dissatisfied, but not angry",Yes,Can beat Donald Trump,80504.0
277206236.0,0.813043117523193,Amy Klobuchar,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Omit,,2.0,Needs minor changes,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,Favorable,Unfavorable,Favorable,Favorable,Favorable,Favorable,3.0,2.0,Health care,No,No,Change to more liberal policies,45+,65+,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,Somewhat liberal,Liberal,Liberal,,Can unite the country,White,White,State questionnaire,White,White,White,West,Male,White men,Omit,"Cities 50,000-500,000","Cities over 50,000",English,Colorado,Other,Telephone survey,Earlier than that,Earlier than that,Before that,Angry,Yes,Agrees with you on major issues,80525.0
277206235.0,0.793153345584869,Pete Buttigieg,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Complete,Biden,,2.0,Needs minor changes,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,Favorable,Unfavorable,Favorable,Favorable,Unfavorable,Favorable,3.0,2.0,Income inequality,No,No,Return to Barack Obama's policies,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,Somewhat liberal,Liberal,Liberal,,Can unite the country,White,White,State questionnaire,White,White,White,West,Male,White men,Oppose,"Cities 50,000-500,000","Cities over 50,000",English,Colorado,Other,Telephone survey,Earlier than that,In the last month,In February,Angry,Yes,Agrees with you on major issues,80526.0
277206234.0,0.739834189414978,Pete Buttigieg,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,Biden,,5.0,Needs minor changes,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,Favorable,Favorable,Favorable,Favorable,Favorable,Favorable,1.0,4.0,Health care,No,No,Change to more liberal policies,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Very liberal,Liberal,Liberal,,Can bring needed change,White,White,State questionnaire,White,White,White,West,Female,White women,Support,"Cities 50,000-500,000","Cities over 50,000",English,Colorado,Other,Telephone survey,Earlier than that,Earlier than that,Before that,Angry,Yes,Can beat Donald Trump,80915.0
277206233.0,1.60904014110565,Joe Biden,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,Latino 60+,Latino 65+,Complete,Biden,,5.0,Needs a complete overhaul,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,Favorable,Unfavorable,Favorable,Favorable,Unfavorable,Unfavorable,5.0,4.0,Health care,Yes,No,Return to Barack Obama's policies,45+,65+,Democrat,Non-black Democrat,Latino Democrat,Democratic men,Democrat,Non-White Democrats,Somewhat liberal,Liberal,Liberal,,Can unite the country,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,West,Male,Latino men,Support,Rural,Small Cities/Rural,English,Colorado,Other,Telephone survey,Earlier than that,In the last month,In February,Angry,Yes,Can beat Donald Trump,81201.0
277206232.0,0.824421942234039,Elizabeth Warren,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,Sanders,,2.0,Needs minor changes,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,Unfavorable,Unfavorable,Unfavorable,Favorable,Favorable,Favorable,3.0,2.0,Health care,No,No,Change to more liberal policies,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Somewhat liberal,Liberal,Liberal,,Can bring needed change,White,White,State questionnaire,White,White,White,West,Female,White women,Support,Suburbs,Suburbs,English,Colorado,White suburban women,Telephone survey,Earlier than that,In the last month,In February,Angry,Yes,Can beat Donald Trump,80026.0
277206231.0,1.25992119312286,Michael Bloomberg,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Biden,,7.0,Needs minor changes,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,Favorable,Favorable,Favorable,Favorable,Unfavorable,Favorable,4.0,3.0,Climate change,No,No,Change to more liberal policies,45+,65+,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Very liberal,Liberal,Liberal,,Is a fighter,White,White,State questionnaire,White,White,White,West,Female,White women,Support,Suburbs,Suburbs,English,Colorado,White suburban women,Telephone survey,Earlier than that,In the last month,In February,Angry,Yes,Can beat Donald Trump,80227.0
