ID,WEIGHT,IADPRS20,BACKSIDE,CALL,CDNUM,DEMVOTE2016C,EDUC18,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,GEOCODE,IAPARTYID,ISSDEM20CAU,LATINO,PARTY,PARTYGENDER,PHIL4,PHIL2D,PHIL3X,PRECINCT,PREVCAUCDEM,QRACE4,QTYPE,RACE2B,RACEIA,REGION,SANDVOTE20162020,SEX,SEXBYRACE,SINGLEPAYER20,SIZEPLAC,SIZEPLC3,STANUM,SUBURBWHITE,TELEPOLL,TIMEIA20,TIMEPRIFEWDAYS,TIMEPRIYEAR,TWITTER,VERSION,WINORISS20,XAGE,XAGE3,XAGE8,XAGE45,XAGE49,XAGE60,XAGE65
27671.0,0.503799319267273,Joe Biden,Complete,Call 1,1.0,Hillary Clinton,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,1.0,Democrat,Climate change,No,Democrat,Democratic women,Somewhat liberal,Liberal,Liberal,45.0,"Yes, I attended a caucus before",White,State questionnaire,White,White,Midwest,Supported Clinton in 2016,Female,White women,Oppose,"Cities 50,000-500,000","Cities over 50,000", Iowa,Other,Election day exit poll,Before that,Earlier than that,Before January 1st,No,Version 1,Can beat Donald Trump,65+,60+,65 or over,45+,50+,60+,65+
27672.0,0.536779820919037,Pete Buttigieg,Complete,Call 1,1.0,Hillary Clinton,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,1.0,Democrat,Foreign policy,No,Democrat,Democratic men,Moderate,Moderate or Conservative,Moderate,45.0,"Yes, I attended a caucus before",White,State questionnaire,White,White,Midwest,Supported Clinton in 2016,Male,White men,Oppose,"Cities 50,000-500,000","Cities over 50,000", Iowa,Other,Election day exit poll,In January,Earlier than that,Since January 1st,No,Version 1,Can beat Donald Trump,65+,60+,65 or over,45+,50+,60+,65+
27673.0,0.4925417304039,Pete Buttigieg,Complete,Call 1,1.0,Hillary Clinton,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,1.0,Democrat,Health care,No,Democrat,Democratic women,Moderate,Moderate or Conservative,Moderate,45.0,"Yes, I attended a caucus before",White,State questionnaire,White,White,Midwest,Supported Clinton in 2016,Female,White women,Support,"Cities 50,000-500,000","Cities over 50,000", Iowa,Other,Election day exit poll,Before that,Earlier than that,Before January 1st,No,Version 1,Agrees with you on major issues,65+,60+,65 or over,45+,50+,60+,65+
27674.0,0.536779820919037,Pete Buttigieg,Complete,Call 1,1.0,Hillary Clinton,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,1.0,Democrat,Health care,No,Democrat,Democratic men,Somewhat liberal,Liberal,Liberal,45.0,"Yes, I attended a caucus before",White,State questionnaire,White,White,Midwest,Supported Clinton in 2016,Male,White men,Oppose,"Cities 50,000-500,000","Cities over 50,000", Iowa,Other,Election day exit poll,In January,Earlier than that,Since January 1st,No,Version 1,Can beat Donald Trump,65+,60+,65 or over,45+,50+,60+,65+
27675.0,0.4925417304039,Pete Buttigieg,Complete,Call 1,1.0,Hillary Clinton,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White women non college graduates,1.0,Democrat,Health care,No,Democrat,Democratic women,Somewhat liberal,Liberal,Liberal,45.0,"Yes, I attended a caucus before",White,State questionnaire,White,White,Midwest,Supported Clinton in 2016,Female,White women,Oppose,"Cities 50,000-500,000","Cities over 50,000", Iowa,Other,Election day exit poll,Before that,Earlier than that,Before January 1st,No,Version 1,Can beat Donald Trump,65+,60+,65 or over,45+,50+,60+,65+
27676.0,2.06130194664001,Bernie Sanders,Complete,Call 1,3.0,Bernie Sanders,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,3.0,Something else,Health care,No,Independent/Something else,Independent men,Somewhat liberal,Liberal,Liberal,34.0,"Yes, I attended a caucus before",White,State questionnaire,White,White,Midwest,Supported Sanders in 2016 and 2020,Male,White men,Support,Suburbs,Suburbs, Iowa,White suburban men,Election day exit poll,Before that,Earlier than that,Before January 1st,No,Version 1,Agrees with you on major issues,30-44,30-59,30-39,17-44,17-49,30-44,30-39
27677.0,0.695294976234436,Amy Klobuchar,Complete,Call 1,1.0,Neither of these candidates,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,1.0,Democrat,Foreign policy,No,Democrat,Democratic women,Somewhat liberal,Liberal,Liberal,45.0,"No, this is my first caucus",White,State questionnaire,White,White,Midwest,Supported neither of them in 2016,Female,White women,Support,"Cities 50,000-500,000","Cities over 50,000", Iowa,Other,Election day exit poll,Before that,Earlier than that,Before January 1st,Yes,Version 1,Agrees with you on major issues,45-65,30-59,45-49,45+,17-49,45-59,40-49
27678.0,0.720324754714966,Tom Steyer,Complete,Call 1,1.0,Hillary Clinton,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,1.0,Democrat,Foreign policy,No,Democrat,Democratic women,Somewhat liberal,Liberal,Liberal,92.0,"No, this is my first caucus",White,State questionnaire,White,White,Midwest,Supported Clinton in 2016,Female,White women,Oppose,Rural,Small Cities/Rural, Iowa,Other,Election day exit poll,In the last few days,Last few days,Since January 1st,No,Version 1,Can beat Donald Trump,65+,60+,65 or over,45+,50+,60+,65+
27679.0,0.561604976654053,Elizabeth Warren,Complete,Call 1,1.0,Bernie Sanders,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,1.0,Democrat,Income inequality,No,Democrat,Democratic men,Very liberal,Liberal,Liberal,45.0,"No, this is my first caucus",White,State questionnaire,White,White,Midwest,Supported Sanders in 2016 but not in 2020,Male,White men,Support,"Cities 50,000-500,000","Cities over 50,000", Iowa,Other,Election day exit poll,Before that,Earlier than that,Before January 1st,Yes,Version 1,Can beat Donald Trump,17-29,17-29,25-29,17-44,17-49,17-29,25-29
27680.0,0.677579045295715,Bernie Sanders,Complete,Call 1,1.0,Bernie Sanders,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White men non college graduates,1.0,Democrat,Climate change,No,Democrat,Democratic men,Very liberal,Liberal,Liberal,45.0,"Yes, I attended a caucus before",White,State questionnaire,White,White,Midwest,Supported Sanders in 2016 and 2020,Male,White men,Support,"Cities 50,000-500,000","Cities over 50,000", Iowa,Other,Election day exit poll,Before that,Earlier than that,Before January 1st,Yes,Version 1,Agrees with you on major issues,17-29,17-29,17-24,17-44,17-49,17-29,17-24
