ID,WEIGHT,ILDPRS20,BACKSIDE,BEATTRUMPMAR17,CALL,CDNUM,CORONAVIRUSMAR17,CORONAVIRUSMAR17B,ECONCHANGE20,EDUC18,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,FAVBIDEN2,FAVDEM20,FAVSANDERS,GEOCODE,ISSDEM20B,LATINO,LGBT,MAJCRISISMAR17,MARRIED,NECWORR2,NECWORRY,OBAMAPLCY20,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYID,PARTYWHITE,PHIL4,PHIL2D,PHIL3X,PRECINCT,PREVPRIDEM,QLT20DEMPRIB,QRACE3,QRACEAI,QTYPE,RACE,RACE2B,RACEAI,REGION,SATBIDEN20,SATBIDEN20B,SATSANDERS20,SATSANDERS20B,SEX,SEXBYRACE,SEXWED,SINGLEPAYER20,SIZEPLAC,SIZEPLC3,SPANISHQ,STANUM,SUBURBWHITE,TELEPOLL,TIMEJT20,TIMEPRIFEWDAYS,TIMEPRIMTH,TRUMPANG,UNFAIRBIDEN20,UNFAIRDEM20,UNFAIRSANDERS20,VOTENOV20,WINORISS20,WORK,WRKWOMEN,WRKWOMEN4,XAGE,XAGE3,XAGE8,XAGE45,XAGE49,XAGE60,XAGE65,ZIPCODE
277279760.0,1.74070858955383,Joe Biden,Complete,Joe Biden,,14.0,Very concerned,Concerned,Needs minor changes,Never attended college,No college degree,High school graduate or less,Non white no college degree,Non-whites,Favorable,Only Biden,Unfavorable,3.0,Income inequality,No,No,Joe Biden,Yes,Worried,Somewhat worried,Return to Barack Obama's policies,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,Conservative,Moderate or Conservative,Conservative,,Yes,Has the right temperament,Black,Black,State questionnaire,Black,Non-white,Black,Midwest,"Satisfied, but not enthusiastic","Enthusiastic or Satisfied, but not enthusiastic","Satisfied, but not enthusiastic","Enthusiastic or Satisfied, but not enthusiastic",Female,Black women,Married women,Oppose,Suburbs,Suburbs,English, Illinois,Other,Telephone survey,Before that,Earlier than that,Earlier than that,"Dissatisfied, but not angry",No,Only Sanders did,Yes,Yes,Agrees with you on major issues,Yes,Working women,Working women,45-65,30-59,45-49,45+,17-49,45-59,40-49,60506.0
277279759.0,1.37511873245239,Bernie Sanders,Complete,Bernie Sanders,,2.0,Somewhat concerned,Concerned,Needs a complete overhaul,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White men non college graduates,Unfavorable,Only Sanders,Favorable,2.0,Climate change,No,Yes,Bernie Sanders,No,Worried,Very worried,Change to more liberal policies,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,White Independent,Very liberal,Liberal,Liberal,,No,Can bring needed change,White,White,State questionnaire,White,White,White,Midwest,Angry,"Dissatisfied, but not angry or Angry",Enthusiastic,"Enthusiastic or Satisfied, but not enthusiastic",Male,White men,Non married men,Support,Suburbs,Suburbs,English, Illinois,White suburban men,Telephone survey,Before that,Earlier than that,Earlier than that,Angry,Yes,Only Biden did,No,No,Agrees with you on major issues,No,All others,Non-working men,17-29,17-29,17-24,17-44,17-49,17-29,17-24,60438.0
277279758.0,0.893102526664734,Joe Biden,Complete,Joe Biden,,14.0,Very concerned,Concerned,Needs minor changes,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,Favorable,Both,Favorable,3.0,Health care,No,No,Joe Biden,Yes,Worried,Very worried,Change to more conservative policies,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,White Independent,Conservative,Moderate or Conservative,Conservative,,Yes,Can unite the country,White,White,State questionnaire,White,White,White,Midwest,Enthusiastic,"Enthusiastic or Satisfied, but not enthusiastic","Satisfied, but not enthusiastic","Enthusiastic or Satisfied, but not enthusiastic",Female,White women,Married women,Oppose,Suburbs,Suburbs,English, Illinois,White suburban women,Telephone survey,Before that,Earlier than that,Earlier than that,Angry,No,Neither of them,No,Yes,Can beat Donald Trump,Yes,Working women,Working women,45-65,60+,60-64,45+,50+,60+,50-64,60510.0
277279757.0,0.679181277751923,Joe Biden,Complete,Joe Biden,,13.0,Very concerned,Concerned,Needs minor changes,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White men non college graduates,Favorable,Only Biden,Unfavorable,5.0,Health care,No,No,Joe Biden,Yes,Worried,Very worried,Return to Barack Obama's policies,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,Moderate,Moderate or Conservative,Moderate,,Yes,Can unite the country,White,White,State questionnaire,White,White,White,Midwest,"Satisfied, but not enthusiastic","Enthusiastic or Satisfied, but not enthusiastic","Satisfied, but not enthusiastic","Enthusiastic or Satisfied, but not enthusiastic",Male,White men,Married men,Support,Rural,Small Cities/Rural,English, Illinois,Other,Telephone survey,Before that,Earlier than that,Earlier than that,Angry,No,Only Sanders did,Yes,Yes,Can beat Donald Trump,Yes,All others,Working men,45-65,60+,60-64,45+,50+,60+,50-64,62510.0
277279756.0,0.679181277751923,Joe Biden,Complete,Joe Biden,,18.0,Somewhat concerned,Concerned,Needs minor changes,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White men non college graduates,Favorable,Only Biden,Omit,5.0,Health care,No,No,Joe Biden,Yes,Worried,Very worried,Return to Barack Obama's policies,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,Moderate,Moderate or Conservative,Moderate,,Yes,Can unite the country,White,White,State questionnaire,White,White,White,Midwest,Enthusiastic,"Enthusiastic or Satisfied, but not enthusiastic","Satisfied, but not enthusiastic","Enthusiastic or Satisfied, but not enthusiastic",Male,White men,Married men,Support,Rural,Small Cities/Rural,English, Illinois,Other,Telephone survey,Earlier this month,Earlier than that,In the last month,"Dissatisfied, but not angry",No,Neither of them,No,Yes,Can beat Donald Trump,Yes,All others,Working men,45-65,30-59,50-59,45+,50+,45-59,50-64,62301.0
277279755.0,0.755615472793579,Joe Biden,Complete,Joe Biden,,10.0,Very concerned,Concerned,Needs minor changes,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,Favorable,Both,Favorable,2.0,Climate change,No,No,Joe Biden,Yes,Not worried,Not too worried,Return to Barack Obama's policies,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,Very liberal,Liberal,Liberal,,Yes,Can unite the country,White,White,State questionnaire,White,White,White,Midwest,"Satisfied, but not enthusiastic","Enthusiastic or Satisfied, but not enthusiastic","Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Male,White men,Married men,Omit,Suburbs,Suburbs,English, Illinois,White suburban men,Telephone survey,Earlier this month,Earlier than that,In the last month,Angry,No,Neither of them,No,Yes,Can beat Donald Trump,Yes,All others,Working men,65+,60+,65 or over,45+,50+,60+,65+,60025.0
277279754.0,0.623542070388794,Joe Biden,Complete,Joe Biden,,14.0,Somewhat concerned,Concerned,Needs minor changes,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White women non college graduates,Favorable,Only Biden,Unfavorable,4.0,Climate change,No,No,Joe Biden,Yes,Worried,Very worried,Return to Barack Obama's policies,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Moderate,Moderate or Conservative,Moderate,,Yes,Can unite the country,White,White,State questionnaire,White,White,White,Midwest,"Satisfied, but not enthusiastic","Enthusiastic or Satisfied, but not enthusiastic","Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Female,White women,Married women,Oppose,Suburbs,Suburbs,English, Illinois,White suburban women,Telephone survey,Earlier this month,Earlier than that,In the last month,Angry,No,Only Sanders did,Yes,Yes,Can beat Donald Trump,No,All others,Non-working women,65+,60+,65 or over,45+,50+,60+,65+,60178.0
277279753.0,2.6282947063446,Bernie Sanders,Complete,Bernie Sanders,,18.0,Somewhat concerned,Concerned,Needs minor changes,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,Unfavorable,Only Sanders,Favorable,5.0,Climate change,Yes,No,Bernie Sanders,No,Not worried,Not too worried,Change to more liberal policies,Independent/Something else,Non-black non-Democrat,Latino Independent,Independent men,Something else,All others,Moderate,Moderate or Conservative,Moderate,,Yes,Can unite the country,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,Midwest,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry","Satisfied, but not enthusiastic","Enthusiastic or Satisfied, but not enthusiastic",Male,Latino men,Non married men,Support,Suburbs,Suburbs,English, Illinois,Other,Telephone survey,Earlier this month,Earlier than that,In the last month,"Dissatisfied, but not angry",Omit,Omit,Omit,Yes,Agrees with you on major issues,No,All others,Non-working men,17-29,17-29,17-24,17-44,17-49,17-29,17-24,61761.0
277279752.0,1.08475816249847,Bernie Sanders,Complete,Omit,,3.0,Somewhat concerned,Concerned,Needs a complete overhaul,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,Favorable,Both,Favorable,2.0,Health care,No,Yes,Bernie Sanders,Yes,Worried,Somewhat worried,Change to more liberal policies,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Very liberal,Liberal,Liberal,,Yes,Cares about people like me,White,White,State questionnaire,White,White,White,Midwest,"Satisfied, but not enthusiastic","Enthusiastic or Satisfied, but not enthusiastic",Enthusiastic,"Enthusiastic or Satisfied, but not enthusiastic",Female,White women,Married women,Support,Suburbs,Suburbs,English, Illinois,White suburban women,Telephone survey,Before that,Earlier than that,Earlier than that,Angry,Omit,Omit,Omit,Yes,Agrees with you on major issues,Yes,Working women,Working women,30-44,30-59,30-39,17-44,17-49,30-44,30-39,60477.0
277279751.0,0.829732358455658,Joe Biden,Complete,Joe Biden,,2.0,Somewhat concerned,Concerned,Needs a complete overhaul,Never attended college,No college degree,High school graduate or less,White no college degree,White women non college graduates,Favorable,Both,Favorable,4.0,Income inequality,No,No,Joe Biden,Yes,Worried,Very worried,Change to more liberal policies,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Somewhat liberal,Liberal,Liberal,,Yes,Can bring needed change,White,White,State questionnaire,White,White,White,Midwest,"Satisfied, but not enthusiastic","Enthusiastic or Satisfied, but not enthusiastic","Satisfied, but not enthusiastic","Enthusiastic or Satisfied, but not enthusiastic",Female,White women,Married women,Omit,Suburbs,Suburbs,English, Illinois,White suburban women,Telephone survey,Earlier this month,Earlier than that,In the last month,"Dissatisfied, but not angry",Yes,Both of them,Yes,No,Can beat Donald Trump,Yes,Working women,Working women,45-65,30-59,50-59,45+,50+,45-59,50-64,60915.0
