ID,WEIGHT,MODPRS20,AGE,AGE3,AGE8,AGE45,AGE49,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,ATTEND20,ATTEND20B,BACKSIDE,BEATTRUMPJTB,CALL,CDNUM,ECONCHANGE20,EDUC18,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,GEOCODE,GETAHEAD,INC100K,INC30K,INC50K,INCOME3,INCOME20,INCWHITE,ISSDEM20B,LATINO,LGBT,MAJCRISISJTB,MARRIED,OVER45,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYID,PARTYWHITE,PHIL4,PHIL2D,PHIL3X,PRECINCT,PREVPRIDEM,QLT20DEMPRI,QRACE3,QRACEAI,QTYPE,RACE,RACE2B,RACEAI,RACERELDEM20JTB,REGION,SATBIDEN20,SATBIDEN20B,SATSANDERS20,SATSANDERS20B,SATWARREN20,SATWARREN20B,SEX,SEXBYRACE,SEXWED,SINGLEPAYER20,SIZEPLAC,SIZEPLC3,STANUM,SUBURBWHITE,TELEPOLL,TIMEJT20,TIMEPRIFEWDAYS,TIMEPRIMTH,TRUMPANG,UNIONHH12,VERSION,VOTENOV20,WHNCLINC,WINORISS20,ZIPCODE
277228085.0,1.27389538288116,Joe Biden,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Never,Never,Complete,,Call 1,4.0,,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White women non college graduates,5.0,Falling behind financially,,,,,,,Omit,No,,Biden,,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Moderate,Moderate or Conservative,Moderate,94.0,Yes,Can unite the country,White,White,State questionnaire,White,White,White,Biden,Midwest,Enthusiastic,"Enthusiastic or Satisfied, but not enthusiastic",Angry,"Dissastisfied, but not angry or Angry","Satisfied, but not enthusiastic","Enthusiastic or Satisfied, but not enthusiastic",Female,White women,,,Rural,Small Cities/Rural,Missouri,Other,Election day exit poll,,,,,,Version 1,,,Can beat Donald Trump,65584.0
277228095.0,0.613640248775482,Bernie Sanders,45-65,30-59,50-59,45+,50+,45-59,50-64,Black 45-59,Black 45-59,Black 45-64,,,Complete,Biden,Call 1,4.0,Needs a complete overhaul,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,Non white college degree,Non-whites,5.0,,"Under $100,000","Under $30,000","Under $50,000","Under $50,000","Under $30,000","Under $50,000 and non white",Income inequality,No,No,,Yes,45+,18-64,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,Somewhat liberal,Liberal,Liberal,94.0,,,Black,Black,State questionnaire,Black,Non-white,Black,,Midwest,,,,,,,Female,Black women,Married women,Support,Rural,Small Cities/Rural,Missouri,Other,Election day exit poll,Before that,Earlier than that,Earlier than that,Omit,No,Version 2,Yes,No,Can beat Donald Trump,65584.0
277228096.0,1.32749664783478,Bernie Sanders,18-29,18-29,18-24,18-44,18-49,18-29,18-24,Non-Black 18-29,White 18-29,White 18-29,,,Complete,Sanders,Call 1,6.0,Needs a complete overhaul,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,4.0,,"$100,000 or more","$30,000 or more","$50,000 or more","$100,000",$200.000 or more,"Over $50,000 and white",Climate change,No,Yes,,No,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Very liberal,Liberal,Liberal,149.0,,,White,White,State questionnaire,White,White,White,,Midwest,,,,,,,Female,White women,Non married women,Support,Rural,Small Cities/Rural,Missouri,Other,Election day exit poll,Before that,Earlier than that,Earlier than that,Angry,No,Version 2,Yes,No,Agrees with you on major issues,63555.0
277228105.0,2.28888916969299,Bernie Sanders,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,Occasionally,Once a week or more or Occasionally,Complete,,Call 1,6.0,,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,4.0,Holding steady financially,,,,,,,Income inequality,No,,Biden,,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Something else,White Independent,Somewhat liberal,Liberal,Liberal,149.0,Yes,Can bring needed change,White,White,State questionnaire,White,White,White,Warren,Midwest,"Satisfied, but not enthusiastic","Enthusiastic or Satisfied, but not enthusiastic",Enthusiastic,"Enthusiastic or Satisfied, but not enthusiastic",Enthusiastic,"Enthusiastic or Satisfied, but not enthusiastic",Female,White women,,,Rural,Small Cities/Rural,Missouri,Other,Election day exit poll,,,,,,Version 1,,,Can beat Donald Trump,63555.0
277228110.0,2.18679904937744,Michael Bloomberg,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Once a week or more,Once a week or more or Occasionally,Complete,,Call 1,4.0,,Never attended college,No college degree,High school graduate or less,White no college degree,White men non college graduates,5.0,Falling behind financially,,,,,,,Health care,No,,Biden,,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Something else,White Independent,Very liberal,Liberal,Liberal,94.0,Yes,Cares about people like me,White,White,State questionnaire,White,White,White,Biden,Midwest,Angry,"Dissastisfied, but not angry or Angry",Omit,Omit,Angry,"Dissastisfied, but not angry or Angry",Male,White men,,,Rural,Small Cities/Rural,Missouri,Other,Election day exit poll,,,,,,Version 1,,,Agrees with you on major issues,65584.0
277228113.0,3.37402653694153,Joe Biden,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Never,Never,Complete,,Call 1,6.0,,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White women non college graduates,4.0,Getting ahead financially,,,,,,,Health care,No,,Biden,,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Very liberal,Liberal,Liberal,149.0,Yes,Can unite the country,White,White,State questionnaire,White,White,White,Biden,Midwest,Enthusiastic,"Enthusiastic or Satisfied, but not enthusiastic",Omit,Omit,Omit,Omit,Female,White women,,,Rural,Small Cities/Rural,Missouri,Other,Election day exit poll,,,,,,Version 1,,,Can beat Donald Trump,63555.0
277228114.0,3.37402653694153,Joe Biden,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Never,Never,Complete,,Call 1,6.0,,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White women non college graduates,4.0,Getting ahead financially,,,,,,,Health care,No,,Biden,,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Very liberal,Liberal,Liberal,149.0,Yes,Can unite the country,White,White,State questionnaire,White,White,White,Biden,Midwest,Enthusiastic,"Enthusiastic or Satisfied, but not enthusiastic",Omit,Omit,Omit,Omit,Female,White women,,,Rural,Small Cities/Rural,Missouri,Other,Election day exit poll,,,,,,Version 1,,,Can beat Donald Trump,63555.0
277228115.0,0.848173379898071,Joe Biden,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Never,Never,Complete,,Call 1,7.0,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,5.0,Holding steady financially,,,,,,,Health care,No,,Warren,,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,White Independent,Somewhat liberal,Liberal,Liberal,82.0,Yes,Can bring needed change,White,White,State questionnaire,White,White,White,Warren,Midwest,Enthusiastic,"Enthusiastic or Satisfied, but not enthusiastic",Enthusiastic,"Enthusiastic or Satisfied, but not enthusiastic",Enthusiastic,"Enthusiastic or Satisfied, but not enthusiastic",Male,White men,,,Suburbs,Suburbs,Missouri,White suburban men,Election day exit poll,,,,,,Version 1,,,Can beat Donald Trump,64856.0
277228119.0,1.12860906124115,Bernie Sanders,18-29,18-29,25-29,18-44,18-49,18-29,25-29,Non-Black 18-29,White 18-29,White 18-29,Never,Never,Complete,,Call 1,6.0,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,4.0,Holding steady financially,,,,,,,Health care,No,,Sanders,,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Something else,White Independent,Very liberal,Liberal,Liberal,10.0,Yes,Can bring needed change,White,White,State questionnaire,White,White,White,Sanders,Midwest,"Dissatisfied, but not angry","Dissastisfied, but not angry or Angry",Enthusiastic,"Enthusiastic or Satisfied, but not enthusiastic","Satisfied, but not enthusiastic","Enthusiastic or Satisfied, but not enthusiastic",Male,White men,,,"Cities 50,000-500,000","Cities over 50,000",Missouri,Other,Election day exit poll,,,,,,Version 1,,,Agrees with you on major issues,64505.0
277228121.0,0.715641677379608,Joe Biden,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Non-Black 30-44,All others,All others,,,Complete,Biden,Call 1,4.0,Omit,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,5.0,,"Under $100,000","$30,000 or more","$50,000 or more","$50,000 to $99,999","$50,000-$99,999","Over $50,000 and non white",Omit,No,Yes,,Yes,18-44,18-64,Democrat,Non-black Democrat,All Other,Democratic women,Democrat,Non-White Democrats,Very liberal,Liberal,Liberal,94.0,,,Other,Asian,State questionnaire,Asian,Non-white,Asian,,Midwest,,,,,,,Female,All other races,Married women,Oppose,Rural,Small Cities/Rural,Missouri,Other,Election day exit poll,Before that,Earlier than that,Earlier than that,"Satisfied, but not enthusiastic",No,Version 2,No,No,Agrees with you on major issues,65584.0
