ID,WEIGHT,MSDPRS20,ATTEND20,ATTEND20B,BACKSIDE,CALL,CDNUM,EDUC18,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,GEOCODE,ISSDEM20B,LATINO,LGBT,MARRIED,OBAMAPLCY20,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYID,PARTYWHITE,PHIL4,PHIL2D,PHIL3X,PRECINCT,PREVPRIDEM,QLT20DEMPRI,QRACE3,QRACEAI,QTYPE,RACE,RACE2B,RACEAI,RACERELDEM20JTB,REGION,SEX,SEXBYRACE,SEXWED,SINGLEPAYER20,SIZEPLAC,SIZEPLC3,STANUM,SUBURBWHITE,TELEPOLL,TIMEJT20,TIMEPRIFEWDAYS,TIMEPRIMTH,TRUMPANG,VERSION,WINORISS20,XAGE,XAGE3,XAGE8,XAGE45,XAGE49,XAGE60,XAGE65,ZIPCODE
277229164.0,2.46268653869629,Other,Once a week or more,Once a week or more or Occasionally,Complete,Call 1,2.0,Never attended college,No college degree,High school graduate or less,Non white no college degree,Non-whites,1.0,Income inequality,No,No,No,Return to Barack Obama's policies,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,Very liberal,Liberal,Liberal,4.0,Yes,Can bring needed change,Black,Black,State questionnaire,Black,Non-white,Black,Biden,South,Female,Black women,Non married women,Oppose,Rural,Small Cities/Rural, Mississippi,Other,Election day exit poll,Before that,Earlier than that,Earlier than that,Angry,Version 1,Can beat Donald Trump,65+,60+,65 or over,45+,50+,60+,65+,38732.0
277229165.0,1.00541734695435,Joe Biden,Once a week or more,Once a week or more or Occasionally,Complete,Call 1,1.0,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,Non white college degree,Non-whites,3.0,Income inequality,No,No,Yes,Change to more conservative policies,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,Moderate,Moderate or Conservative,Moderate,18.0,Yes,Cares about people like me,Black,Black,State questionnaire,Black,Non-white,Black,Biden,South,Female,Black women,Married women,Support,Suburbs,Suburbs, Mississippi,Other,Election day exit poll,Before that,Earlier than that,Earlier than that,"Dissatisfied, but not angry",Version 1,Can beat Donald Trump,45-65,60+,60-64,45+,50+,60+,50-64,38654.0
277229166.0,1.96455991268158,Bernie Sanders,Occasionally,Once a week or more or Occasionally,Complete,Call 1,4.0,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White women non college graduates,2.0,Race relations,No,Yes,No,Change to more liberal policies,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,White Independent,Somewhat liberal,Liberal,Liberal,48.0,Yes,Can unite the country,White,White,State questionnaire,White,White,White,Sanders,South,Female,White women,Non married women,Support,"Cities 10,000-50,000",Small Cities/Rural, Mississippi,Other,Election day exit poll,Before that,Earlier than that,Earlier than that,"Dissatisfied, but not angry",Version 1,Agrees with you on major issues,30-44,30-59,40-44,17-44,17-49,30-44,40-49,39567.0
277229167.0,0.43718808889389,Joe Biden,Once a week or more,Once a week or more or Occasionally,Complete,Call 1,3.0,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,2.0,Race relations,No,No,Yes,Return to Barack Obama's policies,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,Somewhat liberal,Liberal,Liberal,98.0,Yes,Can bring needed change,Black,Black,State questionnaire,Black,Non-white,Black,Biden,South,Female,Black women,Married women,Support,Suburbs,Suburbs, Mississippi,Other,Election day exit poll,Earlier this month,Earlier than that,In the last month,Angry,Version 1,Agrees with you on major issues,45-65,30-59,45-49,45+,17-49,45-59,40-49,39042.0
277229168.0,2.62860727310181,Joe Biden,Once a week or more,Once a week or more or Occasionally,Complete,Call 1,1.0,Never attended college,No college degree,High school graduate or less,Non white no college degree,Non-whites,3.0,Health care,No,No,Yes,Return to Barack Obama's policies,Democrat,Black Democrat,Black Democrat,Democratic men,Democrat,Non-White Democrats,Moderate,Moderate or Conservative,Moderate,18.0,Yes,Can unite the country,Black,Black,State questionnaire,Black,Non-white,Black,Biden,South,Male,Black men,Married men,Support,Suburbs,Suburbs, Mississippi,Other,Election day exit poll,Before that,Earlier than that,Earlier than that,Omit,Version 1,Agrees with you on major issues,65+,60+,65 or over,45+,50+,60+,65+,38654.0
277229169.0,1.10191643238068,Joe Biden,Once a week or more,Once a week or more or Occasionally,Complete,Call 1,2.0,Never attended college,No college degree,High school graduate or less,Non white no college degree,Non-whites,1.0,Income inequality,No,No,No,Return to Barack Obama's policies,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,Very liberal,Liberal,Liberal,4.0,Yes,Can unite the country,Black,Black,State questionnaire,Black,Non-white,Black,Biden,South,Female,Black women,Non married women,Support,Rural,Small Cities/Rural, Mississippi,Other,Election day exit poll,Before that,Earlier than that,Earlier than that,Angry,Version 1,Agrees with you on major issues,30-44,30-59,30-39,17-44,17-49,30-44,30-39,38732.0
277229170.0,2.74144458770752,Joe Biden,Never,Never,Complete,Call 1,4.0,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,2.0,Health care,No,No,No,Return to Barack Obama's policies,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,White Independent,Moderate,Moderate or Conservative,Moderate,48.0,Yes,Can unite the country,White,White,State questionnaire,White,White,White,Biden,South,Male,White men,Non married men,Support,"Cities 10,000-50,000",Small Cities/Rural, Mississippi,Other,Election day exit poll,In the last few days,Last few days,In the last month,Angry,Version 1,Can beat Donald Trump,45-65,30-59,50-59,45+,50+,45-59,50-64,39567.0
277229171.0,1.05303418636322,Joe Biden,,,Not complete,Call 1,3.0,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,2.0,,No,,,,,,,,,,,,,98.0,Yes,,White,White,State questionnaire,White,White,White,,South,Male,White men,,Oppose,Suburbs,Suburbs, Mississippi,White suburban men,Election day exit poll,Before that,Earlier than that,Earlier than that,,Version 1,,65+,60+,65 or over,45+,50+,60+,65+,39042.0
277229172.0,0.760250866413116,Joe Biden,Once a week or more,Once a week or more or Occasionally,Complete,Call 1,1.0,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,Non white college degree,Non-whites,3.0,Race relations,No,No,Yes,Change to more liberal policies,Democrat,Black Democrat,Black Democrat,Democratic men,Democrat,Non-White Democrats,Moderate,Moderate or Conservative,Moderate,18.0,Yes,Can unite the country,Black,Black,State questionnaire,Black,Non-white,Black,Biden,South,Male,Black men,Married men,Support,Suburbs,Suburbs, Mississippi,Other,Election day exit poll,Earlier this month,Earlier than that,In the last month,"Dissatisfied, but not angry",Version 1,Can beat Donald Trump,45-65,30-59,45-49,45+,17-49,45-59,40-49,38654.0
277229173.0,3.80262351036072,Joe Biden,Once a week or more,Once a week or more or Occasionally,Complete,Call 1,4.0,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,2.0,Health care,No,No,Yes,Change to more conservative policies,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,White Independent,Moderate,Moderate or Conservative,Moderate,48.0,Yes,Can unite the country,White,White,State questionnaire,White,White,White,Biden,South,Male,White men,Married men,Oppose,"Cities 10,000-50,000",Small Cities/Rural, Mississippi,Other,Election day exit poll,In February,Earlier than that,Earlier than that,Angry,Version 1,Can beat Donald Trump,65+,60+,65 or over,45+,50+,60+,65+,39567.0
