ID,WEIGHT,GOVVA21,LGOVVA21,AGVA21,ABORT2,ABORTION,AGE,AGE3,AGE10,AGE45,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,BIDENPRES2,BIDENPRES4,BRNAGAIN,CALL,CDNUM,CHILD12,CONMONUMENTS,COUNT2,COUNTACC,DEMLIBERAL,EARLYVELECTION,EDUC18,EDUCATIONVA21,EDUCATIONVA21B,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,FAVGOVVA21,FAVMCAULIFFE,FAVTRUMP,FAVYOUNGKIN,FORBIDENG,FORCANDGOV,GEOCODE,GUNOWNER12,HANDLECOVIDMCAULIFFE,HANDLECOVIDVA21,HANDLECOVIDYOUNGKIN,HANDLECRIMEMCAULIFFE,HANDLECRIMEVA21,HANDLECRIMEYOUNGKIN,HANDLEECONMCAULIFFE,HANDLEECONVA21,HANDLEECONYOUNGKIN,ISSUE21VA,LATINO,PARENTS,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYID,PARTYWHITE,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,QRACE3,QRACEAI,QTYPE,RACE,RACE2B,RACEAI,REGION,REPCONSERVATIVE,SEX,SEXBYRACE,SIZEPLAC,SIZEPLC3,STANUM,STECVA,STECVA2,SUBURBWHITE,TELEPOLL,VAXMANDATEVA21,VAXSTATUS21,VERSION,VOTE2020,VOTEMETHOD,WHTEVANG,ZIPCODE
277300336.0,0.484057039022446,Terry McAuliffe,Hala Ayala,Mark Herring,,,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,Strongly or somewhat approve,Somewhat approve,,,4.0,,Omit,,,About right,Absentee or early in-person,Bachelor's degree (BA or BS),,,College graduate,More than high school graduate,White college degree,White men college graduates,Only McAuliffe,Favorable,Unfavorable,Unfavorable,Joe Biden was not a factor,,3.0,No,,,,,,,,,,Omit,No,,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,Moderate,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,White,White,State questionnaire,White,White,White,South,Too conservative,Male,White men,Suburbs,Suburbs, Virginia,,,White suburban men,Telephone survey,,Yes,Version 1,Joe Biden,Early in-person,,23325.0
277300337.0,0.460221320390701,Other,Other,,,,18-29,18-29,25-29,18-44,18-29,25-29,Non-Black 18-29,Latino 18-29,Latino 18-29,Complete,Strongly or somewhat disapprove,Somewhat disapprove,,,2.0,,Removed,,,Not liberal enough,Absentee or early in-person,Never attended college,,,No college degree,High school graduate or less,Non white no college degree,Non-whites,Only McAuliffe,Favorable,Unfavorable,Unfavorable,Joe Biden was not a factor,,3.0,No,,,,,,,,,,The economy/jobs,Yes,,Independent/Something else,Non-black non-Democrat,Latino Independent,Independent men,Independent,All others,Moderate,,Moderate/Liberal Republicans,Moderate Independents,Other,Black,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,South,About right,Male,Latino men,"Cities 50,000-500,000","Cities over 50,000", Virginia,,,Other,Telephone survey,,Yes,Version 1,Joe Biden,Early in-person,,23456.0
277300338.0,0.383092045783997,Terry McAuliffe,Hala Ayala,Mark Herring,,,65+,60+,65-74,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Strongly or somewhat approve,Somewhat approve,,,10.0,,Removed,,,About right,Absentee or early in-person,Bachelor's degree (BA or BS),,,College graduate,More than high school graduate,White college degree,White men college graduates,Only McAuliffe,Favorable,Unfavorable,Unfavorable,To express support for Joe Biden,,1.0,No,,,,,,,,,,The coronavirus pandemic,No,,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,Moderate,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,White,White,State questionnaire,White,White,White,South,Too conservative,Male,White men,Suburbs,Suburbs, Virginia,,,White suburban men,Telephone survey,,Yes,Version 1,Joe Biden,Early in-person,,20175.0
277300339.0,0.676891565322876,Glenn Youngkin,Winsome Sears,Jason Miyares,,,45-65,60+,60-64,45+,60+,50-64,Non-Black 60+,All others,All others,Complete,Strongly or somewhat disapprove,Somewhat disapprove,,,10.0,,Left in place,,,About right,Absentee or early in-person,Bachelor's degree (BA or BS),,,College graduate,More than high school graduate,Non white college degree,Non-whites,Only Youngkin,Unfavorable,Favorable,Favorable,Joe Biden was not a factor,,1.0,No,,,,,,,,,,The economy/jobs,No,,Independent/Something else,Non-black non-Democrat,All Other,Independent women,Independent,All others,Conservative,,Moderate/Liberal Republicans,Conservative Independents,Other,Asian,State questionnaire,Asian,Non-white,Asian,South,About right,Female,All other races,Suburbs,Suburbs, Virginia,,,Other,Telephone survey,,Yes,Version 1,Donald Trump,Early in-person,,20109.0
277300340.0,0.346078842878342,Terry McAuliffe,Hala Ayala,Mark Herring,,,30-44,30-59,35-39,18-44,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete,Strongly or somewhat approve,Somewhat approve,,,5.0,,Removed,,,Not liberal enough,Absentee or early in-person,Bachelor's degree (BA or BS),,,College graduate,More than high school graduate,White college degree,White women college graduates,Only McAuliffe,Favorable,Unfavorable,Unfavorable,Joe Biden was not a factor,,2.0,Yes,,,,,,,,,,The coronavirus pandemic,No,,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,White Independent,Liberal,,Moderate/Liberal Republicans,Liberal Independents,White,White,State questionnaire,White,White,White,South,Too conservative,Female,White women,Suburbs,Suburbs, Virginia,,,White suburban women,Telephone survey,,Yes,Version 1,Joe Biden,Early in-person,,20115.0
277300341.0,0.861264407634735,Glenn Youngkin,Hala Ayala,Jason Miyares,,,65+,60+,75 or older,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Strongly or somewhat disapprove,Somewhat disapprove,,,10.0,,Left in place,,,Too liberal,Absentee or early in-person,Bachelor's degree (BA or BS),,,College graduate,More than high school graduate,White college degree,White women college graduates,Only Youngkin,Unfavorable,Favorable,Favorable,Omit,,1.0,No,,,,,,,,,,The economy/jobs,No,,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,White Republican,Conservative,,Independent/Something else,Conservative Republicans,White,White,State questionnaire,White,White,White,South,About right,Female,White women,Suburbs,Suburbs, Virginia,,,White suburban women,Telephone survey,,Yes,Version 1,Donald Trump,Early in-person,,20109.0
277300342.0,0.728258371353149,Glenn Youngkin,Winsome Sears,Jason Miyares,,,45-65,30-59,45-49,45+,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Complete,Strongly or somewhat disapprove,Strongly disapprove,,,5.0,,Left in place,,,Too liberal,Absentee or early in-person,Bachelor's degree (BA or BS),,,College graduate,More than high school graduate,White college degree,White women college graduates,Only Youngkin,Unfavorable,Unfavorable,Favorable,Joe Biden was not a factor,,4.0,No,,,,,,,,,,Education,No,,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,White Republican,Conservative,,Independent/Something else,Conservative Republicans,White,White,State questionnaire,White,White,White,South,About right,Female,White women,Suburbs,Suburbs, Virginia,,,White suburban women,Telephone survey,,Yes,Version 1,Other,Early in-person,,24593.0
277300343.0,0.728258371353149,Glenn Youngkin,Winsome Sears,Jason Miyares,,,30-44,30-59,30-34,18-44,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete,Strongly or somewhat disapprove,Strongly disapprove,,,5.0,,Omit,,,Omit,Absentee or early in-person,Bachelor's degree (BA or BS),,,College graduate,More than high school graduate,White college degree,White men college graduates,Only Youngkin,Unfavorable,Omit,Favorable,Joe Biden was not a factor,,4.0,,,,,,,,,,,Taxes,No,,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Something else,White Independent,,,,,White,White,State questionnaire,White,White,White,South,Omit,Male,White men,Suburbs,Suburbs, Virginia,,,White suburban men,Telephone survey,,,Version 1,Omit,Early in-person,,24522.0
277300344.0,0.499524891376495,Glenn Youngkin,Winsome Sears,Jason Miyares,,,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,Strongly or somewhat disapprove,Strongly disapprove,,,5.0,,Left in place,,,Too liberal,Absentee or early in-person,Never attended college,,,No college degree,High school graduate or less,White no college degree,White women non college graduates,Only Youngkin,Unfavorable,Favorable,Favorable,To express opposition to Joe Biden,,2.0,,,,,,,,,,,Abortion,No,,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,White Republican,Conservative,,Independent/Something else,Conservative Republicans,White,White,State questionnaire,White,White,White,South,Not conservative enough,Female,White women,Suburbs,Suburbs, Virginia,,,White suburban women,Telephone survey,,No,Version 1,Donald Trump,Early in-person,,20187.0
277300345.0,0.518025815486908,Glenn Youngkin,Winsome Sears,Jason Miyares,,,45-65,60+,60-64,45+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,Strongly or somewhat disapprove,Strongly disapprove,,,7.0,,Left in place,,,Too liberal,Absentee or early in-person,Attended college but received no degree,,,No college degree,More than high school graduate,White no college degree,White women non college graduates,Only Youngkin,Unfavorable,Favorable,Favorable,To express opposition to Joe Biden,,2.0,Yes,,,,,,,,,,Abortion,No,,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Something else,White Independent,Conservative,,Moderate/Liberal Republicans,Conservative Independents,White,White,State questionnaire,White,White,White,South,Not conservative enough,Female,White women,Suburbs,Suburbs, Virginia,,,White suburban women,Telephone survey,,No,Version 1,Donald Trump,Early in-person,,20186.0
