ID,WEIGHT,PRSMI24,SENMI24,ABORT2,ABORTION,AGE,AGE3,AGE4,AGE10,AGE45,AGE60,AGE65,AGEBLACK,AGEBYGENDER,AGEBYRACE,AGEBYRACE08,AGESEX45,BACKSIDE,BIDENPRES2,BIDENPRES4,CALL,CDNUM,CHILD12,CONTROLSEN,DEMOCRACYSECURE,DEMOCRACYSECURE2,EARLYVELECTION,EDUC18,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,EXTREMEHARRIS,EXTREMEPRES24,EXTREMETRUMP,FAIRELECTION,FAIRELECTION2,FAVHARRIS,FAVPRES24,FAVTRUMP,FINSIT,FORCAND24,GENDERBYSOP,GEOCODE,INC100K,INC50K,INCOME3,INCOME24,INCWHITE,ISRAELSUPPORT,ISSUE24,LATINO,NEC,NEC2,NEWVOTER,OVER65,PARENTS,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYID,PARTYWHITE,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,QLT24,QRACE3,QRACEAI,QTYPE,RACE,RACE2,RACE2B,RACEAI,REGION,SEX,SEXBYRACE,SIZEPLAC,SIZEPLC3,STANUM,SUBURBWHITE,TELEPOLL,TIME16,TIME16MONTH,TIME16WEEK,TRACKANGR,TRACKANGR2,UNIONHH12,VERSION,VOTE2020,VOTEMETHOD,WHITMER24,WHNCLINC,ZIPCODE
10700.0,0.555010997,Kamala Harris,Elissa Slotkin,Legal,Legal in all cases,45-65,30-59,50-64,60-64,45+,45-59,50-64,Non-Black 45-59,Men 45-64,White 45-59,White 45-64,Men 45+,Complete,Strongly or somewhat approve,Strongly approve,,6.0,,The Democratic Party,,,Absentee or early in-person,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,No,Only Trump,Yes,Very confident,Very confident or Somewhat confident,,,,,,Urban men,2.0,"$100,000 or more","$50,000 or more","$100,000","$100,000-$199,999","Over $50,000 and white",Not strong enough,,No,Good,Excellent or good,No,18-64,,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,Moderate,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,White,White,State questionnaire,White,Non-black,White,White,Midwest,Male,White men,"Cities 50,000-500,000","Cities over 50,000", Michigan,Other,Telephone survey,Before that,Before that,Before that,,,,Version 2,Joe Biden,By mail,,No,48104.0
10701.0,1.438918922,Donald Trump,Mike Rogers,Illegal,Illegal in most cases,45-65,30-59,50-64,50-59,45+,45-59,50-64,Non-Black 45-59,Women 45-64,White 45-59,White 45-64,Women 45+,Complete,Strongly or somewhat disapprove,Strongly disapprove,,11.0,,The Republican Party,,,Absentee or early in-person,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,Yes,Only Harris,No,Not very confident,Not very confident or Not at all confident,,,,,,Suburban women,2.0,,,,,,Not strong enough,,No,Poor,Not so good or poor,No,18-64,,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,White Republican,Conservative,,Independent/Something else,Conservative Republicans,,White,White,State questionnaire,White,Non-black,White,White,Midwest,Female,White women,Suburbs,Suburbs, Michigan,White suburban women,Telephone survey,Before that,Before that,Before that,,,,Version 2,Donald Trump,Early in-person,,,48382.0
10702.0,1.603959764,Donald Trump,Mike Rogers,Illegal,Illegal in most cases,45-65,30-59,50-64,60-64,45+,45-59,50-64,Non-Black 45-59,Women 45-64,White 45-59,White 45-64,Women 45+,Complete,Strongly or somewhat disapprove,Strongly disapprove,,11.0,,The Republican Party,,,Absentee or early in-person,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,Yes,Only Harris,No,Not very confident,Not very confident or Not at all confident,,,,,,Suburban women,2.0,"$100,000 or more","$50,000 or more","$100,000",$200.000 or more,"Over $50,000 and white",Omit,,No,Not so good,Not so good or poor,No,18-64,,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,White Independent,Moderate,,Moderate/Liberal Republicans,Moderate Independents,,White,White,State questionnaire,White,Non-black,White,White,Midwest,Female,White women,Suburbs,Suburbs, Michigan,White suburban women,Telephone survey,Before that,Before that,Before that,,,,Version 2,Donald Trump,Early in-person,,No,48386.0
10703.0,3.177945665,Kamala Harris,Elissa Slotkin,Legal,Legal in all cases,65+,60+,65+,65-74,45+,60+,65+,Black 60+,Women 65+,Black 60+,Black 65+,Women 45+,Complete,Strongly or somewhat approve,Strongly approve,,13.0,,The Democratic Party,,,Absentee or early in-person,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,No,Only Trump,Yes,Very confident,Very confident or Somewhat confident,,,,,,Suburban women,1.0,"Under $100,000","$50,000 or more","$50,000 to $99,999","$50,000-$99,999","Over $50,000 and non white",About right,,No,Not so good,Not so good or poor,No,65+,,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,Moderate,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,Black,Black,State questionnaire,Black,Black,Non-white,Black,Midwest,Female,Black women,Suburbs,Suburbs, Michigan,Other,Telephone survey,Before that,Before that,Before that,,,,Version 2,Joe Biden,By mail,,No,48184.0
10704.0,4.365153163,Kamala Harris,Elissa Slotkin,Legal,Legal in all cases,65+,60+,65+,75 or older,45+,60+,65+,Non-Black 60+,Women 65+,White 60+,White 65+,Women 45+,Complete,Strongly or somewhat approve,Somewhat approve,,3.0,,The Democratic Party,,,Absentee or early in-person,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,No,Only Trump,Yes,Very confident,Very confident or Somewhat confident,,,,,,Urban women,4.0,"Under $100,000","$50,000 or more","$50,000 to $99,999","$50,000-$99,999","Over $50,000 and white",About right,,No,Good,Excellent or good,No,65+,,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Liberal,,Liberal Democrats,Liberal Democrats,,White,White,State questionnaire,White,Non-black,White,White,Midwest,Female,White women,"Cities 50,000-500,000","Cities over 50,000", Michigan,Other,Telephone survey,Before that,Before that,Before that,,,,Version 2,Joe Biden,By mail,,No,49546.0
10705.0,0.478138571,Kamala Harris,Elissa Slotkin,Legal,Legal in all cases,65+,60+,65+,65-74,45+,60+,65+,Non-Black 60+,Women 65+,White 60+,White 65+,Women 45+,Complete,Strongly or somewhat approve,Strongly approve,,7.0,,The Democratic Party,,,Absentee or early in-person,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,No,Only Trump,Yes,Very confident,Very confident or Somewhat confident,,,,,,Rural women,2.0,"$100,000 or more","$50,000 or more","$100,000","$100,000-$199,999","Over $50,000 and white",Too strong,,No,Excellent,Excellent or good,No,65+,,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Liberal,,Liberal Democrats,Liberal Democrats,,White,White,State questionnaire,White,Non-black,White,White,Midwest,Female,White women,"Cities 10,000-50,000",Small Cities/Rural, Michigan,Other,Telephone survey,Before that,Before that,Before that,,,,Version 2,Joe Biden,Early in-person,,No,48823.0
10706.0,0.805747856,Kamala Harris,Elissa Slotkin,Legal,Legal in all cases,45-65,30-59,50-64,50-59,45+,45-59,50-64,Non-Black 45-59,Men 45-64,White 45-59,White 45-64,Men 45+,Complete,Strongly or somewhat approve,Strongly approve,,8.0,,The Democratic Party,,,Absentee or early in-person,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,No,Only Trump,Yes,Very confident,Very confident or Somewhat confident,,,,,,Urban men,3.0,"$100,000 or more","$50,000 or more","$100,000","$100,000-$199,999","Over $50,000 and white",About right,,No,Good,Excellent or good,No,18-64,,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,Liberal,,Liberal Democrats,Liberal Democrats,,White,White,State questionnaire,White,Non-black,White,White,Midwest,Male,White men,"Cities 50,000-500,000","Cities over 50,000", Michigan,Other,Telephone survey,Before that,Before that,Before that,,,,Version 2,Joe Biden,Early in-person,,No,48603.0
10707.0,0.441252302,Kamala Harris,Elissa Slotkin,Legal,Legal in all cases,45-65,30-59,50-64,60-64,45+,45-59,50-64,Non-Black 45-59,Women 45-64,White 45-59,White 45-64,Women 45+,Complete,Strongly or somewhat approve,Strongly approve,,11.0,,The Democratic Party,,,Absentee or early in-person,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,No,Only Trump,Yes,Very confident,Very confident or Somewhat confident,,,,,,Suburban women,2.0,"$100,000 or more","$50,000 or more","$100,000","$100,000-$199,999","Over $50,000 and white",About right,,No,Good,Excellent or good,No,18-64,,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Moderate,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,White,White,State questionnaire,White,Non-black,White,White,Midwest,Female,White women,Suburbs,Suburbs, Michigan,White suburban women,Telephone survey,In October,In the last month,Before that,,,,Version 2,Joe Biden,By mail,,No,48009.0
10708.0,1.497070931,Donald Trump,Mike Rogers,Illegal,Illegal in most cases,65+,60+,65+,65-74,45+,60+,65+,Non-Black 60+,Women 65+,White 60+,White 65+,Women 45+,Complete,Strongly or somewhat disapprove,Strongly disapprove,,13.0,,The Republican Party,,,Absentee or early in-person,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,Yes,Only Harris,No,Not very confident,Not very confident or Not at all confident,,,,,,Suburban women,1.0,"Under $100,000","Under $50,000","Under $50,000","Under $30,000","Under $50,000 and white",Not strong enough,,No,Poor,Not so good or poor,No,65+,,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,White Republican,Conservative,,Independent/Something else,Conservative Republicans,,White,White,State questionnaire,White,Non-black,White,White,Midwest,Female,White women,Suburbs,Suburbs, Michigan,White suburban women,Telephone survey,Before that,Before that,Before that,,,,Version 2,Donald Trump,By mail,,Yes,48180.0
10709.0,2.968986828,Kamala Harris,Elissa Slotkin,Legal,Legal in most cases,45-65,30-59,50-64,50-59,45+,45-59,50-64,Non-Black 45-59,Men 45-64,White 45-59,White 45-64,Men 45+,Complete,Strongly or somewhat approve,Somewhat approve,,9.0,,The Democratic Party,,,Absentee or early in-person,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White men non college graduates,No,Only Trump,Yes,Very confident,Very confident or Somewhat confident,,,,,,Suburban men,3.0,"$100,000 or more","$50,000 or more","$100,000","$100,000-$199,999","Over $50,000 and white",About right,,No,Good,Excellent or good,No,18-64,,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,Moderate,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,White,White,State questionnaire,White,Non-black,White,White,Midwest,Male,White men,Suburbs,Suburbs, Michigan,White suburban men,Telephone survey,Before that,Before that,Before that,,,,Version 2,Joe Biden,Early in-person,,No,48095.0
