ID,WEIGHT,PRSTX24,SENTX24,ABORT2,ABORTION,AGE,AGE3,AGE4,AGE10,AGE45,AGE60,AGE65,AGEBLACK,AGEBYGENDER,AGEBYRACE,AGEBYRACE08,AGESEX45,BACKSIDE,BIDENPRES2,BIDENPRES4,BORNINTX22,BRNAGAIN,CALL,CDNUM,CONTROLSEN,DEMOCRACYSECURE,DEMOCRACYSECURE2,EARLYVELECTION,EDUC18,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,FAIRELECTION,FAIRELECTION2,FAVALLRED,FAVCRUZ,FAVHARRIS,FAVPRES24,FAVSENTX24,FAVTRUMP,FINSIT,FORCAND24,GENDERBYSOP,GEOCODE,HANDLEABORTIONTX24,HANDLEBORDERTX24,IMMDEP24,ISSUE24,LATINO,NEC,NEC2,NEWVOTER,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYID,PARTYWHITE,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,QLT24,QRACE3,QRACEAI,QTYPE,RACE,RACE2,RACE2B,RACEAI,REGION,SEX,SEXBYRACE,SIZEPLAC,SIZEPLC3,SPANISHQ,STANUM,SUBURBWHITE,TELEPOLL,TIME16,TIME16MONTH,TIME16WEEK,TRACKANGR,TRACKANGR2,VERSION,VETVOTER,VOTE2020,VOTEMETHOD,WHTEVANG
1.0,1.53914344489,Donald Trump,Ted Cruz,Illegal,Illegal in most cases,45-65,30-59,50-64,50-59,45+,45-59,50-64,Non-Black 45-59,Women 45-64,White 45-59,White 45-64,Women 45+,Complete,Strongly or somewhat disapprove,Strongly disapprove,,Yes,,31.0,The Republican Party,,,Absentee or early in-person,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,Somewhat confident,Very confident or Somewhat confident,Unfavorable,Favorable,,,Only Ted Cruz,,,,Suburban women,4.0,Ted Cruz,Ted Cruz,,,No,Poor,Not so good or poor,No,18-64,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,White Republican,Conservative,,Independent/Something else,Conservative Republicans,,White,White,State questionnaire,White,Non-black,White,White,South,Female,White women,Suburbs,Suburbs,English,Texas,White suburban women,Telephone survey,Omit,Omit,Omit,,,Version 2,,Donald Trump,Early in-person,White Born-again/Evangelical Christians
2.0,0.88262694311,Kamala Harris,Colin Allred,Legal,Legal in most cases,45-65,30-59,35-49,45-49,45+,45-59,40-49,Non-Black 45-59,Men 45-64,White 45-59,White 45-64,Men 45+,Complete,Strongly or somewhat approve,Strongly approve,,No,,38.0,The Democratic Party,,,Absentee or early in-person,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White men non college graduates,Somewhat confident,Very confident or Somewhat confident,Favorable,Unfavorable,,,Only Colin Allred,,,,Urban men,3.0,Colin Allred,Colin Allred,,,No,Good,Excellent or good,No,18-64,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,Moderate,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,White,White,State questionnaire,White,Non-black,White,White,South,Male,White men,"Cities over 500,000","Cities over 50,000",English,Texas,Other,Telephone survey,Before that,Before that,Before that,,,Version 2,,Joe Biden,Early in-person,All others
3.0,0.07462892859,Donald Trump,Ted Cruz,Illegal,Illegal in most cases,45-65,30-59,50-64,50-59,45+,45-59,50-64,,Men 45-64,,,Men 45+,Complete,Strongly or somewhat disapprove,Strongly disapprove,,,,37.0,The Republican Party,,,Absentee or early in-person,Attended college but received no degree,No college degree,More than high school graduate,,,Not very confident,Not very confident or Not at all confident,Unfavorable,Unfavorable,,,Neither,,,,Urban men,4.0,Ted Cruz,Ted Cruz,,,,Poor,Not so good or poor,No,18-64,Independent/Something else,,,Independent men,Something else,,Conservative,,Moderate/Liberal Republicans,Conservative Independents,,,,State questionnaire,,,,,South,Male,,"Cities over 500,000","Cities over 50,000",,Texas,Other,Telephone survey,Before that,Before that,Before that,,,Version 2,,Donald Trump,Early in-person,
4.0,0.74940518963,Kamala Harris,Colin Allred,Legal,Legal in all cases,45-65,30-59,35-49,45-49,45+,45-59,40-49,Non-Black 45-59,Men 45-64,White 45-59,White 45-64,Men 45+,Complete,Strongly or somewhat approve,Somewhat approve,,No,,10.0,The Democratic Party,,,Absentee or early in-person,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,Very confident,Very confident or Somewhat confident,Favorable,Unfavorable,,,Only Colin Allred,,,,Urban men,4.0,Colin Allred,Colin Allred,,,No,Good,Excellent or good,No,18-64,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,Liberal,,Liberal Democrats,Liberal Democrats,,White,White,State questionnaire,White,Non-black,White,White,South,Male,White men,"Cities 50,000-500,000","Cities over 50,000",English,Texas,Other,Telephone survey,Before that,Before that,Before that,,,Version 2,,Joe Biden,Early in-person,All others
5.0,0.78135834191,Kamala Harris,Colin Allred,Legal,Legal in most cases,65+,60+,65+,65-74,45+,60+,65+,Non-Black 60+,Women 65+,White 60+,White 65+,Women 45+,Complete,Strongly or somewhat approve,Strongly approve,,No,,10.0,The Democratic Party,,,Absentee or early in-person,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White women non college graduates,Not very confident,Not very confident or Not at all confident,Favorable,Unfavorable,,,Only Colin Allred,,,,Suburban women,4.0,Colin Allred,Colin Allred,,,No,Excellent,Excellent or good,No,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,White Independent,Moderate,,Moderate/Liberal Republicans,Moderate Independents,,White,White,State questionnaire,White,Non-black,White,White,South,Female,White women,Suburbs,Suburbs,English,Texas,White suburban women,Telephone survey,Before that,Before that,Before that,,,Version 2,,Joe Biden,Early in-person,All others
6.0,0.51397192543,Kamala Harris,Colin Allred,Legal,Legal in most cases,65+,60+,65+,65-74,45+,60+,65+,Non-Black 60+,Women 65+,White 60+,White 65+,Women 45+,Complete,Strongly or somewhat disapprove,Somewhat disapprove,,No,,25.0,The Republican Party,,,Absentee or early in-person,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,Somewhat confident,Very confident or Somewhat confident,Favorable,Unfavorable,,,Only Colin Allred,,,,Suburban women,5.0,Colin Allred,Colin Allred,,,No,Good,Excellent or good,No,65+,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,White Republican,Conservative,,Independent/Something else,Conservative Republicans,,White,White,State questionnaire,White,Non-black,White,White,South,Female,White women,Suburbs,Suburbs,English,Texas,White suburban women,Telephone survey,Omit,Omit,Omit,,,Version 2,,Joe Biden,Early in-person,All others
7.0,2.36608002508,Kamala Harris,Colin Allred,Legal,Legal in all cases,65+,60+,65+,75 or older,45+,60+,65+,Non-Black 60+,Women 65+,All others,All others,Women 45+,Complete,Strongly or somewhat approve,Strongly approve,,No,,37.0,The Democratic Party,,,Absentee or early in-person,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,Very confident,Very confident or Somewhat confident,Favorable,Unfavorable,,,Only Colin Allred,,,,Urban women,4.0,Colin Allred,Colin Allred,,,No,Good,Excellent or good,No,65+,Democrat,Non-black Democrat,All Other,Democratic women,Democrat,Non-White Democrats,Liberal,,Liberal Democrats,Liberal Democrats,,Other,Asian,State questionnaire,Asian,Non-black,Non-white,Asian,South,Female,All other races,"Cities over 500,000","Cities over 50,000",English,Texas,Other,Telephone survey,Before that,Before that,Before that,,,Version 2,,Joe Biden,Early in-person,All others
8.0,0.31558999856,Other,Other,Legal,Legal in most cases,45-65,30-59,50-64,50-59,45+,45-59,50-64,Non-Black 45-59,Women 45-64,White 45-59,White 45-64,Women 45+,Complete,Strongly or somewhat disapprove,Strongly disapprove,,No,,37.0,The Republican Party,,,Absentee or early in-person,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,Not at all confident,Not very confident or Not at all confident,Unfavorable,Unfavorable,,,Neither,,,,Urban women,4.0,Ted Cruz,Omit,,,No,Poor,Not so good or poor,No,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,White Independent,Moderate,,Moderate/Liberal Republicans,Moderate Independents,,White,White,State questionnaire,White,Non-black,White,White,South,Female,White women,"Cities over 500,000","Cities over 50,000",English,Texas,Other,Telephone survey,Before that,Before that,Before that,,,Version 2,,Other,Early in-person,All others
9.0,0.36503424653,Kamala Harris,Colin Allred,Legal,Legal in all cases,45-65,30-59,50-64,60-64,45+,45-59,50-64,Non-Black 45-59,Women 45-64,White 45-59,White 45-64,Women 45+,Complete,Strongly or somewhat approve,Somewhat approve,,No,,2.0,The Democratic Party,,,Absentee or early in-person,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,Very confident,Very confident or Somewhat confident,Favorable,Unfavorable,,,Only Colin Allred,,,,Suburban women,3.0,Omit,Colin Allred,,,No,Good,Excellent or good,No,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,White Independent,Liberal,,Moderate/Liberal Republicans,Liberal Independents,,White,White,State questionnaire,White,Non-black,White,White,South,Female,White women,Suburbs,Suburbs,English,Texas,White suburban women,Telephone survey,Before that,Before that,Before that,,,Version 2,,Joe Biden,Early in-person,All others
10.0,0.03008676386,Other,Ted Cruz,Legal,Legal in most cases,65+,60+,65+,65-74,45+,60+,65+,Non-Black 60+,Men 65+,White 60+,White 65+,Men 45+,Complete,Strongly or somewhat disapprove,Somewhat disapprove,,No,,16.0,The Republican Party,,,Absentee or early in-person,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,Very confident,Very confident or Somewhat confident,Unfavorable,Favorable,,,Only Ted Cruz,,,,Urban men,6.0,Colin Allred,Ted Cruz,,,No,Not so good,Not so good or poor,No,65+,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,White Republican,Moderate,,Conservative Republicans,Mod./Liberal Republicans,,White,White,State questionnaire,White,Non-black,White,White,South,Male,White men,"Cities over 500,000","Cities over 50,000",English,Texas,Other,Telephone survey,Before that,Before that,Before that,,,Version 2,,Other,By mail,All others
