GENDER,AGE10,QRACEAI,GOV,VOTE2024,CALL,EDUC25,PARTYID,PARTYIDLEAN,PHIL5,INCOME25,STECNJ,GETAHEAD25,TRACKANGR,FORTRUMPG25,TRUMP4,FAVDEM4,FAVREP4,ISSUE25NJ,QLT25NJ,TIME25G,SIZEPLAC,VOTEMETHOD,TELEPOLL,EARLYVELECTION,CHILD12,RACE2B,EDUCCOLL,AGE,ID,WEIGHT,ZIPCODE,PRECINCT,VERSION,RACE,AGE45,AGE65,GENDERBYRACE,EDUCWHITE,EDUCWHITEBYSEX25,PARTY,PARTYLEAN,PHIL3,INC50K,INC100K,INCOME3,STECNJ2,TRACKANGR2,TRUMP2,FAVDEM2,FAVREP2,TIME25GWEEK,TIME25GMONTH,SIZEPLC3,PARENTS
I identify another way,50-59,Asian,Jack Ciattarelli,Donald Trump,2.0,Bachelor's degree (BA or BS),Something else,Not lean either way,Somewhat conservative,"$50,000-$99,999",,Holding steady,,To support Donald Trump,Somewhat approve,,,4.0,,,Rural,Election Day,Exit Poll,Election day,,Non-white,College graduate,45-64,11.0,1.0,10000.0,23.0,1.0,Asian,45 or over,50-64,All other,Non-white college graduates,Non-whites,Independent/Something else,Independent,Conservative,"$50,000 or more","Less tjhan $100,000","$50,000-$99,999",,,Approve,,,,,Small city and Rural,Does not identify as a man or a woman
Female,60-64,Hispanic/Latino,Mikie Sherill,Kamala Harris,3.0,High school graduate,Something else,Lean Democrat,Somewhat liberal,,,,Angry,,,,,,,,Rural,Election Day,Exit Poll,Election day,,Non-white,No college degree,45-64,13.0,1.0,10000.0,1.0,3.0,Hispanic/Latino,45 or over,50-64,Latino women,Non-white non-college graduates,Non-whites,Independent/Something else,Democrat/Lean Democrat,Liberal,,,,,,,,,,,Small city and Rural,
Female, 65-74,White,Mikie Sherill,Kamala Harris,3.0,Not a high school graduate,Democrat,,Somewhat liberal,,Not so good,,,,,Somewhat favorable,Strongly unfavorable,,1.0,Earlier in October,"50,000-500,000",Election Day,Exit Poll,Election day,Yes,White,No college degree,65 or over,19.0,1.0,10000.0,8.0,2.0,White,45 or over,65 or over,White women,White non-college graduates,White women non-college graduates,Democrat,Democrat/Lean Democrat,Liberal,,,,Not so good or poor,,,Favorable,Unfavorable,Before that,In the last month,"City over 50,000",Women with children
Male,30-34,Black,Jack Ciattarelli,Donald Trump,3.0,Associate's degree (AA or AS),Republican,,Moderate,,Not so good,,,,,Somewhat unfavorable,Somewhat favorable,,2.0,Before October,Suburbs,Election Day,Exit Poll,Election day,Yes,Non-white,No college degree,30-44,21.0,1.0,10000.0,21.0,2.0,Black,18-44,30-39,Black men,Non-white non-college graduates,Non-whites,Republican,Republican/Lean Republican,Moderate,,,,Not so good or poor,,,Unfavorable,Favorable,Before that,Before that,Suburbs,Men with children
Female,35-39,White,Jack Ciattarelli,Donald Trump,3.0,Bachelor's degree (BA or BS),Republican,,Somewhat liberal,,,,"Satisfied, but not enthusiastic, 3 Dissatisfied, but not angry",,,,,,,,Suburbs,Election Day,Exit Poll,Election day,,White,College graduate,30-44,27.0,1.0,10000.0,11.0,3.0,White,18-44,30-39,White women,White college graduates,White women college graduates,Republican,Republican/Lean Republican,Liberal,,,,,"Enthusiastic or satisfied, but not enthusiastic, 2 Dissatisfied, but not angry or angry",,,,,,Suburbs,
Male,30-34,White,Mikie Sherill,Kamala Harris,1.0,Bachelor's degree (BA or BS),Independent,Not lean either way,Very liberal,,Not so good,,,,,Somewhat unfavorable,Strongly unfavorable,,4.0,In the last week,Suburbs,Election Day,Exit Poll,Election day,No,White,College graduate,30-44,30.0,1.0,10000.0,6.0,2.0,White,18-44,30-39,White men,White college graduates,White men college graduates,Independent/Something else,Independent,Liberal,,,,Not so good or poor,,,Unfavorable,Unfavorable,In the last week,In the last month,Suburbs,Men without children
Female,50-59,Hispanic/Latino,Mikie Sherill,Kamala Harris,1.0,High school graduate,Democrat,,Somewhat liberal,,Good,,,,,Somewhat favorable,Strongly unfavorable,,4.0,Before October,"50,000-500,000",Election Day,Exit Poll,Election day,Yes,Non-white,No college degree,45-64,33.0,1.0,10000.0,9.0,2.0,Hispanic/Latino,45 or over,50-64,Latino women,Non-white non-college graduates,Non-whites,Democrat,Democrat/Lean Democrat,Liberal,,,,Excellent or good,,,Favorable,Unfavorable,Before that,Before that,"City over 50,000",Women with children
Male,50-59,White,Jack Ciattarelli,Donald Trump,3.0,"An advaned degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Republican,,Very conservative,"$50,000-$99,999",,Holding steady,,To support Donald Trump,Somewhat approve,,,2.0,,,"50,000-500,000",Election Day,Exit Poll,Election day,,White,College graduate,45-64,35.0,1.0,10000.0,4.0,1.0,White,45 or over,50-64,White men,White college graduates,White men college graduates,Republican,Republican/Lean Republican,Conservative,"$50,000 or more","Less tjhan $100,000","$50,000-$99,999",,,Approve,,,,,"City over 50,000",
Female, 65-74,White,Jack Ciattarelli,Donald Trump,2.0,Associate's degree (AA or AS),Something else,Not lean either way,Somewhat conservative,,,,"Satisfied, but not enthusiastic, 3 Dissatisfied, but not angry",,,,,,,,Suburbs,Election Day,Exit Poll,Election day,,White,No college degree,65 or over,38.0,1.0,10000.0,9.0,3.0,White,45 or over,65 or over,White women,White non-college graduates,White women non-college graduates,Independent/Something else,Independent,Conservative,,,,,"Enthusiastic or satisfied, but not enthusiastic, 2 Dissatisfied, but not angry or angry",,,,,,Suburbs,
Male,45-49,White,Jack Ciattarelli,Donald Trump,1.0,Not a high school graduate,Republican,,Somewhat conservative,,,,,,,,,,,,"Over 500,000",Election Day,Exit Poll,Election day,,White,No college degree,45-64,44.0,1.0,10000.0,9.0,3.0,White,45 or over,40-49,White men,White non-college graduates,White men non-college graduates,Republican,Republican/Lean Republican,Conservative,,,,,,,,,,,"City over 50,000",
